egid,period,class,area_era_m2,is_hotwater_system,x,y,z,transformer,gas_grid,h2_grid,geothermal_well,geometry,system_heating,system_heating2,thermal_k1_cooling_W_m2_K,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,power_heating_signature_kW,power_cooling_signature_kW,id_building,total_annual_irr_kWh_y,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y,area_solar_m2,energy_hotwater_signature_kWh_y,power_hotwater_signature_W,waste_signature_kg_y,waste_signature_kW,temperature_threshold_cooling_C,temperature_threshold_heating_C,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,temperature_hotwater_supply_C,temperature_hotwater_return_C,area_net_floor_m2,area_footprint_m2,area_facade_m2,area_facade_solar_m2,area_roof_solar_m2,temperature_interior_C,capita_cap,ratio,status,source_heating,source_hotwater,system_hotwater,id_class,solar_gain_factor_signature_m2,thermal_specific_capacity_Wh_m2_K,energy_el_kWh_y,thermal_transmittance_signature_kW_m2_K,count_floor,height_m,length_footprint_m,length_footprint_facade_m,area_roof_m2,energy_heating_2024_kWh_y,energy_hotwater_2024_kWh_y
280001550,1981-1990,Education,23184.9,TRUE,2534448.838,1152845.505,389.35,3216,TRUE,FALSE,,,Heat exchanger (DHN included) for single building,Not documented,0.37,2553502.162,45908.23501,1129.568328,118.3820994,1897254,13878204,9568311,4309893,16476.23096,41216.48385,13174.66771,0,0,18,14.2,12,17,65,50,60,15,18622.40964,8033.151157,8697.8,8443.069382,8033.161582,20,6058.268907,1,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,Gas,Boiler,IV,0.116443112,112.9,1022519.268,0.00203,3,14.03,619.9416144,619.9445766,8033.161582,1649479.934,
9020492,<1919,Education,554.28,FALSE,2534280.878,1152811.224,384.95,3216,TRUE,FALSE,,,Not documented,Not documented,0,36387.27589,0,16.0962912,0,1897287,831328,519570,311758,1175.01849,0,0,0,0,18,14.2,12,17,65,50,60,15,445.2048193,301.796421,656.7354279,656.7255183,518.2929718,20,144.8346678,1,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,No heat generator,IV,0.069406978,112.9,24445.30622,0.00121,2,11.4,71.9068398,71.90597053,518.2929718,39434.01687,
9020493,<1919,Education,584.04,TRUE,2534298.655,1152880.348,384.34,3216,TRUE,FALSE,,,Heat exchanger (DHN included) for single building,Not documented,0,38340.95513,0,16.9605216,0,1900046,877362,588104,289258,1108.991479,1038.265217,331.8769082,0,0,18,14.2,12,17,65,50,60,15,469.1084337,310.921365,718.4,580.1869971,528.8044817,20,152.6110258,1,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,District heat,Heat exchanger (DHN included),IV,0.069406978,112.9,25757.80588,0.00121,2,10.09,71.1988781,71.19938132,528.8044817,41551.27952,
280060429,>2010,Education,1166.22,TRUE,2534264.16,1152899.708,385.2252012,3216,TRUE,FALSE,,,Heat exchanger (DHN included) for single building,Not documented,0.59,58843.48672,3682.274342,26.0300304,9.49536324,1902174,1681930,1177107,504823,1914.637491,3938.249404,1258.844094,0,0,18,14.2,12,17,41.5,33.9,60,15,936.7228916,701.2849109,906.1525267,906.1513271,1008.486164,20,354.6165232,1,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,District heat,Heat exchanger (DHN included),VII,0.05124904,114.55,42250.88602,0.00093,2,9.705201206,110.2633726,110.263249,1008.486164,92182.89976,
9020403,1961-1970,Education,92159.28,TRUE,2534445.723,1152693.712,401.0956351,3216,TRUE,FALSE,,,Heat exchanger (DHN included) for single building,Not documented,0,13050121.21,0,5772.857299,0,1902694,24360582,19626230,4734352,25875.9488,81917.14167,26184.4539,0,0,18,14.2,12,17,65,50,60,15,74023.51807,8283.779563,4506.530288,8522.948457,17353.00035,20,12040.71832,1,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,District heat,Heat exchanger (DHN included),IV,0.149712573,112.9,2032241.665,0.00261,6,25.94587593,506.7154454,497.270551,8676.500173,3278316.557,
9020480/280000711,1981-1990,Education/Other,26542.2,FALSE,2534057.09,1152724.668,394.3896705,3216,TRUE,FALSE,,,Heat exchanger (DHN included) for single building/Not documented,Not documented,0.299215137,2806252.2,42501.48672,1221.570126,109.5972264,1902705,21969302,20042116,1927186,19313.43998,0,0,0,0,18,14.62088297,12,17,65,50,60,15,21319.03614,7541.269414,14970.2,2681.850884,16631.5891,20.05739313,2855.331033,0.8086895585143659/0.1913104414856342,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat/Other,District heat/None,Heat exchanger (DHN included)/No heat generator,IV/XIII,0.105352822,111.579958,526137.468,0.001884604,2,8.98728149,858.4840532,859.1978281,8315.794549,913424.7108,
9020422,>2010,Education,79077.9,TRUE,2534076.616,1153165.358,412.6,3216,TRUE,FALSE,,,Heat pump for single building,Not documented,0.59,3990001.337,249684.0409,1765.018728,643.8522618,1902706,28363448,18485040,9878408,28789.76256,63899.60292,20425.22692,0,0,18,14.2,12,17,41.5,33.9,60,15,63516.38554,7045.41102,7349.595577,14699.1555,14090.60706,20,9392.382401,1,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Not determined,Gas,Boiler,IV,0.053345859,112.9,1585253.499,0.00093,5.545454545,23.91,390.0294697,390.0287241,7045.41102,2557256.295,
190097749,<1919,Education,165.54,FALSE,2534301.537,1152688.964,383.56,3216,TRUE,FALSE,,,Not documented,Not documented,0,10867.34078,0,4.8072816,0,1902714,268546,140660,127886,371.7983732,0,0,0,0,18,14.2,12,17,65,50,60,15,132.9638554,81.57671749,242.302982,242.2971192,129.5012541,20,43.25599139,1,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,No heat generator,IV,0.07002808,112.9,7300.779373,0.00121,2,9.53,40.48222348,40.48160829,129.5012541,11777.27349,
9020488,1981-1990,Education,2468.22,FALSE,2534206.746,1152713.034,391.38,3216,TRUE,FALSE,,,Not documented,Not documented,0.37,271840.9442,4887.302676,120.2516784,12.60273132,1902716,2752082,2032978,719104,2835.537305,0,0,0,0,18,14.2,12,17,65,50,60,15,1982.506024,1387.922181,1833.7,1270.503963,1565.033342,20,644.9516919,1,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,No heat generator,IV,0.116443112,112.9,108855.4408,0.00203,2,10.59,173.1498894,173.1499333,1565.033342,175600.4711,
280000296/9020491/280000340,2001-2005/1961-1970,Education,44902.26,FALSE,2533777.949,1152648.511,402.7127563,10469,TRUE,FALSE,,,Not documented,Not documented,0.078165776,5044782.725,27633.86581,2568.939428,58.613994,705789,24257110,18538414,5718696,25571.22757,0,0,0,0,18,14.2,12,17,65,50,60,15,36066.07229,13568.22898,33546.55476,11182.17691,14389.05066,20,11733.06616,0.21125885423139057/0.6199826022120044/0.16875854355660494,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,No heat generator,IV/IV/IV,0.150466935,112.9,1980315.897,0.00248747,3,12.8427563,1123.255761,1123.255137,14389.05066,3194552.353,
280001049,1981-1990,Other,1147.62,FALSE,2533891.151,1152719.332,402.6944423,10464,TRUE,FALSE,,,Not documented,Not documented,0,84965.39401,0,36.72843048,0,705793,2378348,1673765,704583,2647.609437,0,0,0,0,18,16.4,12,17,65,50,60,15,921.7831325,1190.892977,2787.4,1256.303231,1391.306206,18,134.646179,1,"['existing', 'existing', 'existing', 'existing', 'existing']",Other,None,No heat generator,X,0.021981959,110.51,22582.76496,0.00127,1,7.174442317,388.5185865,388.5215731,1391.306206,59497.41407,
280079581,>2010,Other,2889.51,TRUE,2534068.985,1152313.259,380.9201292,10480,TRUE,FALSE,,,Heat pump for single building,Not documented,0,116228.7425,0,50.24279988,0,705799,4682071,3919656,762415,4612.232769,92805.09638,29664.74071,0,0,18,16.4,12,17,41.5,33.9,60,15,2320.891566,3156.179485,2102.8,1456.037293,3156.195476,18,533.8050602,1,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Not determined,Electricity,Central electrical boiler,XI,0.012036576,109.15,61445.60422,0.00069,1,7.502753937,280.2756531,280.2764227,3156.195476,196927.6494,
