,,,GWP_supply
Electricity,1,1,0.268866
Electricity,1,2,0.278015
Electricity,1,3,0.25510900000000003
Electricity,1,4,0.22994499999999998
Electricity,1,5,0.225445
Electricity,1,6,0.281152
Electricity,1,7,0.276283
Electricity,1,8,0.215127
Electricity,1,9,0.22821
Electricity,1,10,0.223428
Electricity,1,11,0.21635300000000002
Electricity,1,12,0.233554
Electricity,1,13,0.243177
Electricity,1,14,0.237411
Electricity,1,15,0.257728
Electricity,1,16,0.254191
Electricity,1,17,0.246815
Electricity,1,18,0.229904
Electricity,1,19,0.226275
Electricity,1,20,0.212392
Electricity,1,21,0.241865
Electricity,1,22,0.263657
Electricity,1,23,0.243857
Electricity,1,24,0.26977999999999996
Electricity,2,1,0.15984700000000002
Electricity,2,2,0.147418
Electricity,2,3,0.130775
Electricity,2,4,0.099994
Electricity,2,5,0.072327
Electricity,2,6,0.10128100000000001
Electricity,2,7,0.111435
Electricity,2,8,0.15681799999999999
Electricity,2,9,0.155748
Electricity,2,10,0.162364
Electricity,2,11,0.15288200000000002
Electricity,2,12,0.153678
Electricity,2,13,0.155425
Electricity,2,14,0.15731299999999998
Electricity,2,15,0.156635
Electricity,2,16,0.156619
Electricity,2,17,0.168561
Electricity,2,18,0.18050899999999998
Electricity,2,19,0.191624
Electricity,2,20,0.176649
Electricity,2,21,0.172703
Electricity,2,22,0.141215
Electricity,2,23,0.128812
Electricity,2,24,0.190186
Electricity,3,1,0.259618
Electricity,3,2,0.250186
Electricity,3,3,0.248982
Electricity,3,4,0.231484
Electricity,3,5,0.22016999999999998
Electricity,3,6,0.22298400000000002
Electricity,3,7,0.245897
Electricity,3,8,0.260753
Electricity,3,9,0.248812
Electricity,3,10,0.256262
Electricity,3,11,0.250676
Electricity,3,12,0.227534
Electricity,3,13,0.215534
Electricity,3,14,0.20474400000000004
Electricity,3,15,0.21178999999999998
Electricity,3,16,0.208549
Electricity,3,17,0.22406700000000002
Electricity,3,18,0.248845
Electricity,3,19,0.24916999999999997
Electricity,3,20,0.210232
Electricity,3,21,0.199942
Electricity,3,22,0.18390700000000001
Electricity,3,23,0.169224
Electricity,3,24,0.17683000000000001
Electricity,4,1,0.308952
Electricity,4,2,0.3237
Electricity,4,3,0.326758
Electricity,4,4,0.30447700000000005
Electricity,4,5,0.317007
Electricity,4,6,0.335082
Electricity,4,7,0.302422
Electricity,4,8,0.284464
Electricity,4,9,0.254989
Electricity,4,10,0.250965
Electricity,4,11,0.237961
Electricity,4,12,0.249881
Electricity,4,13,0.23489
Electricity,4,14,0.241465
Electricity,4,15,0.266947
Electricity,4,16,0.25554499999999997
Electricity,4,17,0.24401
Electricity,4,18,0.231583
Electricity,4,19,0.238746
Electricity,4,20,0.229319
Electricity,4,21,0.210704
Electricity,4,22,0.20308400000000001
Electricity,4,23,0.18673900000000002
Electricity,4,24,0.168527
Electricity,5,1,0.2587
Electricity,5,2,0.27077100000000004
Electricity,5,3,0.253417
Electricity,5,4,0.230892
Electricity,5,5,0.21104499999999998
Electricity,5,6,0.232632
Electricity,5,7,0.264037
Electricity,5,8,0.253947
Electricity,5,9,0.232844
Electricity,5,10,0.218088
Electricity,5,11,0.220537
Electricity,5,12,0.214567
Electricity,5,13,0.219666
Electricity,5,14,0.190795
Electricity,5,15,0.197054
Electricity,5,16,0.154341
Electricity,5,17,0.121678
Electricity,5,18,0.14530200000000001
Electricity,5,19,0.162776
Electricity,5,20,0.19581700000000002
Electricity,5,21,0.231377
Electricity,5,22,0.260638
Electricity,5,23,0.266392
Electricity,5,24,0.28267200000000003
Electricity,6,1,0.119045
Electricity,6,2,0.078417
Electricity,6,3,0.083285
Electricity,6,4,0.07527800000000001
Electricity,6,5,0.070348
Electricity,6,6,0.077487
Electricity,6,7,0.084021
Electricity,6,8,0.122878
Electricity,6,9,0.147606
Electricity,6,10,0.136575
Electricity,6,11,0.11640900000000001
Electricity,6,12,0.13474100000000003
Electricity,6,13,0.129833
Electricity,6,14,0.107087
Electricity,6,15,0.104691
Electricity,6,16,0.09738
Electricity,6,17,0.100926
Electricity,6,18,0.100068
Electricity,6,19,0.121375
Electricity,6,20,0.17802099999999998
Electricity,6,21,0.19721100000000003
Electricity,6,22,0.165075
Electricity,6,23,0.15469899999999998
Electricity,6,24,0.10933
Electricity,7,1,0.17681099999999997
Electricity,7,2,0.166804
Electricity,7,3,0.159506
Electricity,7,4,0.16451
Electricity,7,5,0.16281
Electricity,7,6,0.18355600000000002
Electricity,7,7,0.173843
Electricity,7,8,0.216818
Electricity,7,9,0.22972900000000002
Electricity,7,10,0.206142
Electricity,7,11,0.225182
Electricity,7,12,0.22914099999999998
Electricity,7,13,0.213915
Electricity,7,14,0.235541
Electricity,7,15,0.24023599999999998
Electricity,7,16,0.215315
Electricity,7,17,0.193024
Electricity,7,18,0.20568199999999998
Electricity,7,19,0.220296
Electricity,7,20,0.227692
Electricity,7,21,0.234474
Electricity,7,22,0.236007
Electricity,7,23,0.238257
Electricity,7,24,0.20528100000000002
Electricity,8,1,0.106099
Electricity,8,2,0.085486
Electricity,8,3,0.081846
Electricity,8,4,0.088855
Electricity,8,5,0.087715
Electricity,8,6,0.092872
Electricity,8,7,0.113914
Electricity,8,8,0.183505
Electricity,8,9,0.19301
Electricity,8,10,0.126379
Electricity,8,11,0.13471200000000003
Electricity,8,12,0.10782699999999999
Electricity,8,13,0.11821599999999999
Electricity,8,14,0.14768799999999999
Electricity,8,15,0.149345
Electricity,8,16,0.147286
Electricity,8,17,0.201676
Electricity,8,18,0.209422
Electricity,8,19,0.231685
Electricity,8,20,0.239786
Electricity,8,21,0.236399
Electricity,8,22,0.230495
Electricity,8,23,0.242847
Electricity,8,24,0.16936099999999998
Electricity,9,1,0.169835
Electricity,9,2,0.140746
Electricity,9,3,0.11165699999999999
Electricity,9,4,0.104332
Electricity,9,5,0.10456399999999999
Electricity,9,6,0.116184
Electricity,9,7,0.1707
Electricity,9,8,0.196573
Electricity,9,9,0.266291
Electricity,9,10,0.265971
Electricity,9,11,0.265629
Electricity,9,12,0.250066
Electricity,9,13,0.208947
Electricity,9,14,0.166696
Electricity,9,15,0.159095
Electricity,9,16,0.16066899999999998
Electricity,9,17,0.156079
Electricity,9,18,0.190005
Electricity,9,19,0.247274
Electricity,9,20,0.269069
Electricity,9,21,0.252516
Electricity,9,22,0.198126
Electricity,9,23,0.209529
Electricity,9,24,0.179712
