,,,GWP_supply
Electricity,1,1,0.27
Electricity,1,2,0.26
Electricity,1,3,0.265
Electricity,1,4,0.262
Electricity,1,5,0.266
Electricity,1,6,0.288
Electricity,1,7,0.375
Electricity,1,8,0.516
Electricity,1,9,0.563
Electricity,1,10,0.556
Electricity,1,11,0.574
Electricity,1,12,0.56
Electricity,1,13,0.5329999999999999
Electricity,1,14,0.524
Electricity,1,15,0.531
Electricity,1,16,0.524
Electricity,1,17,0.55
Electricity,1,18,0.5820000000000001
Electricity,1,19,0.57
Electricity,1,20,0.5539999999999999
Electricity,1,21,0.494
Electricity,1,22,0.355
Electricity,1,23,0.352
Electricity,1,24,0.299
Electricity,2,1,0.268
Electricity,2,2,0.255
Electricity,2,3,0.236
Electricity,2,4,0.216
Electricity,2,5,0.207
Electricity,2,6,0.245
Electricity,2,7,0.379
Electricity,2,8,0.57
Electricity,2,9,0.608
Electricity,2,10,0.593
Electricity,2,11,0.564
Electricity,2,12,0.594
Electricity,2,13,0.579
Electricity,2,14,0.573
Electricity,2,15,0.5870000000000001
Electricity,2,16,0.602
Electricity,2,17,0.617
Electricity,2,18,0.637
Electricity,2,19,0.627
Electricity,2,20,0.623
Electricity,2,21,0.5329999999999999
Electricity,2,22,0.331
Electricity,2,23,0.245
Electricity,2,24,0.246
Electricity,3,1,0.284
Electricity,3,2,0.251
Electricity,3,3,0.248
Electricity,3,4,0.238
Electricity,3,5,0.241
Electricity,3,6,0.325
Electricity,3,7,0.4639999999999999
Electricity,3,8,0.586
Electricity,3,9,0.62
Electricity,3,10,0.621
Electricity,3,11,0.5539999999999999
Electricity,3,12,0.506
Electricity,3,13,0.513
Electricity,3,14,0.518
Electricity,3,15,0.4639999999999999
Electricity,3,16,0.493
Electricity,3,17,0.5429999999999999
Electricity,3,18,0.598
Electricity,3,19,0.57
Electricity,3,20,0.473
Electricity,3,21,0.44
Electricity,3,22,0.3779999999999999
Electricity,3,23,0.349
Electricity,3,24,0.368
Electricity,4,1,0.273
Electricity,4,2,0.271
Electricity,4,3,0.2789999999999999
Electricity,4,4,0.268
Electricity,4,5,0.266
Electricity,4,6,0.262
Electricity,4,7,0.284
Electricity,4,8,0.522
Electricity,4,9,0.606
Electricity,4,10,0.612
Electricity,4,11,0.606
Electricity,4,12,0.59
Electricity,4,13,0.57
Electricity,4,14,0.5429999999999999
Electricity,4,15,0.429
Electricity,4,16,0.434
Electricity,4,17,0.434
Electricity,4,18,0.515
Electricity,4,19,0.562
Electricity,4,20,0.5670000000000001
Electricity,4,21,0.515
Electricity,4,22,0.418
Electricity,4,23,0.422
Electricity,4,24,0.406
Electricity,5,1,0.26
Electricity,5,2,0.25
Electricity,5,3,0.248
Electricity,5,4,0.228
Electricity,5,5,0.212
Electricity,5,6,0.222
Electricity,5,7,0.2289999999999999
Electricity,5,8,0.2269999999999999
Electricity,5,9,0.235
Electricity,5,10,0.262
Electricity,5,11,0.278
Electricity,5,12,0.28
Electricity,5,13,0.295
Electricity,5,14,0.266
Electricity,5,15,0.254
Electricity,5,16,0.222
Electricity,5,17,0.2289999999999999
Electricity,5,18,0.429
Electricity,5,19,0.499
Electricity,5,20,0.467
Electricity,5,21,0.35
Electricity,5,22,0.284
Electricity,5,23,0.2789999999999999
Electricity,5,24,0.267
Electricity,6,1,0.39
Electricity,6,2,0.33
Electricity,6,3,0.261
Electricity,6,4,0.253
Electricity,6,5,0.256
Electricity,6,6,0.335
Electricity,6,7,0.432
Electricity,6,8,0.532
Electricity,6,9,0.602
Electricity,6,10,0.597
Electricity,6,11,0.528
Electricity,6,12,0.481
Electricity,6,13,0.444
Electricity,6,14,0.444
Electricity,6,15,0.425
Electricity,6,16,0.39
Electricity,6,17,0.3939999999999999
Electricity,6,18,0.426
Electricity,6,19,0.547
Electricity,6,20,0.617
Electricity,6,21,0.6659999999999999
Electricity,6,22,0.632
Electricity,6,23,0.613
Electricity,6,24,0.4379999999999999
Electricity,7,1,0.266
Electricity,7,2,0.252
Electricity,7,3,0.236
Electricity,7,4,0.223
Electricity,7,5,0.2
Electricity,7,6,0.205
Electricity,7,7,0.349
Electricity,7,8,0.63
Electricity,7,9,0.664
Electricity,7,10,0.585
Electricity,7,11,0.523
Electricity,7,12,0.475
Electricity,7,13,0.426
Electricity,7,14,0.372
Electricity,7,15,0.335
Electricity,7,16,0.309
Electricity,7,17,0.34
Electricity,7,18,0.445
Electricity,7,19,0.579
Electricity,7,20,0.6559999999999999
Electricity,7,21,0.5379999999999999
Electricity,7,22,0.303
Electricity,7,23,0.272
Electricity,7,24,0.2689999999999999
Electricity,8,1,0.481
Electricity,8,2,0.474
Electricity,8,3,0.439
Electricity,8,4,0.444
Electricity,8,5,0.441
Electricity,8,6,0.479
Electricity,8,7,0.544
Electricity,8,8,0.6679999999999999
Electricity,8,9,0.696
Electricity,8,10,0.653
Electricity,8,11,0.6579999999999999
Electricity,8,12,0.628
Electricity,8,13,0.65
Electricity,8,14,0.665
Electricity,8,15,0.655
Electricity,8,16,0.66
Electricity,8,17,0.698
Electricity,8,18,0.71
Electricity,8,19,0.7440000000000001
Electricity,8,20,0.75
Electricity,8,21,0.7440000000000001
Electricity,8,22,0.7390000000000001
Electricity,8,23,0.742
Electricity,8,24,0.6779999999999999
Electricity,9,1,0.679
Electricity,9,2,0.635
Electricity,9,3,0.562
Electricity,9,4,0.536
Electricity,9,5,0.55
Electricity,9,6,0.5479999999999999
Electricity,9,7,0.631
Electricity,9,8,0.6859999999999999
Electricity,9,9,0.758
Electricity,9,10,0.773
Electricity,9,11,0.772
Electricity,9,12,0.752
Electricity,9,13,0.7040000000000001
Electricity,9,14,0.6609999999999999
Electricity,9,15,0.6459999999999999
Electricity,9,16,0.624
Electricity,9,17,0.634
Electricity,9,18,0.6940000000000001
Electricity,9,19,0.746
Electricity,9,20,0.748
Electricity,9,21,0.7340000000000001
Electricity,9,22,0.672
Electricity,9,23,0.7190000000000001
Electricity,9,24,0.672
Electricity,10,1,0.492
Electricity,10,2,0.38
Electricity,10,3,0.355
Electricity,10,4,0.293
Electricity,10,5,0.3229999999999999
Electricity,10,6,0.45
Electricity,10,7,0.613
Electricity,10,8,0.672
Electricity,10,9,0.684
Electricity,10,10,0.6779999999999999
Electricity,10,11,0.645
Electricity,10,12,0.6
Electricity,10,13,0.547
Electricity,10,14,0.522
Electricity,10,15,0.517
Electricity,10,16,0.501
Electricity,10,17,0.588
Electricity,10,18,0.657
Electricity,10,19,0.684
Electricity,10,20,0.6829999999999999
Electricity,10,21,0.682
Electricity,10,22,0.6729999999999999
Electricity,10,23,0.665
Electricity,10,24,0.593
Electricity,11,1,0.302
Electricity,12,1,0.4589999999999999
