,Irr,Text,Weekday,Emissions
0,0.02,5.24,0,164.798
1,0.02,5.09,0,143.957
2,0.02,5.16,0,139.208
3,0.02,4.86,0,136.77
4,0.01,4.8,0,130.657
5,0.02,4.88,0,132.947
6,0.02,4.78,0,133.381
7,0.01,4.68,0,135.478
8,3.98,4.59,0,135.471
9,29.39,4.45,0,135.768
10,53.1,4.8,0,134.913
11,97.83,5.12,0,128.474
12,99.48,5.01,0,130.101
13,125.16,5.41,0,126.606
14,32.54,5.7,0,131.886
15,6.21,5.55,0,140.452
16,0.76,5.56,0,145.761
17,0.02,5.21,0,144.596
18,0.02,5.31,0,140.938
19,0.01,5.5,0,149.045
20,0.02,5.01,0,136.003
21,0.01,5.05,0,124.716
22,0.02,5.27,0,130.29
23,0.02,5,0,124.24
24,0.02,4.85,0,120.684
25,0.02,4.82,0,124.052
26,0.02,4.51,0,125.594
27,0.02,4.53,0,123.815
28,0.02,4.31,0,125.537
29,0.03,3.88,0,132.452
30,0.02,3.24,0,139.168
31,0.02,2.87,0,156.274
32,9.69,3.07,0,175.594
33,44.23,3.14,0,177.975
34,72.61,3.22,0,186.824
35,109.38,3.34,0,183.782
36,152.76,3.51,0,172.396
37,293.06,4.19,0,175.649
38,125.92,4.12,0,195.687
39,55.95,3.51,0,210.153
40,6.76,3.41,0,233.513
41,0.02,3.02,0,241.857
42,0.02,2.52,0,275.615
43,0.02,2.43,0,284.364
44,0.09,0.91,0,282.993
45,0.03,0.76,0,265.851
46,0.02,0.64,0,283.156
47,0.02,0.09,0,275.292
48,0.02,0.14,1,277.524
49,0.02,-0.37,1,272.245
50,0.02,-0.64,1,278.553
51,0.02,-0.95,1,259.086
52,0.02,-1.27,1,244.973
53,0.02,-1.53,1,270.859
54,0.02,-1.8,1,288.486
55,0.02,-1.97,1,260.374
56,37.98,-1.95,1,298.61
57,210.36,-2.03,1,289.282
58,276.66,-1.27,1,293.3
59,424.08,-0.08,1,286.974
60,392.76,0.92,1,269.159
61,197.94,1.06,1,266.321
62,94.06,1.1,1,287.346
63,48.46,1.02,1,292.229
64,8.43,1.09,1,288.75
65,0.02,1.04,1,269.56
66,0.02,1.13,1,276.48
67,0.02,0.92,1,296.515
68,0.02,0.81,1,324.637
69,0.02,0.39,1,350.028
70,0.02,0.56,1,347.089
71,0.03,0.61,1,326.916
72,0.02,0.55,1,325.947
73,0.02,0.43,1,332.295
74,0.02,0.29,1,333.94
75,0.02,0.15,1,330.969
76,0.02,-0.07,1,307.36
77,0.02,-0.52,1,302.52
78,0.02,-0.8,1,259.619
79,0.02,-0.8,1,263.677
80,28.46,-0.51,1,269.586
81,147.08,-0.2,1,276.836
82,238.79,0.18,1,261.099
83,291,1.06,1,238.74
84,327.55,1.71,1,199.091
85,282.85,2.54,1,215.102
86,137.78,2.97,1,227.479
87,84.77,2.91,1,249.579
88,14.89,2.33,1,244.465
89,0.02,1.85,1,261.051
90,0.02,2.05,1,243.401
91,0.02,2.01,1,253.401
92,0.02,1.72,1,255.319
93,0.01,1.79,1,240.558
94,0.02,1.81,1,221.372
95,0.02,1.64,1,192.996
96,0.02,1.67,1,185.006
97,0.02,1.65,1,166.093
98,0.02,1.7,1,171.455
99,0.02,1.49,1,170.387
100,0.02,1.44,1,167.954
101,0.02,1.28,1,176.488
102,0.02,1.24,1,180.538
103,0.02,1.39,1,182.322
104,4.1,0.26,1,190.658
105,20.02,0.43,1,217.942
106,35.82,0.28,1,253.362
107,35.42,0.52,1,224.211
108,43.62,0.44,1,214.655
109,32.97,0.62,1,227.225
110,18.19,0.82,1,240.295
111,17.52,1.1,1,253.798
112,3.47,1.36,1,261.961
113,0.02,1.7,1,263.968
114,0.02,1.94,1,248.671
115,0.02,2.03,1,266.599
116,0.02,2.27,1,281.045
117,0.02,2.44,1,263.75
118,0.02,2.56,1,262.326
119,0.02,2.67,1,257.519
120,0.02,2.78,1,278.215
121,0.02,2.77,1,300.687
122,0.02,2.66,1,306.163
123,0.01,2.84,1,297.034
124,0.01,2.88,1,268.979
125,0.02,2.49,1,283.457
126,0.02,2.53,1,297.935
127,0.02,2.37,1,319.079
128,3.22,2.54,1,317.492
129,19.87,2.44,1,311.472
130,52.73,2.39,1,306.055
131,69.99,2.74,1,319.251
132,57.01,2.89,1,325.303
133,55.32,3.03,1,328.879
134,46.24,3.11,1,340.526
135,21.03,2.95,1,351.117
136,5.57,2.81,1,333.27
137,0.02,2.8,1,338.438
138,0.02,2.71,1,330.389
139,0.02,2.73,1,334.623
140,0.02,2.63,1,346.187
141,0.03,2.66,1,354.157
142,0.03,2.52,1,341.684
143,0.02,2.67,1,334.288
144,0.02,2.51,1,308.952
145,0.02,2.47,1,323.7
146,0.02,2.46,1,326.758
147,0.01,2.59,1,304.477
148,0.02,2.51,1,317.007
149,0.02,2.49,1,335.082
150,0.02,2.52,1,302.422
151,0.02,2.63,1,284.464
152,5.13,2.64,1,254.989
153,21.38,2.66,1,250.965
154,80.57,2.76,1,237.961
155,131.33,3.25,1,249.881
156,115.62,3.78,1,234.89
157,53.14,3.74,1,241.465
158,26.98,3.89,1,266.947
159,10.27,3.74,1,255.545
160,3.18,3.44,1,244.01
161,0.02,3.16,1,231.583
162,0.02,2.76,1,238.746
163,0.02,2.95,1,229.319
164,0.02,2.87,1,210.704
165,0.02,2.74,1,203.084
166,0.02,2.81,1,186.739
