hy	m	dm	h	G_Gh	G_Dh	G_Gk	G_Dk	G_Bn	Ta
1	1	1	1	0	0	0	0	0	8.1
2	1	1	2	0	0	0	0	0	7.7
3	1	1	3	0	0	0	0	0	7.3
4	1	1	4	0	0	0	0	0	7.1
5	1	1	5	0	0	0	0	0	7.0
6	1	1	6	0	0	0	0	0	6.8
7	1	1	7	0	0	0	0	0	6.7
8	1	1	8	0	0	0	0	0	6.5
9	1	1	9	4	4	4	4	0	6.7
10	1	1	10	78	62	78	62	107	8.3
11	1	1	11	150	113	150	113	145	9.9
12	1	1	12	210	150	210	150	184	11.3
13	1	1	13	228	170	228	170	164	12.4
14	1	1	14	216	159	216	159	169	13.0
15	1	1	15	147	123	147	123	86	13.0
16	1	1	16	79	69	79	69	53	12.3
17	1	1	17	3	3	3	3	0	11.2
18	1	1	18	0	0	0	0	0	10.8
19	1	1	19	0	0	0	0	0	10.4
20	1	1	20	0	0	0	0	0	10.0
21	1	1	21	0	0	0	0	0	9.5
22	1	1	22	0	0	0	0	0	9.1
23	1	1	23	0	0	0	0	0	8.7
24	1	1	24	0	0	0	0	0	8.3
25	1	2	1	0	0	0	0	0	7.9
26	1	2	2	0	0	0	0	0	7.5
27	1	2	3	0	0	0	0	0	7.0
28	1	2	4	0	0	0	0	0	6.8
29	1	2	5	0	0	0	0	0	6.6
30	1	2	6	0	0	0	0	0	6.3
31	1	2	7	0	0	0	0	0	6.2
32	1	2	8	0	0	0	0	0	6.0
33	1	2	9	2	2	2	2	0	6.0
34	1	2	10	32	32	32	32	0	6.5
35	1	2	11	64	64	64	64	0	7.0
36	1	2	12	85	85	85	85	0	7.4
37	1	2	13	80	80	80	80	0	7.6
38	1	2	14	89	89	89	89	0	7.8
39	1	2	15	70	70	70	70	0	7.8
40	1	2	16	42	42	42	42	0	7.6
41	1	2	17	6	6	6	6	0	7.3
42	1	2	18	0	0	0	0	0	6.9
43	1	2	19	0	0	0	0	0	6.2
44	1	2	20	0	0	0	0	0	6.2
45	1	2	21	0	0	0	0	0	5.7
46	1	2	22	0	0	0	0	0	5.5
47	1	2	23	0	0	0	0	0	5.1
48	1	2	24	0	0	0	0	0	4.7
49	1	3	1	0	0	0	0	0	4.5
50	1	3	2	0	0	0	0	0	4.3
51	1	3	3	0	0	0	0	0	4.2
52	1	3	4	0	0	0	0	0	4.1
53	1	3	5	0	0	0	0	0	4.1
54	1	3	6	0	0	0	0	0	4.0
55	1	3	7	0	0	0	0	0	4.0
56	1	3	8	0	0	0	0	0	4.0
57	1	3	9	2	2	2	2	0	4.2
58	1	3	10	94	50	94	50	291	6.5
59	1	3	11	150	115	150	115	139	8.2
60	1	3	12	204	151	204	151	162	9.7
61	1	3	13	247	143	247	143	293	11.0
62	1	3	14	312	119	312	119	567	12.5
63	1	3	15	204	98	204	98	374	12.8
64	1	3	16	108	75	108	75	180	12.2
65	1	3	17	17	17	17	17	0	10.9
66	1	3	18	0	0	0	0	0	10.1
67	1	3	19	0	0	0	0	0	9.3
68	1	3	20	0	0	0	0	0	8.5
69	1	3	21	0	0	0	0	0	7.8
70	1	3	22	0	0	0	0	0	7.0
71	1	3	23	0	0	0	0	0	6.2
72	1	3	24	0	0	0	0	0	5.4
73	1	4	1	0	0	0	0	0	4.3
74	1	4	2	0	0	0	0	0	3.1
75	1	4	3	0	0	0	0	0	1.9
76	1	4	4	0	0	0	0	0	1.3
77	1	4	5	0	0	0	0	0	0.6
78	1	4	6	0	0	0	0	0	0.0
79	1	4	7	0	0	0	0	0	-0.5
80	1	4	8	0	0	0	0	0	-1.0
81	1	4	9	6	6	6	6	0	-0.9
82	1	4	10	118	38	118	38	531	1.2
83	1	4	11	234	44	234	44	738	3.3
84	1	4	12	312	47	312	47	808	5.1
85	1	4	13	359	52	359	52	862	6.4
86	1	4	14	332	56	332	56	806	7.1
87	1	4	15	256	48	256	48	729	7.2
88	1	4	16	153	87	153	87	349	6.4
89	1	4	17	18	18	18	18	0	4.8
90	1	4	18	0	0	0	0	0	4.3
91	1	4	19	0	0	0	0	0	3.7
92	1	4	20	0	0	0	0	0	3.2
93	1	4	21	0	0	0	0	0	2.6
94	1	4	22	0	0	0	0	0	2.1
95	1	4	23	0	0	0	0	0	1.5
96	1	4	24	0	0	0	0	0	1.0
97	1	5	1	0	0	0	0	0	0.9
98	1	5	2	0	0	0	0	0	0.8
99	1	5	3	0	0	0	0	0	0.7
100	1	5	4	0	0	0	0	0	0.7
101	1	5	5	0	0	0	0	0	0.7
102	1	5	6	0	0	0	0	0	0.7
103	1	5	7	0	0	0	0	0	0.6
104	1	5	8	0	0	0	0	0	0.6
105	1	5	9	2	2	2	2	0	0.8
106	1	5	10	31	31	31	31	0	1.5
107	1	5	11	60	60	60	60	0	2.2
108	1	5	12	88	88	88	88	0	2.9
109	1	5	13	90	90	90	90	0	3.3
110	1	5	14	76	76	76	76	0	3.5
111	1	5	15	66	66	66	66	0	3.6
112	1	5	16	42	42	42	42	0	3.4
113	1	5	17	6	6	6	6	0	3.0
114	1	5	18	0	0	0	0	0	2.7
115	1	5	19	0	0	0	0	0	2.4
116	1	5	20	0	0	0	0	0	2.0
117	1	5	21	0	0	0	0	0	1.7
118	1	5	22	0	0	0	0	0	1.4
119	1	5	23	0	0	0	0	0	0.9
120	1	5	24	0	0	0	0	0	0.3
121	1	6	1	0	0	0	0	0	0.1
122	1	6	2	0	0	0	0	0	-0.4
123	1	6	3	0	0	0	0	0	-1.0
124	1	6	4	0	0	0	0	0	-1.4
125	1	6	5	0	0	0	0	0	-1.7
126	1	6	6	0	0	0	0	0	-2.0
127	1	6	7	0	0	0	0	0	-2.2
