,id_city,commune,id_operator,operator
0,33,Kleinandelfingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
1,114,Fischenthal,486,Elektrizitätswerke des Kantons Zürich (EKZ)
2,35,Marthalen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
3,142,Wädenswil,486,Elektrizitätswerke des Kantons Zürich (EKZ)
4,116,Grüningen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
5,140,Schönenberg (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
6,251,Weiningen (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
7,224,Pfungen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
8,58,Glattfelden,486,Elektrizitätswerke des Kantons Zürich (EKZ)
9,200,Wangen-Brüttisellen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
10,179,Sternenberg,486,Elektrizitätswerke des Kantons Zürich (EKZ)
11,171,Bauma,486,Elektrizitätswerke des Kantons Zürich (EKZ)
12,133,Horgen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
13,246,Oetwil an der Limmat,486,Elektrizitätswerke des Kantons Zürich (EKZ)
14,249,Unterengstringen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
15,132,Hirzel,486,Elektrizitätswerke des Kantons Zürich (EKZ)
16,51,Bachenbülach,486,Elektrizitätswerke des Kantons Zürich (EKZ)
17,134,Hütten,486,Elektrizitätswerke des Kantons Zürich (EKZ)
18,95,Regensberg,486,Elektrizitätswerke des Kantons Zürich (EKZ)
19,241,Aesch (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
20,7,Knonau,486,Elektrizitätswerke des Kantons Zürich (EKZ)
21,117,Hinwil,486,Elektrizitätswerke des Kantons Zürich (EKZ)
22,84,Dällikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
23,296,Illnau-Effretikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
24,9,Mettmenstetten,486,Elektrizitätswerke des Kantons Zürich (EKZ)
25,219,Elsau,486,Elektrizitätswerke des Kantons Zürich (EKZ)
26,250,Urdorf,486,Elektrizitätswerke des Kantons Zürich (EKZ)
27,57,Freienstein-Teufen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
28,295,Horgen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
29,294,Elgg,486,Elektrizitätswerke des Kantons Zürich (EKZ)
30,23,Berg am Irchel,486,Elektrizitätswerke des Kantons Zürich (EKZ)
31,293,Wädenswil,486,Elektrizitätswerke des Kantons Zürich (EKZ)
32,292,Stammheim,486,Elektrizitätswerke des Kantons Zürich (EKZ)
33,11,Ottenbach,486,Elektrizitätswerke des Kantons Zürich (EKZ)
34,62,Kloten,486,Elektrizitätswerke des Kantons Zürich (EKZ)
35,1,Aeugst am Albis,486,Elektrizitätswerke des Kantons Zürich (EKZ)
36,227,Seuzach,486,Elektrizitätswerke des Kantons Zürich (EKZ)
37,298,Wiesendangen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
38,2937,Neuhausen am Rheinfall,486,Elektrizitätswerke des Kantons Zürich (EKZ)
39,217,Elgg,486,Elektrizitätswerke des Kantons Zürich (EKZ)
40,222,Hofstetten (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
41,92,Oberglatt,486,Elektrizitätswerke des Kantons Zürich (EKZ)
42,67,Rafz,486,Elektrizitätswerke des Kantons Zürich (EKZ)
43,225,Rickenbach (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
44,100,Stadel,486,Elektrizitätswerke des Kantons Zürich (EKZ)
45,28,Flaach,486,Elektrizitätswerke des Kantons Zürich (EKZ)
46,213,Brütten,486,Elektrizitätswerke des Kantons Zürich (EKZ)
47,216,Dinhard,486,Elektrizitätswerke des Kantons Zürich (EKZ)
48,40,Trüllikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
49,101,Steinmaur,486,Elektrizitätswerke des Kantons Zürich (EKZ)
50,66,Opfikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
51,174,Illnau-Effretikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
52,157,Oetwil am See,486,Elektrizitätswerke des Kantons Zürich (EKZ)
53,175,Kyburg,486,Elektrizitätswerke des Kantons Zürich (EKZ)
54,56,Embrach,486,Elektrizitätswerke des Kantons Zürich (EKZ)
55,214,Dägerlen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
56,245,Oberengstringen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
57,231,Zell (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
58,98,Schleinikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
59,55,Eglisau,486,Elektrizitätswerke des Kantons Zürich (EKZ)
60,34,Laufen-Uhwiesen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
61,69,Wallisellen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
62,64,Nürensdorf,486,Elektrizitätswerke des Kantons Zürich (EKZ)
63,53,Bülach,486,Elektrizitätswerke des Kantons Zürich (EKZ)
64,94,Otelfingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
65,41,Truttikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
66,1705,Neuheim,486,Elektrizitätswerke des Kantons Zürich (EKZ)
67,172,Fehraltorf,486,Elektrizitätswerke des Kantons Zürich (EKZ)
68,248,Uitikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
69,12,Rifferswil,486,Elektrizitätswerke des Kantons Zürich (EKZ)
70,223,Neftenbach,486,Elektrizitätswerke des Kantons Zürich (EKZ)
71,63,Lufingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
72,72,Winkel,486,Elektrizitätswerke des Kantons Zürich (EKZ)
73,65,Oberembrach,486,Elektrizitätswerke des Kantons Zürich (EKZ)
74,131,Adliswil,486,Elektrizitätswerke des Kantons Zürich (EKZ)
75,178,Russikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
76,68,Rorbas,486,Elektrizitätswerke des Kantons Zürich (EKZ)
77,197,Schwerzenbach,486,Elektrizitätswerke des Kantons Zürich (EKZ)
78,136,Langnau am Albis,486,Elektrizitätswerke des Kantons Zürich (EKZ)
79,194,Greifensee,486,Elektrizitätswerke des Kantons Zürich (EKZ)
80,4601,Neunforn,486,Elektrizitätswerke des Kantons Zürich (EKZ)
81,195,Maur,486,Elektrizitätswerke des Kantons Zürich (EKZ)
82,88,Neerach,486,Elektrizitätswerke des Kantons Zürich (EKZ)
83,218,Ellikon an der Thur,486,Elektrizitätswerke des Kantons Zürich (EKZ)
84,60,Höri,486,Elektrizitätswerke des Kantons Zürich (EKZ)
85,173,Hittnau,486,Elektrizitätswerke des Kantons Zürich (EKZ)
86,71,Wil (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
87,182,Wildberg,486,Elektrizitätswerke des Kantons Zürich (EKZ)
88,4551,Aadorf,486,Elektrizitätswerke des Kantons Zürich (EKZ)
89,6,Kappel am Albis,486,Elektrizitätswerke des Kantons Zürich (EKZ)
90,4,Hausen am Albis,486,Elektrizitätswerke des Kantons Zürich (EKZ)
91,14,Wettswil am Albis,486,Elektrizitätswerke des Kantons Zürich (EKZ)
92,85,Dänikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
93,26,Dorf,486,Elektrizitätswerke des Kantons Zürich (EKZ)
94,93,Oberweningen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
95,115,Gossau (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
96,52,Bassersdorf,486,Elektrizitätswerke des Kantons Zürich (EKZ)
97,112,Bubikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
98,242,Birmensdorf (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
99,27,Feuerthalen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
100,54,Dietlikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
101,215,Dättlikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
102,10,Obfelden,486,Elektrizitätswerke des Kantons Zürich (EKZ)
103,192,Egg,486,Elektrizitätswerke des Kantons Zürich (EKZ)
104,21,Adlikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
105,153,Hombrechtikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
106,70,Wasterkingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
107,8,Maschwanden,486,Elektrizitätswerke des Kantons Zürich (EKZ)
108,25,Dachsen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
109,37,Ossingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
110,89,Niederglatt,486,Elektrizitätswerke des Kantons Zürich (EKZ)
111,82,Boppelsen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
112,29,Flurlingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
113,3,Bonstetten,486,Elektrizitätswerke des Kantons Zürich (EKZ)
114,141,Thalwil,486,Elektrizitätswerke des Kantons Zürich (EKZ)
115,193,Fällanden,486,Elektrizitätswerke des Kantons Zürich (EKZ)
116,2,Affoltern am Albis,486,Elektrizitätswerke des Kantons Zürich (EKZ)
117,97,Rümlang,486,Elektrizitätswerke des Kantons Zürich (EKZ)
118,83,Buchs (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
119,221,Hettlingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
120,177,Pfäffikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
121,199,Volketswil,486,Elektrizitätswerke des Kantons Zürich (EKZ)
122,198,Uster,486,Elektrizitätswerke des Kantons Zürich (EKZ)
123,102,Weiach,486,Elektrizitätswerke des Kantons Zürich (EKZ)
124,297,Bauma,486,Elektrizitätswerke des Kantons Zürich (EKZ)
125,159,Uetikon am See,486,Elektrizitätswerke des Kantons Zürich (EKZ)
126,24,Buch am Irchel,486,Elektrizitätswerke des Kantons Zürich (EKZ)
127,111,Bäretswil,486,Elektrizitätswerke des Kantons Zürich (EKZ)
128,1323,Wollerau,486,Elektrizitätswerke des Kantons Zürich (EKZ)
129,1704,Menzingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
130,99,Schöfflisdorf,486,Elektrizitätswerke des Kantons Zürich (EKZ)
131,32,Humlikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
132,155,Männedorf,486,Elektrizitätswerke des Kantons Zürich (EKZ)
133,90,Niederhasli,486,Elektrizitätswerke des Kantons Zürich (EKZ)
134,119,Seegräben,486,Elektrizitätswerke des Kantons Zürich (EKZ)
135,87,Hüttikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
136,5,Hedingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
137,113,Dürnten,486,Elektrizitätswerke des Kantons Zürich (EKZ)
138,91,Niederweningen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
139,38,Rheinau,486,Elektrizitätswerke des Kantons Zürich (EKZ)
140,138,Richterswil,486,Elektrizitätswerke des Kantons Zürich (EKZ)
141,1701,Baar,486,Elektrizitätswerke des Kantons Zürich (EKZ)
142,226,Schlatt (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
143,220,Hagenbuch,486,Elektrizitätswerke des Kantons Zürich (EKZ)
144,228,Turbenthal,486,Elektrizitätswerke des Kantons Zürich (EKZ)
145,13,Stallikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
146,36,Oberstammheim,486,Elektrizitätswerke des Kantons Zürich (EKZ)
147,42,Unterstammheim,486,Elektrizitätswerke des Kantons Zürich (EKZ)
148,44,Waltalingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
149,39,Thalheim an der Thur,486,Elektrizitätswerke des Kantons Zürich (EKZ)
150,86,Dielsdorf,486,Elektrizitätswerke des Kantons Zürich (EKZ)
151,291,Andelfingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
152,137,Oberrieden,486,Elektrizitätswerke des Kantons Zürich (EKZ)
153,81,Bachs,486,Elektrizitätswerke des Kantons Zürich (EKZ)
154,31,Henggart,486,Elektrizitätswerke des Kantons Zürich (EKZ)
155,196,Mönchaltorf,486,Elektrizitätswerke des Kantons Zürich (EKZ)
156,1301,Einsiedeln,486,Elektrizitätswerke des Kantons Zürich (EKZ)
157,61,Hüntwangen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
158,229,Wiesendangen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
159,212,Bertschikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
160,243,Dietikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
161,176,Lindau,486,Elektrizitätswerke des Kantons Zürich (EKZ)
162,4726,Fischingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
163,230,Winterthur,486,Elektrizitätswerke des Kantons Zürich (EKZ)
164,247,Schlieren,486,Elektrizitätswerke des Kantons Zürich (EKZ)
165,135,Kilchberg (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
166,139,Rüschlikon,486,Elektrizitätswerke des Kantons Zürich (EKZ)
167,244,Geroldswil,486,Elektrizitätswerke des Kantons Zürich (EKZ)
168,96,Regensdorf,486,Elektrizitätswerke des Kantons Zürich (EKZ)
169,43,Volken,486,Elektrizitätswerke des Kantons Zürich (EKZ)
170,154,Küsnacht (ZH),486,Elektrizitätswerke des Kantons Zürich (EKZ)
171,181,Wila,486,Elektrizitätswerke des Kantons Zürich (EKZ)
172,180,Weisslingen,486,Elektrizitätswerke des Kantons Zürich (EKZ)
173,59,Hochfelden,486,Elektrizitätswerke des Kantons Zürich (EKZ)
