,,,GWP_supply
Electricity,1,1,0.242671
Electricity,1,2,0.241672
Electricity,1,3,0.242318
Electricity,1,4,0.245416
Electricity,1,5,0.230232
Electricity,1,6,0.262527
Electricity,1,7,0.279123
Electricity,1,8,0.28789
Electricity,1,9,0.287629
Electricity,1,10,0.28601499999999996
Electricity,1,11,0.275359
Electricity,1,12,0.283166
Electricity,1,13,0.26974200000000004
Electricity,1,14,0.26802800000000004
Electricity,1,15,0.241711
Electricity,1,16,0.242667
Electricity,1,17,0.22789500000000001
Electricity,1,18,0.207982
Electricity,1,19,0.242513
Electricity,1,20,0.24949100000000002
Electricity,1,21,0.249488
Electricity,1,22,0.232834
Electricity,1,23,0.27894
Electricity,1,24,0.297996
Electricity,2,1,0.26803
Electricity,2,2,0.243719
Electricity,2,3,0.248804
Electricity,2,4,0.254218
Electricity,2,5,0.263284
Electricity,2,6,0.279961
Electricity,2,7,0.270594
Electricity,2,8,0.272324
Electricity,2,9,0.26378700000000005
Electricity,2,10,0.262846
Electricity,2,11,0.260095
Electricity,2,12,0.239947
Electricity,2,13,0.20665899999999998
Electricity,2,14,0.208877
Electricity,2,15,0.221554
Electricity,2,16,0.23513399999999998
Electricity,2,17,0.231888
Electricity,2,18,0.248356
Electricity,2,19,0.278123
Electricity,2,20,0.279055
Electricity,2,21,0.252334
Electricity,2,22,0.248522
Electricity,2,23,0.254547
Electricity,2,24,0.247511
Electricity,3,1,0.203033
Electricity,3,2,0.189276
Electricity,3,3,0.178593
Electricity,3,4,0.158262
Electricity,3,5,0.1529
Electricity,3,6,0.180608
Electricity,3,7,0.199769
Electricity,3,8,0.214846
Electricity,3,9,0.205234
Electricity,3,10,0.152841
Electricity,3,11,0.136516
Electricity,3,12,0.131085
Electricity,3,13,0.133995
Electricity,3,14,0.148854
Electricity,3,15,0.144771
Electricity,3,16,0.13963299999999998
Electricity,3,17,0.143197
Electricity,3,18,0.165385
Electricity,3,19,0.196163
Electricity,3,20,0.256531
Electricity,3,21,0.238321
Electricity,3,22,0.17857800000000001
Electricity,3,23,0.19425299999999998
Electricity,3,24,0.204621
Electricity,4,1,0.308952
Electricity,4,2,0.3237
Electricity,4,3,0.326758
Electricity,4,4,0.30447700000000005
Electricity,4,5,0.317007
Electricity,4,6,0.335082
Electricity,4,7,0.302422
Electricity,4,8,0.284464
Electricity,4,9,0.254989
Electricity,4,10,0.250965
Electricity,4,11,0.237961
Electricity,4,12,0.249881
Electricity,4,13,0.23489
Electricity,4,14,0.241465
Electricity,4,15,0.266947
Electricity,4,16,0.25554499999999997
Electricity,4,17,0.24401
Electricity,4,18,0.231583
Electricity,4,19,0.238746
Electricity,4,20,0.229319
Electricity,4,21,0.210704
Electricity,4,22,0.20308400000000001
Electricity,4,23,0.18673900000000002
Electricity,4,24,0.168527
Electricity,5,1,0.23822100000000002
Electricity,5,2,0.234817
Electricity,5,3,0.221664
Electricity,5,4,0.201322
Electricity,5,5,0.194457
Electricity,5,6,0.196183
Electricity,5,7,0.193221
Electricity,5,8,0.172758
Electricity,5,9,0.149976
Electricity,5,10,0.128454
Electricity,5,11,0.10302
Electricity,5,12,0.102899
Electricity,5,13,0.122131
Electricity,5,14,0.08798299999999999
Electricity,5,15,0.062605
Electricity,5,16,0.076509
Electricity,5,17,0.07183400000000001
Electricity,5,18,0.070973
Electricity,5,19,0.117799
Electricity,5,20,0.223356
Electricity,5,21,0.18761900000000004
Electricity,5,22,0.17571099999999998
Electricity,5,23,0.19196400000000002
Electricity,5,24,0.230154
Electricity,6,1,0.122345
Electricity,6,2,0.10663500000000001
Electricity,6,3,0.105832
Electricity,6,4,0.099788
Electricity,6,5,0.098315
Electricity,6,6,0.122017
Electricity,6,7,0.175453
Electricity,6,8,0.190989
Electricity,6,9,0.24580600000000002
Electricity,6,10,0.24717
Electricity,6,11,0.23127799999999998
Electricity,6,12,0.196648
Electricity,6,13,0.166176
Electricity,6,14,0.14462899999999998
Electricity,6,15,0.147033
Electricity,6,16,0.121681
Electricity,6,17,0.12890100000000002
Electricity,6,18,0.144844
Electricity,6,19,0.17246099999999998
Electricity,6,20,0.223046
Electricity,6,21,0.204027
Electricity,6,22,0.200065
Electricity,6,23,0.223023
Electricity,6,24,0.148524
Electricity,7,1,0.11486400000000001
Electricity,7,2,0.08667
Electricity,7,3,0.07153699999999999
Electricity,7,4,0.091982
Electricity,7,5,0.08865899999999999
Electricity,7,6,0.095161
Electricity,7,7,0.107266
Electricity,7,8,0.164863
Electricity,7,9,0.224779
Electricity,7,10,0.23088
Electricity,7,11,0.223797
Electricity,7,12,0.207926
Electricity,7,13,0.199005
Electricity,7,14,0.17186500000000002
Electricity,7,15,0.11228400000000001
Electricity,7,16,0.117619
Electricity,7,17,0.121485
Electricity,7,18,0.127327
Electricity,7,19,0.206157
Electricity,7,20,0.224949
Electricity,7,21,0.226546
Electricity,7,22,0.212959
Electricity,7,23,0.21393700000000002
Electricity,7,24,0.12756699999999999
Electricity,8,1,0.161268
Electricity,8,2,0.13102
Electricity,8,3,0.11608199999999999
Electricity,8,4,0.114568
Electricity,8,5,0.11536400000000001
Electricity,8,6,0.135478
Electricity,8,7,0.17331200000000002
Electricity,8,8,0.196536
Electricity,8,9,0.245931
Electricity,8,10,0.240273
Electricity,8,11,0.218472
Electricity,8,12,0.22896799999999998
