,,,GWP_supply
Electricity,1,1,0.165078
Electricity,1,2,0.158049
Electricity,1,3,0.147685
Electricity,1,4,0.142898
Electricity,1,5,0.138776
Electricity,1,6,0.144053
Electricity,1,7,0.21886900000000004
Electricity,1,8,0.24393299999999998
Electricity,1,9,0.249654
Electricity,1,10,0.24607400000000001
Electricity,1,11,0.25041
Electricity,1,12,0.242479
Electricity,1,13,0.232513
Electricity,1,14,0.23098500000000002
Electricity,1,15,0.232001
Electricity,1,16,0.231629
Electricity,1,17,0.236144
Electricity,1,18,0.238937
Electricity,1,19,0.251004
Electricity,1,20,0.252153
Electricity,1,21,0.253903
Electricity,1,22,0.234363
Electricity,1,23,0.21856399999999998
Electricity,1,24,0.186118
Electricity,2,1,0.27064299999999997
Electricity,2,2,0.278841
Electricity,2,3,0.269536
Electricity,2,4,0.249468
Electricity,2,5,0.24476499999999998
Electricity,2,6,0.2647
Electricity,2,7,0.276604
Electricity,2,8,0.23142400000000002
Electricity,2,9,0.247939
Electricity,2,10,0.259349
Electricity,2,11,0.27060700000000004
Electricity,2,12,0.255161
Electricity,2,13,0.243317
Electricity,2,14,0.233904
Electricity,2,15,0.21915700000000002
Electricity,2,16,0.214341
Electricity,2,17,0.192639
Electricity,2,18,0.19663999999999998
Electricity,2,19,0.227765
Electricity,2,20,0.227919
Electricity,2,21,0.227182
Electricity,2,22,0.237844
Electricity,2,23,0.24946600000000002
Electricity,2,24,0.25854400000000005
Electricity,3,1,0.257473
Electricity,3,2,0.24823900000000002
Electricity,3,3,0.240342
Electricity,3,4,0.234236
Electricity,3,5,0.22059299999999998
Electricity,3,6,0.259535
Electricity,3,7,0.258993
Electricity,3,8,0.27214499999999997
Electricity,3,9,0.25628300000000004
Electricity,3,10,0.245648
Electricity,3,11,0.25466900000000003
Electricity,3,12,0.246734
Electricity,3,13,0.226655
Electricity,3,14,0.21455000000000002
Electricity,3,15,0.198129
Electricity,3,16,0.20042400000000002
Electricity,3,17,0.20610599999999998
Electricity,3,18,0.205882
Electricity,3,19,0.240007
Electricity,3,20,0.25105500000000003
Electricity,3,21,0.248908
Electricity,3,22,0.23714
Electricity,3,23,0.239285
Electricity,3,24,0.272719
Electricity,4,1,0.167602
Electricity,4,2,0.163459
Electricity,4,3,0.156929
Electricity,4,4,0.16225799999999999
Electricity,4,5,0.17003200000000002
Electricity,4,6,0.18228999999999998
Electricity,4,7,0.22151300000000002
Electricity,4,8,0.231881
Electricity,4,9,0.24171400000000004
Electricity,4,10,0.216734
Electricity,4,11,0.21661000000000002
Electricity,4,12,0.205533
Electricity,4,13,0.181186
Electricity,4,14,0.17593799999999998
Electricity,4,15,0.19927699999999998
Electricity,4,16,0.207405
Electricity,4,17,0.199324
Electricity,4,18,0.18755000000000002
Electricity,4,19,0.186748
Electricity,4,20,0.188455
Electricity,4,21,0.142581
Electricity,4,22,0.13636700000000002
Electricity,4,23,0.131841
Electricity,4,24,0.118823
Electricity,5,1,0.037433
Electricity,5,2,0.044427999999999995
Electricity,5,3,0.060895000000000005
Electricity,5,4,0.073363
Electricity,5,5,0.07492399999999999
Electricity,5,6,0.07246899999999999
Electricity,5,7,0.038558999999999996
Electricity,5,8,0.03409
Electricity,5,9,0.030001
Electricity,5,10,0.034125
Electricity,5,11,0.062709
Electricity,5,12,0.06937100000000002
Electricity,5,13,0.081947
Electricity,5,14,0.079881
Electricity,5,15,0.06464199999999999
Electricity,5,16,0.047401000000000006
Electricity,5,17,0.06486399999999999
Electricity,5,18,0.112004
Electricity,5,19,0.11462399999999999
Electricity,5,20,0.0554
Electricity,5,21,0.045988
Electricity,5,22,0.037554000000000004
Electricity,5,23,0.03376300000000001
Electricity,5,24,0.036587
Electricity,6,1,0.163494
Electricity,6,2,0.13948500000000003
Electricity,6,3,0.11743200000000001
Electricity,6,4,0.115115
Electricity,6,5,0.10034699999999999
Electricity,6,6,0.12567799999999998
Electricity,6,7,0.172969
Electricity,6,8,0.217326
Electricity,6,9,0.22241
Electricity,6,10,0.21618400000000002
Electricity,6,11,0.21966
Electricity,6,12,0.23206200000000002
Electricity,6,13,0.197782
Electricity,6,14,0.19637000000000002
Electricity,6,15,0.17822099999999996
Electricity,6,16,0.178092
Electricity,6,17,0.227426
Electricity,6,18,0.23781899999999997
Electricity,6,19,0.253346
Electricity,6,20,0.248122
Electricity,6,21,0.24753999999999998
Electricity,6,22,0.24463200000000002
Electricity,6,23,0.22988
Electricity,6,24,0.15362
Electricity,7,1,0.14343999999999998
Electricity,7,2,0.128516
Electricity,7,3,0.11725100000000001
Electricity,7,4,0.10872799999999999
Electricity,7,5,0.10314100000000001
Electricity,7,6,0.11579300000000001
Electricity,7,7,0.17248
Electricity,7,8,0.200087
Electricity,7,9,0.21470699999999998
Electricity,7,10,0.218608
Electricity,7,11,0.21537
Electricity,7,12,0.203213
Electricity,7,13,0.178468
Electricity,7,14,0.156425
Electricity,7,15,0.143474
Electricity,7,16,0.143064
Electricity,7,17,0.155375
Electricity,7,18,0.171972
Electricity,7,19,0.215249
Electricity,7,20,0.237044
Electricity,7,21,0.221228
Electricity,7,22,0.17335499999999998
Electricity,7,23,0.162799
Electricity,7,24,0.140302
Electricity,8,1,0.11322
Electricity,8,2,0.100292
Electricity,8,3,0.097351
Electricity,8,4,0.092655
Electricity,8,5,0.09292700000000001
Electricity,8,6,0.096873
Electricity,8,7,0.112566
Electricity,8,8,0.13939400000000002
Electricity,8,9,0.17063599999999998
Electricity,8,10,0.163565
Electricity,8,11,0.152971
Electricity,8,12,0.142377
Electricity,8,13,0.13297899999999999
Electricity,8,14,0.127065
Electricity,8,15,0.136912
Electricity,8,16,0.11643300000000001
Electricity,8,17,0.124204
Electricity,8,18,0.131719
Electricity,8,19,0.153309
Electricity,8,20,0.16122899999999998
Electricity,8,21,0.16194999999999998
Electricity,8,22,0.16309200000000001
Electricity,8,23,0.17757
Electricity,8,24,0.167334
Electricity,9,1,0.12140300000000001
Electricity,9,2,0.116792
Electricity,9,3,0.103358
Electricity,9,4,0.096704
Electricity,9,5,0.101052
Electricity,9,6,0.103637
Electricity,9,7,0.135685
Electricity,9,8,0.186596
Electricity,9,9,0.20075700000000002
Electricity,9,10,0.196107
Electricity,9,11,0.18390600000000001
Electricity,9,12,0.188871
Electricity,9,13,0.18004699999999998
Electricity,9,14,0.165043
Electricity,9,15,0.162457
Electricity,9,16,0.163148
Electricity,9,17,0.177178
Electricity,9,18,0.192428
Electricity,9,19,0.201327
Electricity,9,20,0.20042400000000002
Electricity,9,21,0.202667
Electricity,9,22,0.20078100000000002
Electricity,9,23,0.19298400000000002
Electricity,9,24,0.126324
Electricity,10,1,0.108196
Electricity,10,2,0.09229000000000001
Electricity,10,3,0.082569
Electricity,10,4,0.066674
Electricity,10,5,0.07140899999999999
Electricity,10,6,0.08865
Electricity,10,7,0.130102
Electricity,10,8,0.211938
Electricity,10,9,0.219524
Electricity,10,10,0.212407
Electricity,10,11,0.16601
Electricity,10,12,0.162321
Electricity,10,13,0.144961
Electricity,10,14,0.096863
Electricity,10,15,0.097062
Electricity,10,16,0.108158
Electricity,10,17,0.10129
Electricity,10,18,0.17265599999999998
Electricity,10,19,0.19433799999999998
Electricity,10,20,0.206433
Electricity,10,21,0.20937999999999998
Electricity,10,22,0.204529
Electricity,10,23,0.19844399999999998
Electricity,10,24,0.148135
Electricity,11,1,0.0
Electricity,12,1,0.0
