,,,GWP_supply
Electricity,1,1,0.357
Electricity,1,2,0.358
Electricity,1,3,0.349
Electricity,1,4,0.3289999999999999
Electricity,1,5,0.316
Electricity,1,6,0.364
Electricity,1,7,0.51
Electricity,1,8,0.607
Electricity,1,9,0.626
Electricity,1,10,0.5770000000000001
Electricity,1,11,0.47
Electricity,1,12,0.417
Electricity,1,13,0.37
Electricity,1,14,0.37
Electricity,1,15,0.331
Electricity,1,16,0.32
Electricity,1,17,0.349
Electricity,1,18,0.57
Electricity,1,19,0.644
Electricity,1,20,0.659
Electricity,1,21,0.631
Electricity,1,22,0.513
Electricity,1,23,0.377
Electricity,1,24,0.331
Electricity,2,1,0.312
Electricity,2,2,0.302
Electricity,2,3,0.311
Electricity,2,4,0.313
Electricity,2,5,0.308
Electricity,2,6,0.324
Electricity,2,7,0.409
Electricity,2,8,0.56
Electricity,2,9,0.5660000000000001
Electricity,2,10,0.542
Electricity,2,11,0.527
Electricity,2,12,0.483
Electricity,2,13,0.395
Electricity,2,14,0.39
Electricity,2,15,0.386
Electricity,2,16,0.371
Electricity,2,17,0.351
Electricity,2,18,0.408
Electricity,2,19,0.5529999999999999
Electricity,2,20,0.552
Electricity,2,21,0.46
Electricity,2,22,0.363
Electricity,2,23,0.348
Electricity,2,24,0.332
Electricity,3,1,0.35
Electricity,3,2,0.346
Electricity,3,3,0.353
Electricity,3,4,0.335
Electricity,3,5,0.3329999999999999
Electricity,3,6,0.352
Electricity,3,7,0.385
Electricity,3,8,0.4529999999999999
Electricity,3,9,0.4629999999999999
Electricity,3,10,0.3779999999999999
Electricity,3,11,0.365
Electricity,3,12,0.381
Electricity,3,13,0.395
Electricity,3,14,0.414
Electricity,3,15,0.386
Electricity,3,16,0.364
Electricity,3,17,0.336
Electricity,3,18,0.331
Electricity,3,19,0.426
Electricity,3,20,0.621
Electricity,3,21,0.501
Electricity,3,22,0.34
Electricity,3,23,0.326
Electricity,3,24,0.312
Electricity,4,1,0.273
Electricity,4,2,0.271
Electricity,4,3,0.2789999999999999
Electricity,4,4,0.268
Electricity,4,5,0.266
Electricity,4,6,0.262
Electricity,4,7,0.284
Electricity,4,8,0.522
Electricity,4,9,0.606
Electricity,4,10,0.612
Electricity,4,11,0.606
Electricity,4,12,0.59
Electricity,4,13,0.57
Electricity,4,14,0.5429999999999999
Electricity,4,15,0.429
Electricity,4,16,0.434
Electricity,4,17,0.434
Electricity,4,18,0.515
Electricity,4,19,0.562
Electricity,4,20,0.5670000000000001
Electricity,4,21,0.515
Electricity,4,22,0.418
Electricity,4,23,0.422
Electricity,4,24,0.406
Electricity,5,1,0.278
Electricity,5,2,0.263
Electricity,5,3,0.249
Electricity,5,4,0.228
Electricity,5,5,0.21
Electricity,5,6,0.218
Electricity,5,7,0.226
Electricity,5,8,0.245
Electricity,5,9,0.272
Electricity,5,10,0.282
Electricity,5,11,0.263
Electricity,5,12,0.273
Electricity,5,13,0.308
Electricity,5,14,0.258
Electricity,5,15,0.221
Electricity,5,16,0.225
Electricity,5,17,0.2019999999999999
Electricity,5,18,0.19
Electricity,5,19,0.267
Electricity,5,20,0.369
Electricity,5,21,0.296
Electricity,5,22,0.28
Electricity,5,23,0.302
Electricity,5,24,0.345
Electricity,6,1,0.471
Electricity,6,2,0.429
Electricity,6,3,0.416
Electricity,6,4,0.402
Electricity,6,5,0.406
Electricity,6,6,0.4579999999999999
Electricity,6,7,0.551
Electricity,6,8,0.639
Electricity,6,9,0.755
Electricity,6,10,0.76
Electricity,6,11,0.75
Electricity,6,12,0.705
Electricity,6,13,0.631
Electricity,6,14,0.515
Electricity,6,15,0.481
Electricity,6,16,0.47
Electricity,6,17,0.484
Electricity,6,18,0.54
Electricity,6,19,0.6409999999999999
Electricity,6,20,0.713
