,,,GWP_supply
Electricity,1,1,0.278
Electricity,1,2,0.268
Electricity,1,3,0.247
Electricity,1,4,0.2189999999999999
Electricity,1,5,0.201
Electricity,1,6,0.2239999999999999
Electricity,1,7,0.547
Electricity,1,8,0.659
Electricity,1,9,0.706
Electricity,1,10,0.7040000000000001
Electricity,1,11,0.6940000000000001
Electricity,1,12,0.684
Electricity,1,13,0.655
Electricity,1,14,0.66
Electricity,1,15,0.66
Electricity,1,16,0.66
Electricity,1,17,0.662
Electricity,1,18,0.631
Electricity,1,19,0.703
Electricity,1,20,0.7090000000000001
Electricity,1,21,0.708
Electricity,1,22,0.638
Electricity,1,23,0.575
Electricity,1,24,0.363
Electricity,2,1,0.225
Electricity,2,2,0.212
Electricity,2,3,0.204
Electricity,2,4,0.1969999999999999
Electricity,2,5,0.203
Electricity,2,6,0.241
Electricity,2,7,0.446
Electricity,2,8,0.635
Electricity,2,9,0.624
Electricity,2,10,0.5579999999999999
Electricity,2,11,0.397
Electricity,2,12,0.344
Electricity,2,13,0.331
Electricity,2,14,0.308
Electricity,2,15,0.288
Electricity,2,16,0.265
Electricity,2,17,0.253
Electricity,2,18,0.408
Electricity,2,19,0.62
Electricity,2,20,0.624
Electricity,2,21,0.396
Electricity,2,22,0.257
Electricity,2,23,0.259
Electricity,2,24,0.248
Electricity,3,1,0.29
Electricity,3,2,0.287
Electricity,3,3,0.284
Electricity,3,4,0.28
Electricity,3,5,0.281
Electricity,3,6,0.3229999999999999
Electricity,3,7,0.444
Electricity,3,8,0.602
Electricity,3,9,0.573
Electricity,3,10,0.48
Electricity,3,11,0.412
Electricity,3,12,0.408
Electricity,3,13,0.39
Electricity,3,14,0.377
Electricity,3,15,0.348
Electricity,3,16,0.3339999999999999
Electricity,3,17,0.3379999999999999
Electricity,3,18,0.486
Electricity,3,19,0.635
Electricity,3,20,0.6559999999999999
Electricity,3,21,0.63
Electricity,3,22,0.387
Electricity,3,23,0.304
Electricity,3,24,0.302
Electricity,4,1,0.3879999999999999
Electricity,4,2,0.3779999999999999
Electricity,4,3,0.3779999999999999
Electricity,4,4,0.418
Electricity,4,5,0.396
Electricity,4,6,0.402
Electricity,4,7,0.528
Electricity,4,8,0.616
Electricity,4,9,0.642
Electricity,4,10,0.618
Electricity,4,11,0.611
Electricity,4,12,0.585
Electricity,4,13,0.507
Electricity,4,14,0.481
Electricity,4,15,0.52
Electricity,4,16,0.48
Electricity,4,17,0.522
Electricity,4,18,0.575
Electricity,4,19,0.602
Electricity,4,20,0.594
Electricity,4,21,0.49
Electricity,4,22,0.455
Electricity,4,23,0.432
Electricity,4,24,0.432
Electricity,5,1,0.248
Electricity,5,2,0.241
Electricity,5,3,0.252
Electricity,5,4,0.262
Electricity,5,5,0.2689999999999999
Electricity,5,6,0.273
Electricity,5,7,0.258
Electricity,5,8,0.255
Electricity,5,9,0.259
Electricity,5,10,0.27
Electricity,5,11,0.312
Electricity,5,12,0.326
Electricity,5,13,0.345
Electricity,5,14,0.347
Electricity,5,15,0.313
Electricity,5,16,0.3
Electricity,5,17,0.335
Electricity,5,18,0.425
Electricity,5,19,0.407
Electricity,5,20,0.311
Electricity,5,21,0.292
Electricity,5,22,0.282
Electricity,5,23,0.268
Electricity,5,24,0.26
Electricity,6,1,0.594
Electricity,6,2,0.551
Electricity,6,3,0.497
Electricity,6,4,0.482
Electricity,6,5,0.477
Electricity,6,6,0.5479999999999999
Electricity,6,7,0.626
Electricity,6,8,0.674
Electricity,6,9,0.684
Electricity,6,10,0.6779999999999999
Electricity,6,11,0.687
Electricity,6,12,0.7
Electricity,6,13,0.6779999999999999
Electricity,6,14,0.682
Electricity,6,15,0.675
Electricity,6,16,0.6659999999999999
Electricity,6,17,0.7140000000000001
Electricity,6,18,0.726
Electricity,6,19,0.747
Electricity,6,20,0.746
Electricity,6,21,0.741
Electricity,6,22,0.733
Electricity,6,23,0.7140000000000001
Electricity,6,24,0.5670000000000001
Electricity,7,1,0.348
Electricity,7,2,0.336
Electricity,7,3,0.327
Electricity,7,4,0.318
Electricity,7,5,0.304
Electricity,7,6,0.305
Electricity,7,7,0.353
Electricity,7,8,0.465
Electricity,7,9,0.56
Electricity,7,10,0.529
Electricity,7,11,0.474
Electricity,7,12,0.471
Electricity,7,13,0.427
Electricity,7,14,0.432
Electricity,7,15,0.384
Electricity,7,16,0.369
Electricity,7,17,0.369
Electricity,7,18,0.369
Electricity,7,19,0.512
Electricity,7,20,0.5870000000000001
Electricity,7,21,0.504
Electricity,7,22,0.368
Electricity,7,23,0.375
Electricity,7,24,0.371
Electricity,8,1,0.511
Electricity,8,2,0.477
Electricity,8,3,0.47
Electricity,8,4,0.4639999999999999
Electricity,8,5,0.457
Electricity,8,6,0.467
Electricity,8,7,0.492
Electricity,8,8,0.546
Electricity,8,9,0.611
Electricity,8,10,0.603
Electricity,8,11,0.573
Electricity,8,12,0.5429999999999999
Electricity,8,13,0.539
Electricity,8,14,0.515
Electricity,8,15,0.508
Electricity,8,16,0.486
Electricity,8,17,0.504
Electricity,8,18,0.521
Electricity,8,19,0.56
Electricity,8,20,0.578
Electricity,8,21,0.5820000000000001
Electricity,8,22,0.5770000000000001
Electricity,8,23,0.614
Electricity,8,24,0.562
Electricity,9,1,0.5820000000000001
Electricity,9,2,0.529
Electricity,9,3,0.479
Electricity,9,4,0.435
Electricity,9,5,0.45
Electricity,9,6,0.508
Electricity,9,7,0.583
Electricity,9,8,0.6679999999999999
Electricity,9,9,0.688
Electricity,9,10,0.6829999999999999
Electricity,9,11,0.6729999999999999
Electricity,9,12,0.6759999999999999
Electricity,9,13,0.669
Electricity,9,14,0.6579999999999999
Electricity,9,15,0.662
Electricity,9,16,0.662
Electricity,9,17,0.67
Electricity,9,18,0.687
Electricity,9,19,0.695
Electricity,9,20,0.695
Electricity,9,21,0.695
Electricity,9,22,0.691
Electricity,9,23,0.682
Electricity,9,24,0.617
Electricity,10,1,0.462
Electricity,10,2,0.444
Electricity,10,3,0.428
Electricity,10,4,0.3989999999999999
Electricity,10,5,0.4
Electricity,10,6,0.417
Electricity,10,7,0.506
Electricity,10,8,0.616
Electricity,10,9,0.6609999999999999
Electricity,10,10,0.653
Electricity,10,11,0.598
Electricity,10,12,0.578
Electricity,10,13,0.5429999999999999
Electricity,10,14,0.527
Electricity,10,15,0.525
Electricity,10,16,0.529
Electricity,10,17,0.541
Electricity,10,18,0.604
Electricity,10,19,0.6409999999999999
Electricity,10,20,0.6459999999999999
Electricity,10,21,0.6679999999999999
Electricity,10,22,0.664
Electricity,10,23,0.6559999999999999
Electricity,10,24,0.574
Electricity,11,1,0.0
Electricity,12,1,0.0
