Grid;ref_unit;Network_demand_connection;Network_supply_connection;Cost_demand_cst;Cost_supply_cst;GWP_demand_cst;GWP_supply_cst;Cost_connection;Network_ext;ReinforcementOfNetwork;Cost_network_inv1;Cost_network_inv2;GWP_network_1;GWP_network_2;Network_lifetime
Electricity;kWh;1;1;0.17;0.33;0.13;0.13;0;400;400/600/1000/2000;15000;10;0;0;60
NaturalGas;kWh;0;1;0;0.14;0;0.23;0;5000;500/1000/2000/5000;0;0;0;0;60
Oil;kWh;0;1;0;0.14;0;0.28;0;5000;500/1000/2000/5000;0;0;0;0;60
Heat;kWh;1;1;0;0.15;0;0.23;0;5000;500/1000/2000/5000;0;0;0;0;60
Wood;kWh;0;1;0;0.11;0;0.10;0;5000;500/1000/2000/5000;0;0;0;0;60
Hydrogen;kWh;1;1;0.15;0.45;0.328;0.328;0;0;0;0;0;0;0;60
Biomethane;kWh;0;0;0;0.2;0;0.214;0;0;0;0;0;0;0;60
CO2;mol;0;0;0;0;0;0;0;0;0;0;0;0;0;60
Data;kWh;1;1;0.45;0.5;0;1.6;0;5000;500/1000/2000/5000;0;0;0;0;60
Mobility;pkm;0;1;0;0.4;0;0.0195;0;5000;500/1000/2000/5000;0;0;0;0;60
Gasoline;kWh;0;1;0;0.19;0;0.485;0;5000;500/1000/2000/5000;0;0;0;0;60
