period,U_required_facade,U_required_footprint,U_required_roof,CO2_eq_facade,CO2_eq_roof,CO2_eq_footprint,Cost_fixed_facade,Cost_var_facade,Cost_fixed_footprint,Cost_var_footprint,Cost_fixed_roof,Cost_var_roof,kappa_material_facade,kappa_material_footprint,kappa_material_roof
<1919,0.000243,0.000243,0.000236,15.5,13.6,8.8,96.88,2.7585,30.754,1.2463,33.438,2.3652,3.5e-05,3.5e-05,3.5e-05
1919-1945,0.000244,0.000239,0.000249,15.5,14.6,8.8,96.88,2.7585,30.754,1.2463,33.438,2.3652,3.5e-05,3.5e-05,3.5e-05
1946-1960,0.000239,0.000254,0.000248,15.5,39.9,8.8,96.88,2.7585,30.754,1.2463,33.438,2.3652,3.5e-05,3.5e-05,3.5e-05
1961-1970,0.000239,0.000254,0.000248,15.5,39.9,8.8,96.88,2.7585,30.754,1.2463,33.438,2.3652,3.5e-05,3.5e-05,3.5e-05
1971-1980,0.000239,0.000254,0.000248,15.5,39.9,8.8,96.88,2.7585,30.754,1.2463,33.438,2.3652,3.5e-05,3.5e-05,3.5e-05
1981-1990,0.000233,0.000246,0.00024,13.3,35.5,7.91,96.88,2.7585,30.754,1.2463,33.438,2.3652,3.5e-05,3.5e-05,3.5e-05
1991-2000,0.000215,0.000248,0.00022,7.92,31.2,2.26,96.88,2.7585,30.754,1.2463,33.438,2.3652,3.5e-05,3.5e-05,3.5e-05
2001-2005,0.000161,0.000291,0.000161,9.05,35.6,9.04,96.88,2.7585,30.754,1.2463,33.438,2.3652,3.5e-05,3.5e-05,3.5e-05
2006-2010,0.000155,0.00018,0.000161,26.4,32.4,6.78,96.88,2.7585,30.754,1.2463,33.438,2.3652,3.5e-05,3.5e-05,3.5e-05
>2010,0.00014,0.0002,0.00014,26.4,32.4,6.78,96.88,2.7585,30.754,1.2463,33.438,2.3652,3.5e-05,3.5e-05,3.5e-05
