year,element,cost[CHF/m2],GWP kg CO2/m2
<1918,facade,290,15.5
<1918,roof,150,13.6
<1918,footprint,100,8.8
<1918,window,850,32.2
1919-1948,facade,270,15.5
1919-1948,roof,150,14.6
1919-1948,footprint,100,8.8
1919-1948,window,850,32.2
1949-1978,facade,270,15.5
1949-1978,roof,150,39.9
1949-1978,footprint,100,8.8
1949-1978,window,850,32.2
1979-1994,facade,240,13.3
1979-1994,roof,134,35.5
1979-1994,footprint,90,7.91
1979-1994,window,850,32.2
1995-2001,facade,220,7.92
1995-2001,roof,123,31.2
1995-2001,footprint,72,7.26
1995-2001,window,850,32.2
2002-2006,facade,226,9.05
2002-2006,roof,134,35.6
2002-2006,footprint,53,9.04
2002-2006,window,850,32.2
>2006,facade,223,26.4
>2006,roof,150,32.4
>2006,footprint,53,6.78
>2006,window,850,32.2
