Unit,Units_Mult
Air_Conditioner_Air_Building1,0.0
Air_Conditioner_Air_Building2,0.0
Battery_Building1,0.0
Battery_Building2,0.0
ElectricalHeater_DHW_Building1,0.0
ElectricalHeater_DHW_Building2,0.0
ElectricalHeater_SH_Building1,0.0
ElectricalHeater_SH_Building2,0.0
HeatPump_Air_Building1,14.28106103899
HeatPump_Air_Building2,0.0
HeatPump_Geothermal_Building1,0.0
HeatPump_Geothermal_Building2,0.0
NG_Boiler_Building1,10.34003281478
NG_Boiler_Building2,3.02062815386
PV_Building1,92.31885444431
PV_Building2,40.92601633167
ThermalSolar_Building1,0.0
ThermalSolar_Building2,0.0
WaterTankDHW_Building1,0.33297895872
WaterTankDHW_Building2,0.01518072289
WaterTankSH_Building1,1.35101765046
WaterTankSH_Building2,0.0
