Unit,Units_Fmin,Units_Fmax,Cost_inv1,Cost_inv2,GWP_unit1,GWP_unit2,lifetime,land_use_1,land_use_2,mine_res_1,mine_res_2,water_res_1,water_res_2,energy_res_1,energy_res_2,Human_toxicity_1,Human_toxicity_2,water_pollutants_1,water_pollutants_2,metals_water_1,metals_water_2,pop_water_1,pop_water_2,metals_soil_1,metals_soil_2,pollutants_pm_1,pollutants_pm_2,Metal_air_1,Metal_air_2,ozone_depletion_1,ozone_depletion_2
BESS_IP,0.1,1e5,0,206,0,65,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTES_S_IP,0.1,1e5,0,17,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTES_C_IP,0.1,1e5,0,574,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HC,0.1,1e5,0,0.001,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4_storage,0.1,1e5,0,4.6,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2S_storage,0.1,1e5,0,13.5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2_compression,0.1,1e5,0,1000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOEFC,0.1,1e5,0,1500,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTZ,0.1,1e5,0,368.5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC,0.1,1e5,0,1500,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETZ,0.1,1e5,0,385,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS_IP,0.1,1e5,0,2000,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LHS,0.1,1e5,0,52.8,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
