,Area,X,Y,Z,XY,XYZ,azimuth,elevation,Sin_e,Cos_e,Cos_a,Sin_a
0,435450000.0,2.2436e-12,99093.454775,10395.584541,99093.454775,99637.24683668277,0,6,0.1043,0.9945,1.0,0.0
1,435450000.0,20602.687731,96928.025037,10395.584541,99093.45477535031,99637.24683703115,12,6,0.1043,0.9945,0.9781,0.2079
2,435450000.0,40304.939146,90526.375492,10395.584541,99093.45477518352,99637.24683686528,24,6,0.1043,0.9945,0.9135,0.4067
3,435450000.0,58245.671316,80168.288944,10395.584541,99093.45477507674,99637.24683675908,36,6,0.1043,0.9945,0.809,0.5878
4,435450000.0,73640.788155,66306.46348,10395.584541,99093.45477534914,99637.24683702999,48,6,0.1043,0.9945,0.6691,0.7431
5,435450000.0,85817.449184,49546.727388,10395.584541,99093.45477532415,99637.24683700514,60,6,0.1043,0.9945,0.5,0.866
6,435450000.0,94243.475886,30621.561557,10395.584541,99093.45477509705,99637.24683677929,72,6,0.1043,0.9945,0.309,0.9511
7,435450000.0,98550.610462,10358.086548,10395.584541,99093.45477562441,99637.24683730376,84,6,0.1043,0.9945,0.1045,0.9945
8,435450000.0,98550.610462,-10358.086548,10395.584541,99093.45477562441,99637.24683730376,96,6,0.1043,0.9945,-0.1045,0.9945
9,435450000.0,94243.475886,-30621.561557,10395.584541,99093.45477509705,99637.24683677929,108,6,0.1043,0.9945,-0.309,0.9511
10,435450000.0,85817.449184,-49546.727388,10395.584541,99093.45477532415,99637.24683700514,120,6,0.1043,0.9945,-0.5,0.866
11,435450000.0,73640.788155,-66306.46348,10395.584541,99093.45477534914,99637.24683702999,132,6,0.1043,0.9945,-0.6691,0.7431
12,435450000.0,58245.671316,-80168.288944,10395.584541,99093.45477507674,99637.24683675908,144,6,0.1043,0.9945,-0.809,0.5878
13,435450000.0,40304.939146,-90526.375492,10395.584541,99093.45477518352,99637.24683686528,156,6,0.1043,0.9945,-0.9135,0.4067
14,435450000.0,20602.687731,-96928.025037,10395.584541,99093.45477535031,99637.24683703115,168,6,0.1043,0.9945,-0.9781,0.2079
15,435450000.0,4.7698e-11,-99093.454775,10395.584541,99093.454775,99637.24683668277,180,6,0.1043,0.9945,-1.0,0.0
16,435450000.0,-20602.687731,-96928.025037,10395.584541,99093.45477535031,99637.24683703115,192,6,0.1043,0.9945,-0.9781,-0.2079
17,435450000.0,-40304.939146,-90526.375492,10395.584541,99093.45477518352,99637.24683686528,204,6,0.1043,0.9945,-0.9135,-0.4067
18,435450000.0,-58245.671316,-80168.288944,10395.584541,99093.45477507674,99637.24683675908,216,6,0.1043,0.9945,-0.809,-0.5878
19,435450000.0,-73640.788155,-66306.46348,10395.584541,99093.45477534914,99637.24683702999,228,6,0.1043,0.9945,-0.6691,-0.7431
20,435450000.0,-85817.449184,-49546.727388,10395.584541,99093.45477532415,99637.24683700514,240,6,0.1043,0.9945,-0.5,-0.866
21,435450000.0,-94243.475886,-30621.561557,10395.584541,99093.45477509705,99637.24683677929,252,6,0.1043,0.9945,-0.309,-0.9511
22,435450000.0,-98550.610462,-10358.086548,10395.584541,99093.45477562441,99637.24683730376,264,6,0.1043,0.9945,-0.1045,-0.9945
23,435450000.0,-98550.610462,10358.086548,10395.584541,99093.45477562441,99637.24683730376,276,6,0.1043,0.9945,0.1045,-0.9945
24,435450000.0,-94243.475886,30621.561557,10395.584541,99093.45477509705,99637.24683677929,288,6,0.1043,0.9945,0.309,-0.9511
25,435450000.0,-85817.449184,49546.727388,10395.584541,99093.45477532415,99637.24683700514,300,6,0.1043,0.9945,0.5,-0.866
26,435450000.0,-73640.788155,66306.46348,10395.584541,99093.45477534914,99637.24683702999,312,6,0.1043,0.9945,0.6691,-0.7431
27,435450000.0,-58245.671316,80168.288944,10395.584541,99093.45477507674,99637.24683675908,324,6,0.1043,0.9945,0.809,-0.5878
28,435450000.0,-40304.939146,90526.375492,10395.584541,99093.45477518352,99637.24683686528,336,6,0.1043,0.9945,0.9135,-0.4067
29,435450000.0,-20602.687731,96928.025037,10395.584541,99093.45477535031,99637.24683703115,348,6,0.1043,0.9945,0.9781,-0.2079
30,416420000.0,1.655e-12,94795.385237,30732.416695,94795.385237,99652.62915822316,0,18,0.3084,0.9513,1.0,0.0
31,416420000.0,19709.068826,92723.87863,30732.416695,94795.38523672435,99652.62915796097,12,18,0.3084,0.9513,0.9781,0.2079
32,416420000.0,38556.75677,86599.893589,30732.416695,94795.38523708348,99652.62915830259,24,18,0.3084,0.9513,0.9135,0.4067
33,416420000.0,55719.329428,76691.077645,30732.416695,94795.38523713802,99652.62915835447,36,18,0.3084,0.9513,0.809,0.5878
34,416420000.0,70446.700018,63430.493604,30732.416695,94795.38523722115,99652.62915843356,48,18,0.3084,0.9513,0.6691,0.7431
35,416420000.0,82095.211777,47397.692618,30732.416695,94795.38523694543,99652.62915817126,60,18,0.3084,0.9513,0.5,0.866
36,416420000.0,90155.768844,29293.385027,30732.416695,94795.38523679742,99652.62915803047,72,18,0.3084,0.9513,0.309,0.9511
37,416420000.0,94276.086198,9908.815944,30732.416695,94795.38523696603,99652.62915819086,84,18,0.3084,0.9513,0.1045,0.9945
38,416420000.0,94276.086198,-9908.815944,30732.416695,94795.38523696603,99652.62915819086,96,18,0.3084,0.9513,-0.1045,0.9945
39,416420000.0,90155.768844,-29293.385027,30732.416695,94795.38523679742,99652.62915803047,108,18,0.3084,0.9513,-0.309,0.9511
40,416420000.0,82095.211777,-47397.692618,30732.416695,94795.38523694543,99652.62915817126,120,18,0.3084,0.9513,-0.5,0.866
41,416420000.0,70446.700018,-63430.493604,30732.416695,94795.38523722115,99652.62915843356,132,18,0.3084,0.9513,-0.6691,0.7431
42,416420000.0,55719.329428,-76691.077645,30732.416695,94795.38523713802,99652.62915835447,144,18,0.3084,0.9513,-0.809,0.5878
43,416420000.0,38556.75677,-86599.893589,30732.416695,94795.38523708348,99652.62915830259,156,18,0.3084,0.9513,-0.9135,0.4067
