time.dd,time.hh,Irr,Text,Weekday,dt
259,1,0.0,13.0,1.0,44
259,2,0.0,12.8,1.0,44
259,3,0.0,12.7,1.0,44
259,4,0.0,12.6,1.0,44
259,5,0.0,12.6,1.0,44
259,6,0.0,12.6,1.0,44
259,7,4.0,12.8,1.0,44
259,8,17.0,13.0,1.0,44
259,9,32.0,13.3,1.0,44
259,10,46.0,13.6,1.0,44
259,11,56.0,13.9,1.0,44
259,12,62.0,14.1,1.0,44
259,13,64.0,14.3,1.0,44
259,14,483.0,16.1,1.0,44
259,15,424.0,17.4,1.0,44
259,16,333.0,18.1,1.0,44
259,17,230.0,18.4,1.0,44
259,18,106.0,18.2,1.0,44
259,19,4.0,17.6,1.0,44
259,20,0.0,16.7,1.0,44
259,21,0.0,15.9,1.0,44
259,22,0.0,15.0,1.0,44
259,23,0.0,14.2,1.0,44
259,24,0.0,13.3,1.0,44
56,1,0.0,4.4,1.0,29
56,2,0.0,4.0,1.0,29
56,3,0.0,3.5,1.0,29
56,4,0.0,3.3,1.0,29
56,5,0.0,3.1,1.0,29
56,6,0.0,2.9,1.0,29
56,7,0.0,2.7,1.0,29
56,8,2.0,2.8,1.0,29
56,9,36.0,3.3,1.0,29
56,10,73.0,3.8,1.0,29
56,11,106.0,4.3,1.0,29
56,12,128.0,4.8,1.0,29
56,13,141.0,5.1,1.0,29
56,14,131.0,5.3,1.0,29
56,15,105.0,5.4,1.0,29
56,16,78.0,5.3,1.0,29
56,17,44.0,5.0,1.0,29
56,18,5.0,4.0,1.0,29
56,19,0.0,4.1,1.0,29
56,20,0.0,3.4,1.0,29
56,21,0.0,3.1,1.0,29
56,22,0.0,2.7,1.0,29
56,23,0.0,2.2,1.0,29
56,24,0.0,1.6,1.0,29
79,1,0.0,3.4,0.0,49
79,2,0.0,2.0,0.0,49
79,3,0.0,0.6,0.0,49
79,4,0.0,-0.2,0.0,49
79,5,0.0,-0.9,0.0,49
79,6,0.0,-1.4,0.0,49
79,7,2.0,-1.5,0.0,49
79,8,117.0,0.2,0.0,49
79,9,286.0,2.6,0.0,49
79,10,452.0,5.0,0.0,49
79,11,584.0,7.3,0.0,49
79,12,670.0,9.3,0.0,49
79,13,709.0,10.8,0.0,49
79,14,691.0,11.9,0.0,49
79,15,610.0,12.4,0.0,49
79,16,484.0,12.3,0.0,49
79,17,324.0,11.6,0.0,49
79,18,150.0,10.1,0.0,49
79,19,6.0,8.2,0.0,49
79,20,0.0,7.4,0.0,49
79,21,0.0,6.6,0.0,49
79,22,0.0,5.8,0.0,49
79,23,0.0,5.1,0.0,49
79,24,0.0,4.3,0.0,49
340,1,0.0,0.6,1.0,40
340,2,0.0,0.3,1.0,40
340,3,0.0,0.0,1.0,40
340,4,0.0,-0.2,1.0,40
340,5,0.0,-0.4,1.0,40
340,6,0.0,-0.5,1.0,40
340,7,0.0,-0.6,1.0,40
340,8,0.0,-0.7,1.0,40
340,9,4.0,-0.6,1.0,40
340,10,28.0,0.0,1.0,40
340,11,46.0,0.5,1.0,40
340,12,63.0,0.9,1.0,40
340,13,60.0,1.1,1.0,40
340,14,277.0,3.0,1.0,40
340,15,199.0,3.8,1.0,40
340,16,101.0,3.8,1.0,40
340,17,4.0,3.0,1.0,40
340,18,0.0,2.6,1.0,40
340,19,0.0,2.3,1.0,40
