hy	m	dm	h	G_Gh	G_Dh	G_Gk	G_Dk	G_Bn	Ta
1	1	1	1	0	0	0	0	0	6.8
2	1	1	2	0	0	0	0	0	6.6
3	1	1	3	0	0	0	0	0	6.4
4	1	1	4	0	0	0	0	0	6.3
5	1	1	5	0	0	0	0	0	6.2
6	1	1	6	0	0	0	0	0	6.2
7	1	1	7	0	0	0	0	0	6.1
8	1	1	8	0	0	0	0	0	6.1
9	1	1	9	6	6	6	6	0	6.3
10	1	1	10	88	70	88	70	120	7.9
11	1	1	11	147	113	147	113	136	9.1
12	1	1	12	184	146	184	146	118	10.1
13	1	1	13	181	154	181	154	79	10.7
14	1	1	14	185	147	185	147	118	11.1
15	1	1	15	149	121	149	121	105	11.2
16	1	1	16	81	63	81	63	111	10.9
17	1	1	17	3	3	3	3	0	10.0
18	1	1	18	0	0	0	0	0	9.4
19	1	1	19	0	0	0	0	0	8.8
20	1	1	20	0	0	0	0	0	8.3
21	1	1	21	0	0	0	0	0	7.7
22	1	1	22	0	0	0	0	0	7.1
23	1	1	23	0	0	0	0	0	6.5
24	1	1	24	0	0	0	0	0	5.9
25	1	2	1	0	0	0	0	0	5.0
26	1	2	2	0	0	0	0	0	4.4
27	1	2	3	0	0	0	0	0	3.6
28	1	2	4	0	0	0	0	0	3.1
29	1	2	5	0	0	0	0	0	2.7
30	1	2	6	0	0	0	0	0	2.2
31	1	2	7	0	0	0	0	0	1.9
32	1	2	8	0	0	0	0	0	1.6
33	1	2	9	2	2	2	2	0	1.5
34	1	2	10	42	42	42	42	0	1.8
35	1	2	11	99	97	99	97	8	2.2
36	1	2	12	146	138	146	138	25	2.6
37	1	2	13	162	151	162	151	32	2.9
38	1	2	14	101	101	101	101	0	2.8
39	1	2	15	96	95	96	95	2	2.7
40	1	2	16	48	48	48	48	0	2.5
41	1	2	17	8	8	8	8	0	2.1
42	1	2	18	0	0	0	0	0	1.8
43	1	2	19	0	0	0	0	0	1.5
44	1	2	20	0	0	0	0	0	1.2
45	1	2	21	0	0	0	0	0	1.0
46	1	2	22	0	0	0	0	0	0.7
47	1	2	23	0	0	0	0	0	0.4
48	1	2	24	0	0	0	0	0	0.1
49	1	3	1	0	0	0	0	0	0.2
50	1	3	2	0	0	0	0	0	0.3
51	1	3	3	0	0	0	0	0	0.5
52	1	3	4	0	0	0	0	0	0.5
53	1	3	5	0	0	0	0	0	0.6
54	1	3	6	0	0	0	0	0	0.7
55	1	3	7	0	0	0	0	0	0.8
56	1	3	8	0	0	0	0	0	0.9
57	1	3	9	2	2	2	2	0	1.0
58	1	3	10	40	40	40	40	0	1.9
59	1	3	11	73	73	73	73	0	2.8
60	1	3	12	105	105	105	105	0	3.6
61	1	3	13	116	116	116	116	0	4.2
62	1	3	14	103	103	103	103	0	4.5
63	1	3	15	94	94	94	94	0	4.7
64	1	3	16	56	56	56	56	0	4.5
65	1	3	17	5	5	5	5	0	4.0
66	1	3	18	0	0	0	0	0	3.8
67	1	3	19	0	0	0	0	0	3.6
68	1	3	20	0	0	0	0	0	3.4
69	1	3	21	0	0	0	0	0	3.2
70	1	3	22	0	0	0	0	0	3.0
71	1	3	23	0	0	0	0	0	2.8
72	1	3	24	0	0	0	0	0	2.3
73	1	4	1	0	0	0	0	0	2.2
74	1	4	2	0	0	0	0	0	1.8
75	1	4	3	0	0	0	0	0	1.3
76	1	4	4	0	0	0	0	0	1.0
77	1	4	5	0	0	0	0	0	0.9
78	1	4	6	0	0	0	0	0	0.7
79	1	4	7	0	0	0	0	0	0.5
80	1	4	8	0	0	0	0	0	0.4
81	1	4	9	2	2	2	2	0	0.4
82	1	4	10	30	30	30	30	0	0.7
83	1	4	11	59	59	59	59	0	0.9
84	1	4	12	72	72	72	72	0	1.1
85	1	4	13	73	73	73	73	0	1.2
86	1	4	14	70	70	70	70	0	1.3
87	1	4	15	59	59	59	59	0	1.3
88	1	4	16	29	29	29	29	0	1.1
89	1	4	17	3	3	3	3	0	0.9
90	1	4	18	0	0	0	0	0	0.6
91	1	4	19	0	0	0	0	0	0.3
92	1	4	20	0	0	0	0	0	0.1
93	1	4	21	0	0	0	0	0	-0.2
94	1	4	22	0	0	0	0	0	-0.7
95	1	4	23	0	0	0	0	0	-0.8
96	1	4	24	0	0	0	0	0	-1.6
97	1	5	1	0	0	0	0	0	-1.2
98	1	5	2	0	0	0	0	0	-1.3
99	1	5	3	0	0	0	0	0	-1.4
100	1	5	4	0	0	0	0	0	-1.4
101	1	5	5	0	0	0	0	0	-1.5
102	1	5	6	0	0	0	0	0	-1.5
103	1	5	7	0	0	0	0	0	-1.5
104	1	5	8	0	0	0	0	0	-1.6
105	1	5	9	4	4	4	4	0	-1.4
106	1	5	10	67	58	67	58	61	-0.2
107	1	5	11	125	111	125	111	55	1.0
108	1	5	12	174	150	174	150	75	2.0
109	1	5	13	187	160	187	160	80	2.8
110	1	5	14	175	148	175	148	84	3.2
111	1	5	15	118	112	118	112	21	3.2
112	1	5	16	61	60	61	60	6	2.7
113	1	5	17	3	3	3	3	0	2.0
114	1	5	18	0	0	0	0	0	1.6
115	1	5	19	0	0	0	0	0	1.3
116	1	5	20	0	0	0	0	0	1.0
117	1	5	21	0	0	0	0	0	0.7
118	1	5	22	0	0	0	0	0	0.4
119	1	5	23	0	0	0	0	0	0.1
120	1	5	24	0	0	0	0	0	-0.3
121	1	6	1	0	0	0	0	0	-0.7
122	1	6	2	0	0	0	0	0	-1.1
123	1	6	3	0	0	0	0	0	-1.6
124	1	6	4	0	0	0	0	0	-1.8
125	1	6	5	0	0	0	0	0	-2.1
126	1	6	6	0	0	0	0	0	-2.3
127	1	6	7	0	0	0	0	0	-2.5
128	1	6	8	0	0	0	0	0	-2.7
129	1	6	9	2	2	2	2	0	-2.6
130	1	6	10	49	49	49	49	0	-1.9
131	1	6	11	72	72	72	72	0	-1.4
132	1	6	12	71	71	71	71	0	-1.2
133	1	6	13	31	31	31	31	0	-1.4
134	1	6	14	259	153	259	153	320	-0.2
135	1	6	15	211	84	211	84	465	0.4
136	1	6	16	121	65	121	65	320	0.4
137	1	6	17	18	18	18	18	0	-0.1
138	1	6	18	0	0	0	0	0	-0.4
139	1	6	19	0	0	0	0	0	-0.6
140	1	6	20	0	0	0	0	0	-0.8
141	1	6	21	0	0	0	0	0	-1.0
142	1	6	22	0	0	0	0	0	-1.2
143	1	6	23	0	0	0	0	0	-1.4
144	1	6	24	0	0	0	0	0	-1.7
145	1	7	1	0	0	0	0	0	-1.7
146	1	7	2	0	0	0	0	0	-1.7
147	1	7	3	0	0	0	0	0	-1.8
148	1	7	4	0	0	0	0	0	-1.8
149	1	7	5	0	0	0	0	0	-1.7
150	1	7	6	0	0	0	0	0	-1.7
151	1	7	7	0	0	0	0	0	-1.7
152	1	7	8	0	0	0	0	0	-1.7
153	1	7	9	2	2	2	2	0	-1.6
154	1	7	10	18	18	18	18	0	-1.2
155	1	7	11	30	30	30	30	0	-1.1
156	1	7	12	43	43	43	43	0	-0.5
157	1	7	13	31	31	31	31	0	-0.4
158	1	7	14	209	138	209	138	213	0.9
159	1	7	15	188	91	188	91	354	1.7
160	1	7	16	98	67	98	67	175	1.9
161	1	7	17	12	12	12	12	0	1.4
162	1	7	18	0	0	0	0	0	1.1
163	1	7	19	0	0	0	0	0	0.8
164	1	7	20	0	0	0	0	0	0.5
165	1	7	21	0	0	0	0	0	0.2
166	1	7	22	0	0	0	0	0	-0.1
167	1	7	23	0	0	0	0	0	-0.4
168	1	7	24	0	0	0	0	0	-0.7
169	1	8	1	0	0	0	0	0	-1.2
170	1	8	2	0	0	0	0	0	-1.7
171	1	8	3	0	0	0	0	0	-2.2
172	1	8	4	0	0	0	0	0	-2.5
173	1	8	5	0	0	0	0	0	-2.7
174	1	8	6	0	0	0	0	0	-3.0
175	1	8	7	0	0	0	0	0	-3.2
176	1	8	8	0	0	0	0	0	-3.4
177	1	8	9	2	2	2	2	0	-3.4
178	1	8	10	67	59	67	59	54	-2.4
179	1	8	11	133	115	133	115	67	-1.3
180	1	8	12	182	154	182	154	84	-0.5
