hy	m	dm	h	G_Gh	G_Dh	G_Gk	G_Dk	G_Bn	Ta
1	1	1	1	0	0	0	0	0	4.7
2	1	1	2	0	0	0	0	0	5.1
3	1	1	3	0	0	0	0	0	4.9
4	1	1	4	0	0	0	0	0	4.8
5	1	1	5	0	0	0	0	0	4.7
6	1	1	6	0	0	0	0	0	4.5
7	1	1	7	0	0	0	0	0	4.5
8	1	1	8	0	0	0	0	0	4.4
9	1	1	9	5	5	5	5	0	4.5
10	1	1	10	75	63	75	63	69	5.4
11	1	1	11	132	116	132	116	61	6.2
12	1	1	12	177	147	177	147	93	6.9
13	1	1	13	181	156	181	156	71	7.3
14	1	1	14	153	143	153	143	30	7.5
15	1	1	15	112	107	112	107	19	7.4
16	1	1	16	59	47	59	47	76	7.1
17	1	1	17	2	2	2	2	0	6.6
18	1	1	18	0	0	0	0	0	6.2
19	1	1	19	0	0	0	0	0	5.6
20	1	1	20	0	0	0	0	0	5.4
21	1	1	21	0	0	0	0	0	4.9
22	1	1	22	0	0	0	0	0	4.6
23	1	1	23	0	0	0	0	0	4.3
24	1	1	24	0	0	0	0	0	3.9
25	1	2	1	0	0	0	0	0	3.2
26	1	2	2	0	0	0	0	0	1.9
27	1	2	3	0	0	0	0	0	1.9
28	1	2	4	0	0	0	0	0	1.6
29	1	2	5	0	0	0	0	0	1.3
30	1	2	6	0	0	0	0	0	0.9
31	1	2	7	0	0	0	0	0	0.6
32	1	2	8	0	0	0	0	0	0.4
33	1	2	9	6	6	6	6	0	0.4
34	1	2	10	74	63	74	63	67	0.8
35	1	2	11	127	111	127	111	58	1.2
36	1	2	12	148	140	148	140	23	1.4
37	1	2	13	155	145	155	145	29	1.6
38	1	2	14	139	134	139	134	15	1.6
39	1	2	15	107	103	107	103	13	1.5
40	1	2	16	55	54	55	54	6	1.3
41	1	2	17	2	2	2	2	0	0.9
42	1	2	18	0	0	0	0	0	0.6
43	1	2	19	0	0	0	0	0	0.3
44	1	2	20	0	0	0	0	0	-0.1
45	1	2	21	0	0	0	0	0	-0.2
46	1	2	22	0	0	0	0	0	-0.5
47	1	2	23	0	0	0	0	0	-1.1
48	1	2	24	0	0	0	0	0	-1.0
49	1	3	1	0	0	0	0	0	-1.0
50	1	3	2	0	0	0	0	0	-1.0
51	1	3	3	0	0	0	0	0	-0.9
52	1	3	4	0	0	0	0	0	-0.8
53	1	3	5	0	0	0	0	0	-0.8
54	1	3	6	0	0	0	0	0	-0.7
55	1	3	7	0	0	0	0	0	-0.6
56	1	3	8	0	0	0	0	0	-0.6
57	1	3	9	3	3	3	3	0	-0.4
58	1	3	10	110	81	110	81	175	1.3
59	1	3	11	165	110	165	110	208	2.5
60	1	3	12	234	111	234	111	375	3.7
61	1	3	13	279	102	279	102	508	4.7
62	1	3	14	252	108	252	108	441	5.2
63	1	3	15	254	105	254	105	568	5.7
64	1	3	16	112	79	112	79	206	5.2
65	1	3	17	7	7	7	7	0	4.3
66	1	3	18	0	0	0	0	0	3.9
67	1	3	19	0	0	0	0	0	3.6
68	1	3	20	0	0	0	0	0	3.2
69	1	3	21	0	0	0	0	0	2.9
70	1	3	22	0	0	0	0	0	2.5
71	1	3	23	0	0	0	0	0	2.2
72	1	3	24	0	0	0	0	0	1.8
73	1	4	1	0	0	0	0	0	1.3
74	1	4	2	0	0	0	0	0	0.6
75	1	4	3	0	0	0	0	0	0.0
76	1	4	4	0	0	0	0	0	-0.3
77	1	4	5	0	0	0	0	0	-0.7
78	1	4	6	0	0	0	0	0	-1.0
79	1	4	7	0	0	0	0	0	-1.2
80	1	4	8	0	0	0	0	0	-1.5
81	1	4	9	8	8	8	8	0	-1.4
82	1	4	10	98	69	98	69	171	-0.5
83	1	4	11	171	118	171	118	197	0.3
84	1	4	12	228	128	228	128	306	0.9
85	1	4	13	242	134	242	134	309	1.3
86	1	4	14	224	119	224	119	321	1.5
87	1	4	15	151	118	151	118	126	1.4
88	1	4	16	77	62	77	62	91	1.0
89	1	4	17	3	3	3	3	0	0.4
90	1	4	18	0	0	0	0	0	0.0
91	1	4	19	0	0	0	0	0	-0.4
92	1	4	20	0	0	0	0	0	-0.8
93	1	4	21	0	0	0	0	0	-1.2
94	1	4	22	0	0	0	0	0	-1.7
95	1	4	23	0	0	0	0	0	-2.3
96	1	4	24	0	0	0	0	0	-2.5
97	1	5	1	0	0	0	0	0	-2.7
98	1	5	2	0	0	0	0	0	-2.9
99	1	5	3	0	0	0	0	0	-3.1
100	1	5	4	0	0	0	0	0	-3.3
101	1	5	5	0	0	0	0	0	-3.4
102	1	5	6	0	0	0	0	0	-3.5
103	1	5	7	0	0	0	0	0	-3.5
104	1	5	8	0	0	0	0	0	-3.6
105	1	5	9	9	9	9	9	0	-3.4
106	1	5	10	112	68	112	68	265	-1.9
107	1	5	11	193	82	193	82	415	-0.6
108	1	5	12	257	96	257	96	486	0.5
109	1	5	13	289	97	289	97	545	1.3
110	1	5	14	248	115	248	115	406	1.7
111	1	5	15	249	78	249	78	643	2.0
112	1	5	16	129	77	129	77	315	1.6
113	1	5	17	16	16	16	16	0	0.7
114	1	5	18	0	0	0	0	0	0.3
115	1	5	19	0	0	0	0	0	0.0
116	1	5	20	0	0	0	0	0	-0.3
117	1	5	21	0	0	0	0	0	-0.6
118	1	5	22	0	0	0	0	0	-0.9
119	1	5	23	0	0	0	0	0	-1.2
120	1	5	24	0	0	0	0	0	-1.5
121	1	6	1	0	0	0	0	0	-1.9
122	1	6	2	0	0	0	0	0	-2.2
123	1	6	3	0	0	0	0	0	-2.6
124	1	6	4	0	0	0	0	0	-2.9
125	1	6	5	0	0	0	0	0	-3.5
126	1	6	6	0	0	0	0	0	-3.1
127	1	6	7	0	0	0	0	0	-3.3
128	1	6	8	0	0	0	0	0	-3.4
129	1	6	9	6	6	6	6	0	-3.3
130	1	6	10	73	64	73	64	56	-2.5
131	1	6	11	140	117	140	117	87	-1.9
132	1	6	12	177	149	177	149	84	-1.2
133	1	6	13	214	166	214	166	136	-0.7
134	1	6	14	181	151	181	151	90	-0.5
135	1	6	15	124	111	124	111	48	-0.6
136	1	6	16	67	48	67	48	113	-0.9
137	1	6	17	3	3	3	3	0	-1.4
138	1	6	18	0	0	0	0	0	-1.7
139	1	6	19	0	0	0	0	0	-1.9
140	1	6	20	0	0	0	0	0	-2.1
141	1	6	21	0	0	0	0	0	-2.3
142	1	6	22	0	0	0	0	0	-2.5
143	1	6	23	0	0	0	0	0	-2.7
144	1	6	24	0	0	0	0	0	-2.9
145	1	7	1	0	0	0	0	0	-3.0
146	1	7	2	0	0	0	0	0	-3.1
147	1	7	3	0	0	0	0	0	-3.2
148	1	7	4	0	0	0	0	0	-3.2
149	1	7	5	0	0	0	0	0	-3.2
150	1	7	6	0	0	0	0	0	-3.2
151	1	7	7	0	0	0	0	0	-3.2
152	1	7	8	0	0	0	0	0	-3.2
153	1	7	9	12	12	12	12	0	-2.8
154	1	7	10	141	81	141	81	353	-0.7
155	1	7	11	257	46	257	46	779	1.1
156	1	7	12	333	51	333	51	843	2.7
157	1	7	13	358	52	358	52	861	3.8
158	1	7	14	331	50	331	50	840	4.4
159	1	7	15	266	52	266	52	789	4.5
160	1	7	16	154	90	154	90	375	4.0
161	1	7	17	15	15	15	15	0	2.8
162	1	7	18	0	0	0	0	0	2.3
163	1	7	19	0	0	0	0	0	1.8
164	1	7	20	0	0	0	0	0	1.2
165	1	7	21	0	0	0	0	0	0.7
166	1	7	22	0	0	0	0	0	0.2
167	1	7	23	0	0	0	0	0	-0.4
168	1	7	24	0	0	0	0	0	-0.9
169	1	8	1	0	0	0	0	0	-1.6
170	1	8	2	0	0	0	0	0	-2.4
171	1	8	3	0	0	0	0	0	-3.2
172	1	8	4	0	0	0	0	0	-3.6
173	1	8	5	0	0	0	0	0	-4.1
174	1	8	6	0	0	0	0	0	-4.5
175	1	8	7	0	0	0	0	0	-4.8
176	1	8	8	0	0	0	0	0	-5.1
177	1	8	9	13	13	13	13	0	-4.9
178	1	8	10	137	80	137	80	335	-3.5
179	1	8	11	242	45	242	45	727	-2.3
180	1	8	12	322	52	322	52	806	-1.3
181	1	8	13	340	52	340	52	805	-0.7
182	1	8	14	303	56	303	56	735	-0.4
183	1	8	15	241	46	241	46	716	-0.4
184	1	8	16	140	81	140	81	342	-0.9
185	1	8	17	13	13	13	13	0	-1.8
186	1	8	18	0	0	0	0	0	-2.4
187	1	8	19	0	0	0	0	0	-3.0
188	1	8	20	0	0	0	0	0	-3.6
189	1	8	21	0	0	0	0	0	-4.1
190	1	8	22	0	0	0	0	0	-4.7
191	1	8	23	0	0	0	0	0	-5.3
192	1	8	24	0	0	0	0	0	-5.9
193	1	9	1	0	0	0	0	0	-6.2
194	1	9	2	0	0	0	0	0	-6.6
195	1	9	3	0	0	0	0	0	-6.9
196	1	9	4	0	0	0	0	0	-7.1
197	1	9	5	0	0	0	0	0	-7.3
198	1	9	6	0	0	0	0	0	-7.5
199	1	9	7	0	0	0	0	0	-7.6
200	1	9	8	0	0	0	0	0	-7.8
201	1	9	9	13	13	13	13	0	-7.4
202	1	9	10	158	93	158	93	377	-5.4
203	1	9	11	281	64	281	64	793	-3.6
204	1	9	12	361	72	361	72	857	-2.1
205	1	9	13	391	75	391	75	877	-1.1
206	1	9	14	364	73	364	73	858	-0.6
