hy	m	dm	h	G_Gh	G_Dh	G_Gk	G_Dk	G_Bn	Ta
1	1	1	1	0	0	0	0	0	3.9
2	1	1	2	0	0	0	0	0	3.8
3	1	1	3	0	0	0	0	0	3.6
4	1	1	4	0	0	0	0	0	3.5
5	1	1	5	0	0	0	0	0	3.5
6	1	1	6	0	0	0	0	0	3.4
7	1	1	7	0	0	0	0	0	3.4
8	1	1	8	0	0	0	0	0	3.4
9	1	1	9	16	16	16	16	0	4.2
10	1	1	10	146	84	146	84	356	7.4
11	1	1	11	230	63	230	63	608	9.8
12	1	1	12	282	90	282	90	568	11.7
13	1	1	13	274	117	274	117	441	12.8
14	1	1	14	275	78	275	78	589	13.5
15	1	1	15	216	60	216	60	580	13.6
16	1	1	16	114	76	114	76	234	12.8
17	1	1	17	2	2	2	2	0	11.1
18	1	1	18	0	0	0	0	0	10.3
19	1	1	19	0	0	0	0	0	9.5
20	1	1	20	0	0	0	0	0	8.7
21	1	1	21	0	0	0	0	0	7.9
22	1	1	22	0	0	0	0	0	7.1
23	1	1	23	0	0	0	0	0	6.3
24	1	1	24	0	0	0	0	0	5.6
25	1	2	1	0	0	0	0	0	4.5
26	1	2	2	0	0	0	0	0	3.4
27	1	2	3	0	0	0	0	0	2.3
28	1	2	4	0	0	0	0	0	1.7
29	1	2	5	0	0	0	0	0	1.1
30	1	2	6	0	0	0	0	0	0.4
31	1	2	7	0	0	0	0	0	0.0
32	1	2	8	0	0	0	0	0	-0.4
33	1	2	9	12	12	12	12	0	-0.1
34	1	2	10	132	80	132	80	293	2.1
35	1	2	11	246	48	246	48	714	4.3
36	1	2	12	327	56	327	56	801	6.1
37	1	2	13	354	78	354	78	769	7.3
38	1	2	14	295	73	295	73	663	7.7
39	1	2	15	234	49	234	49	687	7.6
40	1	2	16	124	77	124	77	282	6.7
41	1	2	17	11	11	11	11	0	5.1
42	1	2	18	0	0	0	0	0	4.5
43	1	2	19	0	0	0	0	0	3.9
44	1	2	20	0	0	0	0	0	3.3
45	1	2	21	0	0	0	0	0	2.7
46	1	2	22	0	0	0	0	0	2.1
47	1	2	23	0	0	0	0	0	1.5
48	1	2	24	0	0	0	0	0	0.9
49	1	3	1	0	0	0	0	0	0.7
50	1	3	2	0	0	0	0	0	0.5
51	1	3	3	0	0	0	0	0	0.4
52	1	3	4	0	0	0	0	0	0.3
53	1	3	5	0	0	0	0	0	0.2
54	1	3	6	0	0	0	0	0	0.2
55	1	3	7	0	0	0	0	0	0.1
56	1	3	8	0	0	0	0	0	0.1
57	1	3	9	10	10	10	10	0	0.6
58	1	3	10	106	69	106	69	207	2.8
59	1	3	11	185	105	185	105	289	4.8
60	1	3	12	246	127	246	127	351	6.6
61	1	3	13	261	132	261	132	359	7.8
62	1	3	14	241	114	241	114	375	8.4
63	1	3	15	162	122	162	122	147	8.3
64	1	3	16	82	65	82	65	103	7.4
65	1	3	17	2	2	2	2	0	6.1
66	1	3	18	0	0	0	0	0	5.7
67	1	3	19	0	0	0	0	0	5.3
68	1	3	20	0	0	0	0	0	5.0
69	1	3	21	0	0	0	0	0	4.6
70	1	3	22	0	0	0	0	0	4.3
71	1	3	23	0	0	0	0	0	3.9
72	1	3	24	0	0	0	0	0	3.5
73	1	4	1	0	0	0	0	0	2.6
74	1	4	2	0	0	0	0	0	2.5
75	1	4	3	0	0	0	0	0	1.9
76	1	4	4	0	0	0	0	0	1.8
77	1	4	5	0	0	0	0	0	1.5
78	1	4	6	0	0	0	0	0	1.2
79	1	4	7	0	0	0	0	0	1.0
80	1	4	8	0	0	0	0	0	0.8
81	1	4	9	3	3	3	3	0	0.9
82	1	4	10	60	60	60	60	0	2.0
83	1	4	11	113	109	113	109	12	3.0
84	1	4	12	151	145	151	145	19	3.9
85	1	4	13	167	155	167	155	34	4.5
86	1	4	14	153	146	153	146	21	4.9
87	1	4	15	110	107	110	107	11	4.8
88	1	4	16	67	50	67	50	102	4.5
89	1	4	17	5	5	5	5	0	3.7
90	1	4	18	0	0	0	0	0	3.3
91	1	4	19	0	0	0	0	0	3.0
92	1	4	20	0	0	0	0	0	2.6
93	1	4	21	0	0	0	0	0	2.2
94	1	4	22	0	0	0	0	0	1.9
95	1	4	23	0	0	0	0	0	1.5
96	1	4	24	0	0	0	0	0	1.2
97	1	5	1	0	0	0	0	0	0.9
98	1	5	2	0	0	0	0	0	0.7
99	1	5	3	0	0	0	0	0	0.5
100	1	5	4	0	0	0	0	0	0.5
101	1	5	5	0	0	0	0	0	0.4
102	1	5	6	0	0	0	0	0	0.3
103	1	5	7	0	0	0	0	0	0.2
104	1	5	8	0	0	0	0	0	0.2
105	1	5	9	6	6	6	6	0	0.5
106	1	5	10	65	63	65	63	10	1.8
107	1	5	11	124	117	124	117	22	3.1
108	1	5	12	157	148	157	148	28	4.2
109	1	5	13	188	163	188	163	69	5.1
110	1	5	14	160	150	160	150	29	5.5
111	1	5	15	110	107	110	107	10	5.5
112	1	5	16	59	59	59	59	0	4.9
113	1	5	17	3	3	3	3	0	4.0
114	1	5	18	0	0	0	0	0	3.7
115	1	5	19	0	0	0	0	0	3.3
116	1	5	20	0	0	0	0	0	3.0
117	1	5	21	0	0	0	0	0	2.6
118	1	5	22	0	0	0	0	0	2.3
119	1	5	23	0	0	0	0	0	1.9
120	1	5	24	0	0	0	0	0	1.4
121	1	6	1	0	0	0	0	0	1.1
122	1	6	2	0	0	0	0	0	0.7
123	1	6	3	0	0	0	0	0	0.3
124	1	6	4	0	0	0	0	0	0.1
125	1	6	5	0	0	0	0	0	-0.1
126	1	6	6	0	0	0	0	0	-0.3
127	1	6	7	0	0	0	0	0	-0.5
128	1	6	8	0	0	0	0	0	-0.6
129	1	6	9	18	18	18	18	0	0.1
130	1	6	10	79	69	79	69	59	1.2
131	1	6	11	138	116	138	116	76	2.3
132	1	6	12	246	141	246	141	305	3.9
133	1	6	13	202	157	202	157	122	4.5
134	1	6	14	81	81	81	81	0	3.9
135	1	6	15	103	102	103	102	6	3.7
136	1	6	16	69	64	69	64	29	3.3
137	1	6	17	6	6	6	6	0	2.5
138	1	6	18	0	0	0	0	0	2.1
139	1	6	19	0	0	0	0	0	1.7
140	1	6	20	0	0	0	0	0	1.4
141	1	6	21	0	0	0	0	0	1.0
142	1	6	22	0	0	0	0	0	0.6
143	1	6	23	0	0	0	0	0	0.2
144	1	6	24	0	0	0	0	0	-0.1
145	1	7	1	0	0	0	0	0	-0.5
146	1	7	2	0	0	0	0	0	-0.9
147	1	7	3	0	0	0	0	0	-1.2
148	1	7	4	0	0	0	0	0	-1.4
149	1	7	5	0	0	0	0	0	-1.6
150	1	7	6	0	0	0	0	0	-1.8
151	1	7	7	0	0	0	0	0	-1.9
152	1	7	8	0	0	0	0	0	-2.0
153	1	7	9	7	7	7	7	0	-1.7
154	1	7	10	117	68	117	68	271	0.8
155	1	7	11	212	80	212	80	471	3.1
156	1	7	12	289	83	289	83	598	5.1
157	1	7	13	303	94	303	94	569	6.5
158	1	7	14	271	98	271	98	501	7.1
159	1	7	15	199	88	199	88	393	7.1
