hy	m	dm	h	G_Gh	G_Dh	G_Gk	G_Dk	G_Bn	Ta
1	1	1	1	0	0	0	0	0	3.0
2	1	1	2	0	0	0	0	0	2.9
3	1	1	3	0	0	0	0	0	2.7
4	1	1	4	0	0	0	0	0	2.6
5	1	1	5	0	0	0	0	0	2.5
6	1	1	6	0	0	0	0	0	2.5
7	1	1	7	0	0	0	0	0	2.4
8	1	1	8	0	0	0	0	0	2.4
9	1	1	9	11	11	11	11	0	2.8
10	1	1	10	139	81	139	81	351	4.9
11	1	1	11	249	44	249	44	767	6.8
12	1	1	12	326	51	326	51	838	8.4
13	1	1	13	346	50	346	50	849	9.5
14	1	1	14	311	47	311	47	810	10.0
15	1	1	15	235	44	235	44	729	10.1
16	1	1	16	127	77	127	77	318	9.5
17	1	1	17	8	8	8	8	0	8.2
18	1	1	18	0	0	0	0	0	7.6
19	1	1	19	0	0	0	0	0	6.9
20	1	1	20	0	0	0	0	0	6.2
21	1	1	21	0	0	0	0	0	5.6
22	1	1	22	0	0	0	0	0	4.9
23	1	1	23	0	0	0	0	0	4.3
24	1	1	24	0	0	0	0	0	3.6
25	1	2	1	0	0	0	0	0	2.8
26	1	2	2	0	0	0	0	0	1.8
27	1	2	3	0	0	0	0	0	0.9
28	1	2	4	0	0	0	0	0	0.4
29	1	2	5	0	0	0	0	0	-0.1
30	1	2	6	0	0	0	0	0	-0.7
31	1	2	7	0	0	0	0	0	-1.0
32	1	2	8	0	0	0	0	0	-1.4
33	1	2	9	10	10	10	10	0	-1.3
34	1	2	10	106	68	106	68	226	-0.5
35	1	2	11	169	120	169	120	182	0.0
36	1	2	12	207	154	207	154	160	0.6
37	1	2	13	203	162	203	162	115	0.8
38	1	2	14	204	151	204	151	160	0.8
39	1	2	15	162	124	162	124	141	0.8
40	1	2	16	88	62	88	62	159	0.4
41	1	2	17	3	3	3	3	0	-0.2
42	1	2	18	0	0	0	0	0	-0.6
43	1	2	19	0	0	0	0	0	-1.1
44	1	2	20	0	0	0	0	0	-1.5
45	1	2	21	0	0	0	0	0	-1.9
46	1	2	22	0	0	0	0	0	-2.4
47	1	2	23	0	0	0	0	0	-2.8
48	1	2	24	0	0	0	0	0	-3.3
49	1	3	1	0	0	0	0	0	-3.3
50	1	3	2	0	0	0	0	0	-3.3
51	1	3	3	0	0	0	0	0	-3.3
52	1	3	4	0	0	0	0	0	-3.3
53	1	3	5	0	0	0	0	0	-3.2
54	1	3	6	0	0	0	0	0	-3.2
55	1	3	7	0	0	0	0	0	-3.2
56	1	3	8	0	0	0	0	0	-3.1
57	1	3	9	11	11	11	11	0	-2.7
58	1	3	10	134	79	134	79	326	-0.5
59	1	3	11	239	46	239	46	722	1.5
60	1	3	12	318	47	318	47	819	3.2
61	1	3	13	343	48	343	48	839	4.4
62	1	3	14	325	59	325	59	809	5.1
63	1	3	15	244	46	244	46	744	5.2
64	1	3	16	142	82	142	82	365	4.6
65	1	3	17	11	11	11	11	0	3.3
66	1	3	18	0	0	0	0	0	2.9
67	1	3	19	0	0	0	0	0	2.4
68	1	3	20	0	0	0	0	0	1.9
69	1	3	21	0	0	0	0	0	1.5
70	1	3	22	0	0	0	0	0	1.0
71	1	3	23	0	0	0	0	0	0.5
72	1	3	24	0	0	0	0	0	0.0
73	1	4	1	0	0	0	0	0	-0.6
74	1	4	2	0	0	0	0	0	-1.4
75	1	4	3	0	0	0	0	0	-2.1
76	1	4	4	0	0	0	0	0	-2.5
77	1	4	5	0	0	0	0	0	-2.9
78	1	4	6	0	0	0	0	0	-3.3
79	1	4	7	0	0	0	0	0	-3.6
