hy	m	dm	h	G_Gh	G_Dh	G_Gk	G_Dk	G_Bn	Ta
1	1	1	1	0	0	0	0	0	8.9
2	1	1	2	0	0	0	0	0	9.9
3	1	1	3	0	0	0	0	0	9.7
4	1	1	4	0	0	0	0	0	9.6
5	1	1	5	0	0	0	0	0	9.5
6	1	1	6	0	0	0	0	0	9.4
7	1	1	7	0	0	0	0	0	9.2
8	1	1	8	0	0	0	0	0	9.2
9	1	1	9	2	2	2	2	0	9.2
10	1	1	10	12	12	12	12	0	9.3
11	1	1	11	23	23	23	23	0	9.4
12	1	1	12	31	31	31	31	0	9.5
13	1	1	13	37	37	37	37	0	9.6
14	1	1	14	33	33	33	33	0	9.6
15	1	1	15	24	24	24	24	0	9.6
16	1	1	16	13	13	13	13	0	9.4
17	1	1	17	2	2	2	2	0	9.2
18	1	1	18	0	0	0	0	0	8.9
19	1	1	19	0	0	0	0	0	8.4
20	1	1	20	0	0	0	0	0	8.7
21	1	1	21	0	0	0	0	0	8.2
22	1	1	22	0	0	0	0	0	8.3
23	1	1	23	0	0	0	0	0	8.2
24	1	1	24	0	0	0	0	0	8.2
25	1	2	1	0	0	0	0	0	7.7
26	1	2	2	0	0	0	0	0	7.0
27	1	2	3	0	0	0	0	0	6.5
28	1	2	4	0	0	0	0	0	6.2
29	1	2	5	0	0	0	0	0	5.9
30	1	2	6	0	0	0	0	0	5.6
31	1	2	7	0	0	0	0	0	5.4
32	1	2	8	0	0	0	0	0	5.2
33	1	2	9	2	2	2	2	0	5.2
34	1	2	10	37	37	37	37	0	5.7
35	1	2	11	68	68	68	68	0	6.1
36	1	2	12	90	90	90	90	0	6.5
37	1	2	13	96	96	96	96	0	6.7
38	1	2	14	86	86	86	86	0	6.8
39	1	2	15	65	65	65	65	0	6.7
40	1	2	16	35	35	35	35	0	6.5
41	1	2	17	2	2	2	2	0	6.1
42	1	2	18	0	0	0	0	0	5.8
43	1	2	19	0	0	0	0	0	5.4
44	1	2	20	0	0	0	0	0	5.0
45	1	2	21	0	0	0	0	0	4.7
46	1	2	22	0	0	0	0	0	4.3
47	1	2	23	0	0	0	0	0	4.0
48	1	2	24	0	0	0	0	0	3.6
49	1	3	1	0	0	0	0	0	3.4
50	1	3	2	0	0	0	0	0	3.4
51	1	3	3	0	0	0	0	0	3.3
52	1	3	4	0	0	0	0	0	3.4
53	1	3	5	0	0	0	0	0	3.4
54	1	3	6	0	0	0	0	0	3.5
55	1	3	7	0	0	0	0	0	3.6
56	1	3	8	0	0	0	0	0	3.6
57	1	3	9	7	7	7	7	0	4.1
58	1	3	10	118	74	118	74	287	6.6
59	1	3	11	218	46	218	46	681	8.9
60	1	3	12	295	51	295	51	775	11.0
61	1	3	13	312	50	312	50	778	12.4
62	1	3	14	290	51	290	51	761	11.8
63	1	3	15	241	52	241	52	750	11.8
64	1	3	16	134	80	134	80	355	11.8
65	1	3	17	10	10	10	10	0	11.6
66	1	3	18	0	0	0	0	0	11.1
67	1	3	19	0	0	0	0	0	10.5
68	1	3	20	0	0	0	0	0	9.9
69	1	3	21	0	0	0	0	0	9.4
70	1	3	22	0	0	0	0	0	8.8
71	1	3	23	0	0	0	0	0	8.2
72	1	3	24	0	0	0	0	0	7.7
73	1	4	1	0	0	0	0	0	6.6
74	1	4	2	0	0	0	0	0	5.4
75	1	4	3	0	0	0	0	0	4.1
76	1	4	4	0	0	0	0	0	3.5
77	1	4	5	0	0	0	0	0	2.8
78	1	4	6	0	0	0	0	0	2.1
79	1	4	7	0	0	0	0	0	1.6
80	1	4	8	0	0	0	0	0	1.1
81	1	4	9	7	7	7	7	0	1.2
82	1	4	10	87	63	87	63	155	2.2
