hy	m	dm	h	G_Gh	G_Dh	G_Gk	G_Dk	G_Bn	Ta
1	1	1	1	0	0	0	0	0	8.1
2	1	1	2	0	0	0	0	0	7.9
3	1	1	3	0	0	0	0	0	7.7
4	1	1	4	0	0	0	0	0	7.6
5	1	1	5	0	0	0	0	0	7.5
6	1	1	6	0	0	0	0	0	7.4
7	1	1	7	0	0	0	0	0	7.3
8	1	1	8	0	0	0	0	0	7.3
9	1	1	9	5	5	5	5	0	7.4
10	1	1	10	84	59	84	59	165	8.6
11	1	1	11	155	119	155	119	143	9.7
12	1	1	12	210	114	210	114	305	10.7
13	1	1	13	216	157	216	157	176	11.3
14	1	1	14	182	142	182	142	128	11.5
15	1	1	15	132	112	132	112	81	11.5
16	1	1	16	68	57	68	57	78	11.1
17	1	1	17	2	2	2	2	0	10.4
18	1	1	18	0	0	0	0	0	10.1
19	1	1	19	0	0	0	0	0	9.8
20	1	1	20	0	0	0	0	0	9.5
21	1	1	21	0	0	0	0	0	9.2
22	1	1	22	0	0	0	0	0	8.9
23	1	1	23	0	0	0	0	0	8.6
24	1	1	24	0	0	0	0	0	8.2
25	1	2	1	0	0	0	0	0	7.8
26	1	2	2	0	0	0	0	0	7.4
27	1	2	3	0	0	0	0	0	7.0
28	1	2	4	0	0	0	0	0	6.7
29	1	2	5	0	0	0	0	0	6.5
30	1	2	6	0	0	0	0	0	6.2
31	1	2	7	0	0	0	0	0	6.1
32	1	2	8	0	0	0	0	0	5.9
33	1	2	9	2	2	2	2	0	5.9
34	1	2	10	41	41	41	41	0	6.2
35	1	2	11	77	77	77	77	0	6.5
36	1	2	12	93	93	93	93	0	6.7
37	1	2	13	69	69	69	69	0	6.7
38	1	2	14	64	64	64	64	0	6.7
39	1	2	15	57	57	57	57	0	6.6
40	1	2	16	34	34	34	34	0	6.5
41	1	2	17	3	3	3	3	0	6.3
42	1	2	18	0	0	0	0	0	5.9
43	1	2	19	0	0	0	0	0	5.4
44	1	2	20	0	0	0	0	0	5.5
45	1	2	21	0	0	0	0	0	5.2
46	1	2	22	0	0	0	0	0	5.0
47	1	2	23	0	0	0	0	0	4.7
48	1	2	24	0	0	0	0	0	4.5
49	1	3	1	0	0	0	0	0	4.4
50	1	3	2	0	0	0	0	0	4.4
51	1	3	3	0	0	0	0	0	4.3
52	1	3	4	0	0	0	0	0	4.3
53	1	3	5	0	0	0	0	0	4.4
54	1	3	6	0	0	0	0	0	4.4
55	1	3	7	0	0	0	0	0	4.4
56	1	3	8	0	0	0	0	0	4.4
57	1	3	9	8	8	8	8	0	4.8
58	1	3	10	110	72	110	72	243	6.7
59	1	3	11	182	75	182	75	422	8.2
60	1	3	12	227	103	227	103	392	9.4
61	1	3	13	226	125	226	125	301	10.1
62	1	3	14	225	106	225	106	378	10.6
63	1	3	15	177	89	177	89	350	10.8
64	1	3	16	95	73	95	73	141	10.3
65	1	3	17	2	2	2	2	0	9.3
66	1	3	18	0	0	0	0	0	8.7
67	1	3	19	0	0	0	0	0	8.1
68	1	3	20	0	0	0	0	0	7.5
69	1	3	21	0	0	0	0	0	6.9
70	1	3	22	0	0	0	0	0	6.3
71	1	3	23	0	0	0	0	0	5.7
72	1	3	24	0	0	0	0	0	5.2
73	1	4	1	0	0	0	0	0	4.2
74	1	4	2	0	0	0	0	0	3.2
75	1	4	3	0	0	0	0	0	2.2
76	1	4	4	0	0	0	0	0	1.6
77	1	4	5	0	0	0	0	0	1.0
78	1	4	6	0	0	0	0	0	0.5
79	1	4	7	0	0	0	0	0	0.1
80	1	4	8	0	0	0	0	0	-0.4
81	1	4	9	8	8	8	8	0	-0.2
82	1	4	10	117	73	117	73	278	1.0
83	1	4	11	218	46	218	46	674	2.2
84	1	4	12	302	52	302	52	786	3.3
85	1	4	13	328	48	328	48	828	4.1
86	1	4	14	316	52	316	52	832	4.5
87	1	4	15	230	46	230	46	719	4.4
88	1	4	16	136	80	136	80	358	3.9
89	1	4	17	9	9	9	9	0	2.8
90	1	4	18	0	0	0	0	0	2.4
91	1	4	19	0	0	0	0	0	2.0
92	1	4	20	0	0	0	0	0	1.5
93	1	4	21	0	0	0	0	0	1.1
94	1	4	22	0	0	0	0	0	0.7
95	1	4	23	0	0	0	0	0	0.2
96	1	4	24	0	0	0	0	0	-0.2
97	1	5	1	0	0	0	0	0	-0.2
98	1	5	2	0	0	0	0	0	-0.2
99	1	5	3	0	0	0	0	0	-0.2
100	1	5	4	0	0	0	0	0	-0.2
101	1	5	5	0	0	0	0	0	-0.2
102	1	5	6	0	0	0	0	0	-0.2
103	1	5	7	0	0	0	0	0	-0.2
104	1	5	8	0	0	0	0	0	-0.1
105	1	5	9	2	2	2	2	0	-0.1
106	1	5	10	31	31	31	31	0	0.5
107	1	5	11	59	59	59	59	0	1.0
108	1	5	12	78	78	78	78	0	1.5
109	1	5	13	85	85	85	85	0	1.8
110	1	5	14	76	76	76	76	0	2.0
111	1	5	15	59	59	59	59	0	2.0
112	1	5	16	32	32	32	32	0	1.9
113	1	5	17	2	2	2	2	0	1.5
114	1	5	18	0	0	0	0	0	1.3
115	1	5	19	0	0	0	0	0	1.1
116	1	5	20	0	0	0	0	0	0.6
117	1	5	21	0	0	0	0	0	0.8
118	1	5	22	0	0	0	0	0	0.6
119	1	5	23	0	0	0	0	0	0.4
120	1	5	24	0	0	0	0	0	0.2
121	1	6	1	0	0	0	0	0	-0.3
122	1	6	2	0	0	0	0	0	-0.9
123	1	6	3	0	0	0	0	0	-1.4
124	1	6	4	0	0	0	0	0	-1.7
125	1	6	5	0	0	0	0	0	-2.0
126	1	6	6	0	0	0	0	0	-2.3
127	1	6	7	0	0	0	0	0	-2.5
128	1	6	8	0	0	0	0	0	-2.7
129	1	6	9	7	7	7	7	0	-2.6
130	1	6	10	97	64	97	64	204	-1.4
131	1	6	11	177	84	177	84	360	-0.3
132	1	6	12	240	113	240	113	396	0.7
133	1	6	13	257	117	257	117	408	1.4
134	1	6	14	238	101	238	101	426	1.7
135	1	6	15	161	117	161	117	172	1.6
136	1	6	16	82	62	82	62	125	1.1
137	1	6	17	2	2	2	2	0	0.2
138	1	6	18	0	0	0	0	0	0.0
139	1	6	19	0	0	0	0	0	-0.3
140	1	6	20	0	0	0	0	0	-0.5
141	1	6	21	0	0	0	0	0	-0.8
142	1	6	22	0	0	0	0	0	-1.0
143	1	6	23	0	0	0	0	0	-1.3
144	1	6	24	0	0	0	0	0	-1.5
145	1	7	1	0	0	0	0	0	-1.6
146	1	7	2	0	0	0	0	0	-1.6
147	1	7	3	0	0	0	0	0	-1.7
148	1	7	4	0	0	0	0	0	-1.7
149	1	7	5	0	0	0	0	0	-1.7
150	1	7	6	0	0	0	0	0	-1.7
151	1	7	7	0	0	0	0	0	-1.7
152	1	7	8	0	0	0	0	0	-1.7
153	1	7	9	2	2	2	2	0	-1.6
154	1	7	10	64	58	64	58	35	-0.5
155	1	7	11	124	109	124	109	60	0.7
156	1	7	12	169	147	169	147	66	1.6
157	1	7	13	187	158	187	158	84	2.4
158	1	7	14	173	150	173	150	72	2.8
159	1	7	15	126	110	126	110	59	2.8
160	1	7	16	76	63	76	63	83	2.5
161	1	7	17	6	6	6	6	0	1.8
162	1	7	18	0	0	0	0	0	1.5
163	1	7	19	0	0	0	0	0	1.3
164	1	7	20	0	0	0	0	0	1.1
165	1	7	21	0	0	0	0	0	0.8
166	1	7	22	0	0	0	0	0	0.6
167	1	7	23	0	0	0	0	0	0.4
168	1	7	24	0	0	0	0	0	0.1
169	1	8	1	0	0	0	0	0	-0.2
170	1	8	2	0	0	0	0	0	-0.5
171	1	8	3	0	0	0	0	0	-0.9
172	1	8	4	0	0	0	0	0	-1.3
173	1	8	5	0	0	0	0	0	-1.2
174	1	8	6	0	0	0	0	0	-1.4
175	1	8	7	0	0	0	0	0	-1.5
176	1	8	8	0	0	0	0	0	-1.7
177	1	8	9	2	2	2	2	0	-1.6
178	1	8	10	39	39	39	39	0	-1.2
179	1	8	11	68	68	68	68	0	-0.9
180	1	8	12	90	90	90	90	0	-0.6
181	1	8	13	98	98	98	98	0	-0.4
182	1	8	14	91	91	91	91	0	-0.3
183	1	8	15	70	70	70	70	0	-0.3
184	1	8	16	39	39	39	39	0	-0.5
185	1	8	17	3	3	3	3	0	-0.7
186	1	8	18	0	0	0	0	0	-1.0
187	1	8	19	0	0	0	0	0	-1.3
188	1	8	20	0	0	0	0	0	-1.6
189	1	8	21	0	0	0	0	0	-1.9
190	1	8	22	0	0	0	0	0	-2.2
191	1	8	23	0	0	0	0	0	-2.6
192	1	8	24	0	0	0	0	0	-2.8
193	1	9	1	0	0	0	0	0	-3.2
194	1	9	2	0	0	0	0	0	-3.3
195	1	9	3	0	0	0	0	0	-3.5
196	1	9	4	0	0	0	0	0	-3.6
197	1	9	5	0	0	0	0	0	-3.7
198	1	9	6	0	0	0	0	0	-3.8
199	1	9	7	0	0	0	0	0	-3.9
200	1	9	8	0	0	0	0	0	-3.9
201	1	9	9	2	2	2	2	0	-3.9
202	1	9	10	11	11	11	11	0	-3.7
203	1	9	11	21	21	21	21	0	-3.6
204	1	9	12	28	28	28	28	0	-3.5
205	1	9	13	30	30	30	30	0	-3.4
206	1	9	14	218	131	218	131	264	-2.3
207	1	9	15	170	104	170	104	248	-1.8
208	1	9	16	95	70	95	70	150	-1.7
209	1	9	17	9	9	9	9	0	-2.1
210	1	9	18	0	0	0	0	0	-2.2
211	1	9	19	0	0	0	0	0	-2.4
212	1	9	20	0	0	0	0	0	-2.6
213	1	9	21	0	0	0	0	0	-2.8
214	1	9	22	0	0	0	0	0	-3.0
215	1	9	23	0	0	0	0	0	-3.1
216	1	9	24	0	0	0	0	0	-3.3
217	1	10	1	0	0	0	0	0	-3.5
218	1	10	2	0	0	0	0	0	-3.7
219	1	10	3	0	0	0	0	0	-3.8
220	1	10	4	0	0	0	0	0	-3.9
221	1	10	5	0	0	0	0	0	-4.0
222	1	10	6	0	0	0	0	0	-4.1
223	1	10	7	0	0	0	0	0	-4.1
224	1	10	8	0	0	0	0	0	-4.2
225	1	10	9	9	9	9	9	0	-3.9
226	1	10	10	30	30	30	30	0	-3.5
227	1	10	11	52	52	52	52	0	-3.1
228	1	10	12	125	122	125	122	8	-2.3
229	1	10	13	82	82	82	82	0	-2.1
230	1	10	14	212	135	212	135	234	-1.2
231	1	10	15	201	88	201	88	418	-0.6
232	1	10	16	125	79	125	79	266	-0.5
233	1	10	17	12	12	12	12	0	-1.1
234	1	10	18	0	0	0	0	0	-1.3
235	1	10	19	0	0	0	0	0	-1.5
236	1	10	20	0	0	0	0	0	-1.7
237	1	10	21	0	0	0	0	0	-1.9
