ResourceBalances,Period,Time,GWP_supply
Electricity,1,1,0.043395732145
Electricity,1,2,0.0423617950975
Electricity,1,3,0.02613633941
Electricity,1,4,0.025685935485000002
Electricity,1,5,0.0261525593175
Electricity,1,6,0.03814778092
Electricity,1,7,0.040399928674999995
Electricity,1,8,0.0380833687325
Electricity,1,9,0.03541143403
Electricity,1,10,0.04918402838
Electricity,1,11,0.0426613901475
Electricity,1,12,0.032280951277500004
Electricity,1,13,0.03837693482
Electricity,1,14,0.037156023105000005
Electricity,1,15,0.039228005855
Electricity,1,16,0.0384506175725
Electricity,1,17,0.051921388065000004
Electricity,1,18,0.059229210832500004
Electricity,1,19,0.080903710385
Electricity,1,20,0.10628005826999999
Electricity,1,21,0.089700177615
Electricity,1,22,0.09118024314999999
Electricity,1,23,0.070323121155
Electricity,1,24,0.0656093218925
Electricity,2,1,0.043972022782499995
Electricity,2,2,0.0405642866225
Electricity,2,3,0.038329581112500004
Electricity,2,4,0.03820767719
Electricity,2,5,0.0375665111425
Electricity,2,6,0.0381855636775
Electricity,2,7,0.0332871893
Electricity,2,8,0.039978453785
Electricity,2,9,0.038124941210000006
Electricity,2,10,0.035854610620000005
Electricity,2,11,0.055188603600000004
Electricity,2,12,0.05401915776
Electricity,2,13,0.050047421290000005
Electricity,2,14,0.0498797333125
Electricity,2,15,0.03854759631
Electricity,2,16,0.037493677795000006
Electricity,2,17,0.0314513071025
Electricity,2,18,0.02735584214
Electricity,2,19,0.0360723977075
Electricity,2,20,0.047833661647500005
Electricity,2,21,0.047714477585
Electricity,2,22,0.0458495868075
Electricity,2,23,0.0558579857725
Electricity,2,24,0.0655742285125
Electricity,3,1,0.0936217544
Electricity,3,2,0.0933817126375
Electricity,3,3,0.0829053419625
Electricity,3,4,0.072935740565
Electricity,3,5,0.075649349895
Electricity,3,6,0.0730988531375
Electricity,3,7,0.07436850334749999
Electricity,3,8,0.084351699425
Electricity,3,9,0.07939009335750001
Electricity,3,10,0.0602657531725
Electricity,3,11,0.069634103455
Electricity,3,12,0.058830745532500006
Electricity,3,13,0.067505776295
Electricity,3,14,0.06112577317
Electricity,3,15,0.0578326724275
Electricity,3,16,0.0434316261625
Electricity,3,17,0.0422853623675
Electricity,3,18,0.039538319844999996
Electricity,3,19,0.07711401295999999
Electricity,3,20,0.08562603393500001
Electricity,3,21,0.0531397709975
Electricity,3,22,0.056280095615
Electricity,3,23,0.052457227095
Electricity,3,24,0.086082009635
Electricity,4,1,0.20100455432499997
Electricity,4,2,0.20938233312500001
Electricity,4,3,0.18625751725
Electricity,4,4,0.15467008805000002
Electricity,4,5,0.153831989525
Electricity,4,6,0.171070676375
Electricity,4,7,0.1846406096
Electricity,4,8,0.195271525625
Electricity,4,9,0.177799949375
Electricity,4,10,0.15008796154999998
Electricity,4,11,0.1541608082
Electricity,4,12,0.14184515625
Electricity,4,13,0.1179165284
Electricity,4,14,0.1326808587
Electricity,4,15,0.154165094025
Electricity,4,16,0.15127433855
Electricity,4,17,0.126193327375
Electricity,4,18,0.1088092316
Electricity,4,19,0.15599408704999998
Electricity,4,20,0.1747725245
Electricity,4,21,0.16772501239999998
Electricity,4,22,0.17602752695
Electricity,4,23,0.22256603375
Electricity,4,24,0.1885487784
Electricity,5,1,0.30149028995000005
Electricity,5,2,0.311201949525
Electricity,5,3,0.27909836057500004
Electricity,5,4,0.26769040495
Electricity,5,5,0.2422610355
Electricity,5,6,0.1468342471
Electricity,5,7,0.054761798980000005
Electricity,5,8,0.06519157583
Electricity,5,9,0.14271054319999998
Electricity,5,10,0.16381821175
Electricity,5,11,0.220033191975
Electricity,5,12,0.18308569360000002
Electricity,5,13,0.18553301945
Electricity,5,14,0.174094599275
Electricity,5,15,0.150158658025
Electricity,5,16,0.157344935225
Electricity,5,17,0.114134865775
Electricity,5,18,0.047714591380000004
Electricity,5,19,0.0966713175825
Electricity,5,20,0.153807873475
Electricity,5,21,0.206060679325
Electricity,5,22,0.222147770975
Electricity,5,23,0.23564429577499998
Electricity,5,24,0.22904390135
Electricity,6,1,0.1210018127
Electricity,6,2,0.11873343595
Electricity,6,3,0.1113810194
Electricity,6,4,0.08538806503
Electricity,6,5,0.070656164725
Electricity,6,6,0.057014358885
Electricity,6,7,0.03747429161
Electricity,6,8,0.041858783987499995
Electricity,6,9,0.07090132278499998
Electricity,6,10,0.09383668201749999
Electricity,6,11,0.1009042384575
Electricity,6,12,0.07888532095499999
Electricity,6,13,0.07431303819749999
Electricity,6,14,0.0796653755525
Electricity,6,15,0.0596473525375
Electricity,6,16,0.0506938334075
Electricity,6,17,0.045305686962499994
Electricity,6,18,0.0316829434725
Electricity,6,19,0.032283721895
Electricity,6,20,0.067017030275
Electricity,6,21,0.095617989275
Electricity,6,22,0.10607976442499999
Electricity,6,23,0.11511359627500001
Electricity,6,24,0.092212106295
Electricity,7,1,0.14900683137499998
Electricity,7,2,0.15984782379999998
Electricity,7,3,0.14972434265
Electricity,7,4,0.15324250805
Electricity,7,5,0.122060553825
Electricity,7,6,0.105271273925
Electricity,7,7,0.11799470205
Electricity,7,8,0.07513344279749999
Electricity,7,9,0.06720766754749999
Electricity,7,10,0.037953575325
Electricity,7,11,0.03200424248500001
Electricity,7,12,0.0360204610675
Electricity,7,13,0.0375305729325
Electricity,7,14,0.0399926167525
Electricity,7,15,0.0467500794
Electricity,7,16,0.0474118836775
Electricity,7,17,0.037805874535
Electricity,7,18,0.036605831832500005
Electricity,7,19,0.04188346483
Electricity,7,20,0.053841221175
Electricity,7,21,0.051194673097500004
Electricity,7,22,0.08324190808250001
Electricity,7,23,0.076306099855
Electricity,7,24,0.0623377347675
Electricity,8,1,0.037083820265
Electricity,8,2,0.038428527845000005
Electricity,8,3,0.0333396263575
Electricity,8,4,0.0286201448925
Electricity,8,5,0.028392537915
Electricity,8,6,0.025914203337499997
Electricity,8,7,0.0308458380075
Electricity,8,8,0.06236466049250001
Electricity,8,9,0.06543818663999999
Electricity,8,10,0.07185680095
Electricity,8,11,0.08030299246999999
Electricity,8,12,0.076527388005
Electricity,8,13,0.0767320602075
Electricity,8,14,0.0864416084425
Electricity,8,15,0.06570932041500001
Electricity,8,16,0.051062110445
Electricity,8,17,0.032555509295
Electricity,8,18,0.030057851992500002
Electricity,8,19,0.0320795833975
Electricity,8,20,0.0281519209025
Electricity,8,21,0.026120903887499998
Electricity,8,22,0.029525447535000002
Electricity,8,23,0.03339208225
Electricity,8,24,0.039244685175
Electricity,9,1,0.028082937055
Electricity,9,2,0.0366473328
Electricity,9,3,0.03913723374500001
Electricity,9,4,0.03549694699
Electricity,9,5,0.0243001433225
Electricity,9,6,0.021670000000000002
Electricity,9,7,0.0259888360025
Electricity,9,8,0.0478509357875
Electricity,9,9,0.0743561131975
Electricity,9,10,0.0667317296475
Electricity,9,11,0.060584831459999995
Electricity,9,12,0.06656661250000001
Electricity,9,13,0.0849187800725
Electricity,9,14,0.07885176181
Electricity,9,15,0.0597821208975
Electricity,9,16,0.0328562833075
Electricity,9,17,0.0374887326325
Electricity,9,18,0.0295023218175
Electricity,9,19,0.0299844727425
Electricity,9,20,0.030588161785
Electricity,9,21,0.0248344492675
Electricity,9,22,0.026557147767499997
Electricity,9,23,0.0335685379575
Electricity,9,24,0.045059048265
Electricity,10,1,0.017210630495
Electricity,10,2,0.0200279444075
Electricity,10,3,0.01994404928
Electricity,10,4,0.01848535418
Electricity,10,5,0.016834589344999998
Electricity,10,6,0.016497855125000002
Electricity,10,7,0.019858138759999998
Electricity,10,8,0.0333585327275
Electricity,10,9,0.05373562999
Electricity,10,10,0.06293713389
Electricity,10,11,0.0711418699975
Electricity,10,12,0.0701387274275
Electricity,10,13,0.06953348684499999
Electricity,10,14,0.06758898445
Electricity,10,15,0.053889172485000005
Electricity,10,16,0.0270027934775
Electricity,10,17,0.028045339899999997
Electricity,10,18,0.0253945354475
Electricity,10,19,0.02561
Electricity,10,20,0.02565
Electricity,10,21,0.02615
Electricity,10,22,0.025079999999999998
Electricity,10,23,0.0213694779275
Electricity,10,24,0.0269322801725
Electricity,11,1,0.0505790305275
Electricity,12,1,0.037262014575
