ResourceBalances,Period,Time,GWP_supply
Electricity,1,1,0.07261352207
Electricity,1,2,0.0548099070175
Electricity,1,3,0.05205857332
Electricity,1,4,0.054632575350000004
Electricity,1,5,0.0559454463375
Electricity,1,6,0.06013122234
Electricity,1,7,0.053315898792500004
Electricity,1,8,0.0702946782125
Electricity,1,9,0.073798068675
Electricity,1,10,0.0752155750725
Electricity,1,11,0.06369867312750001
Electricity,1,12,0.055572884305
Electricity,1,13,0.045661070045
Electricity,1,14,0.047878362555000005
Electricity,1,15,0.043367791695
Electricity,1,16,0.038641807034999996
Electricity,1,17,0.0339229492675
Electricity,1,18,0.0286649875375
Electricity,1,19,0.027679753655
Electricity,1,20,0.0336678357825
Electricity,1,21,0.053064517795
Electricity,1,22,0.067470416475
Electricity,1,23,0.06613129664749999
Electricity,1,24,0.0809007322675
Electricity,2,1,0.05828540877
Electricity,2,2,0.058958213280000005
Electricity,2,3,0.05754050133
Electricity,2,4,0.05652155322
Electricity,2,5,0.057442272785
Electricity,2,6,0.052516693437500005
Electricity,2,7,0.0528039244075
Electricity,2,8,0.057835157255
Electricity,2,9,0.0607392219575
Electricity,2,10,0.0596954422275
Electricity,2,11,0.06064085986
Electricity,2,12,0.06363452010750001
Electricity,2,13,0.0517776116825
Electricity,2,14,0.048578483095
Electricity,2,15,0.0458431599575
Electricity,2,16,0.0429231217225
Electricity,2,17,0.04818331663
Electricity,2,18,0.0629296964625
Electricity,2,19,0.0481366703575
Electricity,2,20,0.058053437529999995
Electricity,2,21,0.0569373986175
Electricity,2,22,0.057581126465
Electricity,2,23,0.0616832565725
Electricity,2,24,0.06491410766
Electricity,3,1,0.0572698036225
Electricity,3,2,0.0544718489725
Electricity,3,3,0.050602014805000005
Electricity,3,4,0.0464377191375
Electricity,3,5,0.047576165845
Electricity,3,6,0.051657949637500006
Electricity,3,7,0.05722661992
Electricity,3,8,0.0731762044075
Electricity,3,9,0.0656897763975
Electricity,3,10,0.06969199833499999
Electricity,3,11,0.0706262321825
Electricity,3,12,0.0618831933075
Electricity,3,13,0.0639772917375
Electricity,3,14,0.06321887669000001
Electricity,3,15,0.0551049366675
Electricity,3,16,0.056239180365
Electricity,3,17,0.059303266495
Electricity,3,18,0.0701177536075
Electricity,3,19,0.070454783925
Electricity,3,20,0.0667884689125
Electricity,3,21,0.0552511523225
Electricity,3,22,0.055106881620000006
Electricity,3,23,0.05518194848
Electricity,3,24,0.043753688175
Electricity,4,1,0.244467173975
Electricity,4,2,0.260465807
Electricity,4,3,0.250392704925
Electricity,4,4,0.2456917961
Electricity,4,5,0.22412859335
Electricity,4,6,0.13941951395000002
Electricity,4,7,0.052080318505
Electricity,4,8,0.04487177908
Electricity,4,9,0.051584918005
Electricity,4,10,0.047317033285000004
Electricity,4,11,0.04174438221
Electricity,4,12,0.03112979607
Electricity,4,13,0.0267560828875
Electricity,4,14,0.037179606802499994
Electricity,4,15,0.0461545755025
Electricity,4,16,0.051181203189999996
Electricity,4,17,0.0300318004925
Electricity,4,18,0.036691836205
Electricity,4,19,0.037238176742500004
Electricity,4,20,0.059876482367500004
Electricity,4,21,0.121673351775
Electricity,4,22,0.144397089375
Electricity,4,23,0.2090027063
Electricity,4,24,0.25914158375
Electricity,5,1,0.20100455432499997
Electricity,5,2,0.20938233312500001
Electricity,5,3,0.18625751725
Electricity,5,4,0.15467008805000002
Electricity,5,5,0.153831989525
Electricity,5,6,0.171070676375
Electricity,5,7,0.1846406096
Electricity,5,8,0.195271525625
Electricity,5,9,0.177799949375
Electricity,5,10,0.15008796154999998
Electricity,5,11,0.1541608082
Electricity,5,12,0.14184515625
Electricity,5,13,0.1179165284
Electricity,5,14,0.1326808587
Electricity,5,15,0.154165094025
Electricity,5,16,0.15127433855
Electricity,5,17,0.126193327375
Electricity,5,18,0.1088092316
Electricity,5,19,0.15599408704999998
Electricity,5,20,0.1747725245
Electricity,5,21,0.16772501239999998
Electricity,5,22,0.17602752695
Electricity,5,23,0.22256603375
Electricity,5,24,0.1885487784
Electricity,6,1,0.06638962916
Electricity,6,2,0.0664492726325
Electricity,6,3,0.075863975935
Electricity,6,4,0.0793422731125
Electricity,6,5,0.0766186996825
Electricity,6,6,0.0698049327775
Electricity,6,7,0.049293476562499994
Electricity,6,8,0.0626288526125
Electricity,6,9,0.07501542929999999
Electricity,6,10,0.093919058035
Electricity,6,11,0.093002498925
Electricity,6,12,0.086556786075
Electricity,6,13,0.08214007999
Electricity,6,14,0.0740166534575
Electricity,6,15,0.055259078825
Electricity,6,16,0.040492220085
Electricity,6,17,0.027627137027500002
Electricity,6,18,0.02452
Electricity,6,19,0.030003124375
Electricity,6,20,0.059693878477500004
Electricity,6,21,0.07556049226
Electricity,6,22,0.10853989165
Electricity,6,23,0.08180906860249999
Electricity,6,24,0.057614030695
Electricity,7,1,0.03556681035
Electricity,7,2,0.033577146319999994
Electricity,7,3,0.0314429363575
Electricity,7,4,0.0310156891675
Electricity,7,5,0.0313460243475
Electricity,7,6,0.0325493078375
Electricity,7,7,0.0364057220125
Electricity,7,8,0.0356931899375
Electricity,7,9,0.037717819215
Electricity,7,10,0.04685335904
Electricity,7,11,0.0648770334675
Electricity,7,12,0.0626056652425
Electricity,7,13,0.0655483783475
Electricity,7,14,0.06939762015499999
Electricity,7,15,0.05029228946
Electricity,7,16,0.03458000278
Electricity,7,17,0.0330789498775
Electricity,7,18,0.0297552934
Electricity,7,19,0.028648357295
Electricity,7,20,0.030752546035
Electricity,7,21,0.0251545452525
Electricity,7,22,0.02874762386
Electricity,7,23,0.0342678159225
Electricity,7,24,0.038679771290000005
Electricity,8,1,0.0526164631025
Electricity,8,2,0.05432766988
Electricity,8,3,0.052464858069999995
Electricity,8,4,0.0482023606325
Electricity,8,5,0.0387684502325
Electricity,8,6,0.0309015936925
Electricity,8,7,0.0303775458125
Electricity,8,8,0.026230600979999998
Electricity,8,9,0.0521492244275
Electricity,8,10,0.062239633485
Electricity,8,11,0.054023063
Electricity,8,12,0.067549759965
Electricity,8,13,0.060932658009999995
Electricity,8,14,0.0547125511725
Electricity,8,15,0.039296403777499996
Electricity,8,16,0.034841301902499996
Electricity,8,17,0.03125624573
Electricity,8,18,0.02565331292
Electricity,8,19,0.02438
Electricity,8,20,0.022263808542500003
Electricity,8,21,0.0245540839175
Electricity,8,22,0.03554450101
Electricity,8,23,0.0373680309425
Electricity,8,24,0.040858438165000004
Electricity,9,1,0.052126594547499995
Electricity,9,2,0.034642937639999996
Electricity,9,3,0.0281364056225
Electricity,9,4,0.025607878405
Electricity,9,5,0.02967487597
Electricity,9,6,0.0346116326225
Electricity,9,7,0.03797363238
Electricity,9,8,0.04372393057
Electricity,9,9,0.064879170185
Electricity,9,10,0.06622590733999999
Electricity,9,11,0.061317948692500006
Electricity,9,12,0.065848929375
Electricity,9,13,0.073698917605
Electricity,9,14,0.06875153677
Electricity,9,15,0.06547001720250001
Electricity,9,16,0.043591402905
Electricity,9,17,0.03480939544
Electricity,9,18,0.03191
Electricity,9,19,0.03049
Electricity,9,20,0.03031567928
Electricity,9,21,0.0236871700125
Electricity,9,22,0.025272352935
Electricity,9,23,0.03293141991
Electricity,9,24,0.0473660302425
Electricity,10,1,0.05798156522
Electricity,10,2,0.0483693503425
Electricity,10,3,0.0534673644575
Electricity,10,4,0.0552563795825
Electricity,10,5,0.0558238308275
Electricity,10,6,0.048594243795
Electricity,10,7,0.053132746762499995
Electricity,10,8,0.06272101053500001
Electricity,10,9,0.0755950932775
Electricity,10,10,0.07190205343
Electricity,10,11,0.07144997170499999
Electricity,10,12,0.07427977342
Electricity,10,13,0.067785286625
Electricity,10,14,0.068541302965
Electricity,10,15,0.07249725209999999
Electricity,10,16,0.06366740808
Electricity,10,17,0.0652950132825
Electricity,10,18,0.0417794379525
Electricity,10,19,0.0212096518325
Electricity,10,20,0.0227889336975
Electricity,10,21,0.026399237895
Electricity,10,22,0.0234995469625
Electricity,10,23,0.0322690045525
Electricity,10,24,0.055892613655000006
Electricity,11,1,0.0505790305275
Electricity,12,1,0.037262014575
