fid,egid,period,class,area_era_m2,is_hotwater_system,x,y,z,transformer,gas_grid,h2_grid,geothermal_well,system_heating,system_heating2,thermal_k1_cooling_W_m2_K,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,power_heating_signature_kW,power_cooling_signature_kW,id_building,total_annual_irr_kWh_y,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y,area_solar_m2,energy_hotwater_signature_kWh_y,power_hotwater_signature_W,waste_signature_kg_y,waste_signature_kW,temperature_threshold_cooling_C,temperature_threshold_heating_C,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,temperature_hotwater_supply_C,temperature_hotwater_return_C,area_net_floor_m2,area_footprint_m2,area_facade_m2,area_facade_solar_m2,area_roof_solar_m2,temperature_interior_C,capita_cap,ratio,status,source_heating,source_hotwater,system_hotwater,id_class,solar_gain_factor_signature_m2,thermal_specific_capacity_Wh_m2_K,energy_el_kWh_y,thermal_transmittance_signature_kW_m2_K,count_floor,height_m,length_footprint_m,length_footprint_facade_m,area_roof_m2,energy_heating_2024_kWh_y,energy_hotwater_2024_kWh_y,NOMSECTEUR,geometry
1,883347,1981-1990,Residential,818,TRUE,2537763.934,1152736.286,513.82,3244,TRUE,FALSE,,Solar thermal installation for multiple buildings,Not documented,0,65542.85205,0,30.213648,0,10,812154,280624,531530,1383.030175,2667.141387,852.5400088,14045.4,7.442556627,18,15.5,12,17,65,50,60,15,657.0281124,210.5261445,1407.9,1172.509406,210.520769,20,20.4,1,"['existing', 'existing', 'existing']",Gas,Gas,Boiler,I,0.07317237,120.3,22904,0.00152,7,23.68,59.45380612,59.45437687,210.5261445,60321.751,17178,Chauderon,
76,883191/883202,<1919,Residential,747,TRUE,2537745.695,1152845.777,516.4509414,3244,TRUE,FALSE,,Solar thermal installation for multiple buildings,Not documented,0,71273.4236,0,32.855301,0,11,1609936,1009291,600645,2557.622208,2361.891502,754.9682263,12048.75,6.384546126,18,15.5,12,17,65,50,60,15,600,656.2154033,3959.381027,1678.948615,878.6735931,20,17.5,0.18741633199464525/0.8125836680053548,"['existing', 'existing', 'existing', 'existing', 'existing']",Oil,Oil,Boiler,II/I,0.086741589,120.1313253,20076,0.00181,7,19.34094141,125.5542583,110.004762,878.6735931,61832.98795,14707,Chauderon,
124,883203,1981-1990,Residential,1373,TRUE,2537774.918,1152876.028,518.37,3244,TRUE,FALSE,,Solar thermal installation for multiple buildings,Not documented,0,110012.6355,0,50.713128,0,12,1158312,678857,479455,1644.827272,4484.458312,1433.437368,23615.55,12.51371041,18,15.5,12,17,65,50,60,15,1102.811245,374.4481055,1298.4,1029.698617,615.1286546,20,34.3,1,"['existing', 'existing', 'existing']",Gas,Gas,Boiler,I,0.072925543,120.3,38444,0.00152,6,16.44,78.97896655,78.97962946,615.1286546,101249.1004,28833,Chauderon,
125,883220,<1919,Residential,420,TRUE,2537883.024,1152820.996,509.476895,3217,TRUE,FALSE,,Solar thermal installation for multiple buildings,Not documented,0,40073.41086,0,18.47286,0,120,455302,323296,132006,780.2623149,1372.793361,438.8073575,7229.25,3.830727676,18,15.5,12,17,65,50,60,15,337.3493976,250.1438474,460.5959892,460.5930374,319.6692775,20,10.5,1,"['existing', 'existing', 'existing']",Gas,Gas,Boiler,I,0.086838969,120.3,11760,0.00181,4,8.996895015,76.82004838,76.81972029,319.6692775,30972.04819,8820,Chauderon,
126,2119216/883245/883210/883208/883211/883212/883213/883221/883216/883207/887734/300000636,<1919/1919-1945/1981-1990/1946-1960,Other/Residential,9195.96,FALSE,2537917.314,1152823.376,517.881991,3217,TRUE,FALSE,,Not documented/Solar thermal installation for multiple buildings/Boiler for multiple buildings,Not documented/No heat generator,0,895222.2817,0,410.2400736,0,121,7386893,4400576,2986317,10745.14305,0,0,168652.582,89.36779244,18,15.63397883,12,17,65,50,60,15,7386.313253,3416.946414,109491.4943,6748.881794,3996.261254,20.04521646,287.8,0.053991294941984735/0.042639279082387946/0.0504841680910524/0.04937665434865271/0.023073202966660145/0.04983811840798591/0.07041941545424676/0.02437637747021711/0.04343115140820373/0.05602173680305083/0.1405619524728936/0.14379220088822603/0.07752596196797809/0.09155446937170746/0.08291401632475257,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other/Oil/Gas,None/Electricity/Gas/Oil,No heat generator/Central electrical boiler/Boiler,I/I/I/I/I/I/I/XIII/XIII/I/I/I/I/I/XIII,0.087221035,118.1446819,295706.764,0.001825773,5.528438575,18.38196748,507.7140258,477.7634148,3996.261254,774993.5743,237825.084,Chauderon,
145,2119095/2118987/883338/883337/2119583/883336/883353/883356/2119264/2119097/883352/280076110,<1919/1971-1980/1961-1970,Commercial/Residential/Administrative,13116.42,TRUE,2537947.311,1152693.849,508.8882461,3246,TRUE,FALSE,,Solar thermal installation for multiple buildings,Not documented,0,719548.0568,0,337.1482253,0,141,8335687,5133768,3201919,14193.70071,29037.29087,9281.642262,192969.9771,102.2534055,18,15.89483319,12,17,65,50,60,15,10535.27711,3962.879674,144916.3278,9558.290473,4635.410234,20,1037.6,0.3036286801085177/0.004922410393218357/0.051186355124864365/0.039567762536622766/0.10084938366593706/0.05718929462878919/0.055704696686958315/0.014587142994537325/0.08307293700592741/0.04582889298695296/0.019428868717004003/0.06531198180270209/0.0789986838716507/0.015491456784322127/0.06423145269199562,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'target', 'target', 'target', 'target', 'target', 'target', 'target']",Gas/Oil,Not determined/Oil/Gas,Heat pump/Boiler,V/V/II/I/III/I/I/V/I/I/I/V/V/I/V,0.049378594,113.54496,460840.13,0.001040877,5.597990915,17.95583998,598.2091524,592.4841043,4635.410234,918421.6277,182597.87,Chauderon,
152,2118383/280006273/280007916/883163/883150/883151/2118382,1919-1945/1946-1960/<1919/1961-1970,Industrial/Residential/Commercial,5479.24,FALSE,2537780.507,1152990.444,523.8065549,3217,TRUE,FALSE,,Not documented/Solar thermal installation for multiple buildings,Not documented,0,561413.494,0,253.5032767,0,15,3083473,2244733,838740,4814.593937,0,0,93679.64791,49.64017289,18,15.77007687,12,17,65,50,60,15,4400.995984,1876.043878,18241.22043,2597.478705,2217.115233,19.51864127,194.4,0.08687336199910937/0.20477292471218636/0.40826829998320935/0.05940604901409685/0.09403128901088473/0.083507931756959/0.06314014352355438,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other/Oil/Gas,None/Oil/Gas,No heat generator/Boiler,I/I/I/V/IX/IX/IX,0.074313821,117.7449085,140540.08,0.001883028,5.443725772,19.09003553,324.463325,324.0227847,2217.115233,364997.7032,92044.68,Pré-du-Marché,
161,2118930/2119314/2119312/2119315/2119317/882759/882760/2118986/882740/882747/882746/2118932/882758/2119310,<1919/1946-1960/1991-2000/1961-1970,Commercial/Residential/Administrative,9561.42,FALSE,2537967.257,1152598.718,508.91294,3246,TRUE,FALSE,,Condensation boiler for single building/Not documented/Solar thermal installation for multiple buildings/Electrical heater for single building/Heat exchanger (DHN included) for single building,Not documented,0,596970.2691,0,283.383715,0,158,7337950,4878741,2459209,9905.440099,0,0,140739.9169,74.5770716,18,15.67852181,12,17,65,50,60,15,7679.855422,3649.186382,176455.1374,5586.713784,4318.726315,20,918.9,0.17005237652356944/0.02937001321650595/0.015859807136913213/0.019971608987224044/0.04792365059790084/0.0032370175856901717/0.04097590553593169/0.016264039576882328/0.16829017573057908/0.03584404838788629/0.044348719956923986/0.12849380782221353/0.02605404398238431/0.033001789044353455/0.17886338048852124/0.024396059365323488/0.017053556061197003,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Gas/Other/Electricity/Oil/District heat,Gas/None/Solar (thermal)/Electricity/Oil/District heat,Boiler/No heat generator/Solar thermal installation/Central electrical boiler/Condensation boiler/Heat exchanger (DHN included),V/V/V/V/I/II/I/I/V/I/V/V/I/I/III/I/II,0.059981444,112.5803145,376015.06,0.001210786,5.872979118,19.54727136,552.4038632,307.2033903,4318.726315,734460.4548,130262.86,Chauderon,
163,883130/883112,1946-1960,Residential,2462,TRUE,2537752.161,1153047.143,528.58,3217,TRUE,FALSE,,Solar thermal installation for multiple buildings,Not documented,0,262160.8653,0,120.849732,0,16,1595410,770995,824415,2132.274957,8040.646827,2570.15738,42342.75,22.43711924,18,15.5,12,17,65,50,60,15,1977.51004,518.0876465,3125.406546,1562.679966,569.5949903,20,61.5,0.5398050365556458/0.4601949634443542,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil,Oil,Boiler,I/I,0.096914209,120.3,68936,0.00202,5.539805037,21.47,99.28655234,99.2854668,569.5949903,181555.1968,51702,Pré-du-Marché,
176,2118523/280022151/883165/883172/883167/883164/883173/883161/883166/883175/883174,1961-1970/1946-1960/1919-1945/<1919,Commercial/Residential,12530.68,FALSE,2538001.444,1152894.627,529.3720623,3217,TRUE,FALSE,,Solar thermal installation for multiple buildings/Not documented/Condensation boiler for single building,Not documented,0,1240528.574,0,569.4023415,0,176,6118237,3474150,2644087,9053.993748,0,0,270077.7937,143.112284,18,15.65202782,12,17,65,50,60,15,10064.80321,2854.554224,77169.78367,6081.645972,2972.347776,20,472,0.16164645494099283/0.007273348293947336/0.06408271538336308/0.1076557696789001/0.06639703511700881/0.09025846961218385/0.09321122237580083/0.19735561038985913/0.029687135893662595/0.10063300634921649/0.08179923196506494,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Gas/Other/Oil,Oil/None/Gas,Boiler/No heat generator/Condensation boiler,V/V/I/I/I/I/I/I/I/I/I,0.086949735,118.3658683,361442.44,0.001858359,6.244235748,23.38400536,474.5197054,434.5869013,2972.347776,880519.0812,233510.76,Pré-du-Marché,
