building,egid,heating_system_2025,heating_system_2030,heating_system_2035,heating_system_2040,heating_system_2045,heating_system_2050,heating_system_2_2025,electric_system_2025,electric_system_2030,electric_system_2035,electric_system_2040,electric_system_2045,electric_system_2050,pv_mult_2025
Building1,883347,NG_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,,,,,,,,0.0
Building2,2119815,OIL_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,,,,,PV,PV,PV,0.0
Building3,280021256,OIL_Boiler,OIL_Boiler,OIL_Boiler,HeatPump_Air,HeatPump_Air,HeatPump_Air,,,,,,,,0.0
Building4,882949,OIL_Boiler,OIL_Boiler,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,,,,,,,,0.0
Building5,882950,OIL_Boiler,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,,,,,,,,0.0
Building6,882951,OIL_Boiler,OIL_Boiler,OIL_Boiler,HeatPump_Air,HeatPump_Air,HeatPump_Air,,,,,,PV,PV,0.0
Building7,882952,OIL_Boiler,OIL_Boiler,OIL_Boiler,OIL_Boiler,HeatPump_Air,HeatPump_Air,,,,,PV,PV,PV,0.0
Building8,882953,OIL_Boiler,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,,,,,,,,0.0
Building9,882954,OIL_Boiler,OIL_Boiler,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,,,,,,,,0.0
Building10,882955,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,,,,,,,,0.0
Building11,882959,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,,,,,,,,0.0
Building12,882843,NG_Boiler,DHN_hex,DHN_hex,DHN_hex,DHN_hex,DHN_hex,,,,,,,,0.0
Building13,882846,OIL_Boiler,OIL_Boiler,OIL_Boiler,OIL_Boiler,OIL_Boiler,NG_Boiler,,,,,,,,0.0
Building14,882826,OIL_Boiler,OIL_Boiler,OIL_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,,,PV,PV,PV,PV,PV,0.0
Building15,883191,OIL_Boiler,OIL_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,,PV,PV,PV,PV,PV,PV,0.8246318607764391
Building16,883202,NG_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,,PV,PV,PV,PV,PV,PV,3.5753681392235612
Building17,882836,OIL_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,NG_Boiler,,,,,,,,0.0
Building18,883203,NG_Boiler,NG_Boiler,NG_Boiler,DHN_hex,DHN_hex,DHN_hex,,,,,PV,PV,PV,0.0
Building19,883220,NG_Boiler,NG_Boiler,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,,,,,,,,0.0
Building20,2119216,NG_Boiler,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,HeatPump_Air,,,,,,,,0.0
