Text,Irr,Weekday
3.3,0.0,1.0
3.06,0.0,1.0
2.72,0.0,1.0
2.26,0.0,1.0
1.83,0.0,1.0
1.61,0.0,1.0
1.69,0.0,1.0
1.84,20.0,1.0
2.69,173.0,1.0
4.61,280.0,1.0
5.93,292.0,1.0
7.01,324.0,1.0
7.88,321.0,1.0
8.38,258.0,1.0
8.34,118.0,1.0
8.05,50.0,1.0
7.21,0.0,1.0
7.21,0.0,1.0
6.98,0.0,1.0
6.21,0.0,1.0
6.34,0.0,1.0
6.26,0.0,1.0
5.79,0.0,1.0
5.74,0.0,1.0
2.78,0.0,0.0
2.15,0.0,0.0
2.06,0.0,0.0
2.9,0.0,0.0
2.75,0.0,0.0
2.54,0.0,0.0
2.43,0.0,0.0
2.91,0.0,0.0
2.97,7.0,0.0
3.39,0.0,0.0
3.05,26.0,0.0
3.39,30.0,0.0
3.94,44.0,0.0
4.6,26.0,0.0
4.63,56.0,0.0
4.64,43.0,0.0
3.99,0.0,0.0
3.63,0.0,0.0
3.46,0.0,0.0
4.07,0.0,0.0
3.12,0.0,0.0
2.89,0.0,0.0
2.55,0.0,0.0
2.04,0.0,0.0
1.51,0.0,1.0
1.62,0.0,1.0
1.61,0.0,1.0
1.52,0.0,1.0
1.48,0.0,1.0
1.44,0.0,1.0
1.42,0.0,1.0
0.79,0.0,1.0
0.99,83.0,1.0
1.2,152.0,1.0
1.56,161.0,1.0
1.72,103.0,1.0
2.13,109.0,1.0
2.82,108.0,1.0
3.79,113.0,1.0
3.95,66.0,1.0
3.81,0.0,1.0
3.38,0.0,1.0
2.63,0.0,1.0
2.24,0.0,1.0
1.98,0.0,1.0
1.94,0.0,1.0
1.66,0.0,1.0
1.26,0.0,1.0
13.21,0.0,0.0
12.95,0.0,0.0
12.69,0.0,0.0
12.43,0.0,0.0
12.17,0.0,0.0
11.91,7.0,0.0
11.64,36.0,0.0
11.38,59.0,0.0
12.94,101.0,0.0
13.44,93.0,0.0
14.02,129.0,0.0
13.89,111.0,0.0
14.03,522.0,0.0
14.03,96.0,0.0
13.93,67.0,0.0
13.43,49.0,0.0
13.18,88.0,0.0
12.96,21.0,0.0
12.6,6.0,0.0
11.71,0.0,0.0
11.4,0.0,0.0
11.6,0.0,0.0
11.78,0.0,0.0
11.7,0.0,0.0
18.43,0.0,1.0
17.21,0.0,1.0
16.63,0.0,1.0
16.15,0.0,1.0
15.95,0.0,1.0
15.83,0.0,1.0
16.05,63.0,1.0
18.2,184.0,1.0
22.14,377.0,1.0
24.06,398.0,1.0
25.14,152.0,1.0
25.3,572.0,1.0
25.55,385.0,1.0
24.91,260.0,1.0
23.75,186.0,1.0
22.78,164.0,1.0
20.37,53.0,1.0
18.2,14.0,1.0
16.46,0.0,1.0
15.86,0.0,1.0
15.34,0.0,1.0
14.74,0.0,1.0
14.25,0.0,1.0
13.65,0.0,1.0
13.07,0.0,1.0
11.81,0.0,1.0
11.25,0.0,1.0
10.76,0.0,1.0
10.33,0.0,1.0
9.95,0.0,1.0
9.77,81.0,1.0
10.27,231.0,1.0
10.83,402.0,1.0
11.45,466.0,1.0
12.38,500.0,1.0
13.23,639.0,1.0
13.9,576.0,1.0
14.17,568.0,1.0
14.19,495.0,1.0
13.87,336.0,1.0
13.35,173.0,1.0
12.5,15.0,1.0
11.56,0.0,1.0
10.68,0.0,1.0
10.18,0.0,1.0
9.78,0.0,1.0
9.28,0.0,1.0
8.79,0.0,1.0
10.22,0.0,1.0
9.59,0.0,1.0
9.19,0.0,1.0
8.72,0.0,1.0
8.33,0.0,1.0
8.02,0.0,1.0
7.15,0.0,1.0
7.7,107.0,1.0
9.49,151.0,1.0
11.68,179.0,1.0
13.62,350.0,1.0
14.78,576.0,1.0
15.39,550.0,1.0
15.89,378.0,1.0
16.07,437.0,1.0
15.96,311.0,1.0
15.6,142.0,1.0
14.26,0.0,1.0
13.31,0.0,1.0
12.72,0.0,1.0
12.32,0.0,1.0
11.85,0.0,1.0
11.5,0.0,1.0
11.34,0.0,1.0
14.78,0.0,1.0
14.94,0.0,1.0
14.47,0.0,1.0
14.08,0.0,1.0
13.83,0.0,1.0
13.66,70.0,1.0
14.18,239.0,1.0
15.21,421.0,1.0
16.84,591.0,1.0
17.95,727.0,1.0
18.81,795.0,1.0
19.69,834.0,1.0
20.31,873.0,1.0
20.9,830.0,1.0
21.22,729.0,1.0
21.45,585.0,1.0
21.07,378.0,1.0
20.49,240.0,1.0
19.65,44.0,1.0
18.13,0.0,1.0
16.96,0.0,1.0
16.15,0.0,1.0
15.72,0.0,1.0
15.77,0.0,1.0
15.6,0.0,1.0
15.5,0.0,1.0
15.4,0.0,1.0
15.33,0.0,1.0
15.06,0.0,1.0
14.81,62.0,1.0
15.36,227.0,1.0
17.87,407.0,1.0
19.75,581.0,1.0
21.13,718.0,1.0
22.3,830.0,1.0
23.26,880.0,1.0
23.78,886.0,1.0
24.29,828.0,1.0
24.56,734.0,1.0
24.45,586.0,1.0
24.19,417.0,1.0
23.5,230.0,1.0
22.48,48.0,1.0
21.03,0.0,1.0
19.19,0.0,1.0
18.01,0.0,1.0
17.25,0.0,1.0
16.65,0.0,1.0
18.33,0.0,1.0
17.88,0.0,1.0
17.3,0.0,1.0
16.68,0.0,1.0
16.04,0.0,1.0
15.54,0.0,1.0
14.49,102.0,1.0
16.12,273.0,1.0
20.01,444.0,1.0
22.15,586.0,1.0
23.5,676.0,1.0
24.69,726.0,1.0
25.34,713.0,1.0
26.03,657.0,1.0
26.24,547.0,1.0
26.01,400.0,1.0
25.56,220.0,1.0
24.28,32.0,1.0
22.77,0.0,1.0
21.84,0.0,1.0
21.82,0.0,1.0
21.32,0.0,1.0
20.79,0.0,1.0
19.82,0.0,1.0
-7.62,0.0,1.0
32.02,838.0,0.0
