id,nom,T_aller,T_retour,Id_Parc,no_parc,qlEner_iEGID,qlEner_sCommune,qlEner_sRue,qlEner_sNoRue,qlEner_sType,qlEner_Conso,qlEner_iCuisson,qlEner_sRecommendation,qlEner_iEDID,Année_construction,Période_de_construction,Année_de_rénovation_du_bâtiment,Surface_bâtiment,Nombre_de_niveau,SRE_calculée,qlEner_Densité,qlEner_iConsoRenov,geometry
0.0,Vallon,175.0,75.0,,,2118375.0,Lausanne,Place de la Cathédrale,4,CAD,373.1,,Déjà raccordé,0.0,1375.0,8011.0,2019.0,15.0,1.0,12.0,31091.6666666667,,MULTIPOINT (2538329.1260000495 1152642.4640048007)
,,,,1325395.0,5395.0,300000021.0,Lausanne,Chemin de Beau-Rivage,21,Gaz,5017.476253,,CAD actuel,0.0,1907.0,8011.0,0.0,302.0,1.0,241.600006,20767.6997226821,,MULTIPOINT (2537933.0030000512 1151110.0350049676)
0.0,Dôle,175.0,75.0,,,2119726.0,Lausanne,Avenue du Tribunal-Fédéral,4,CAD,2303.6,0.0,Déjà raccordé,0.0,1968.0,8014.0,0.0,77.0,2.0,123.199997,18698.0519480519,,MULTIPOINT (2538725.277000049 1152400.9650048257)
0.0,Sud-Ouest / Cadouest,130.0,70.0,,,280073887.0,Lausanne,Route de Vidy,8,Gaz,1031.61984,,CAD actuel,0.0,2010.0,8021.0,0.0,145.0,1.0,116.0,8893.27448275862,,MULTIPOINT (2535073.9840000523 1152372.0730048323)
,,,,13215642.0,15642.0,2119943.0,Lausanne,Route du Jorat,57,Gaz,8982.004877,,Gaz conservé,0.0,1985.0,8016.0,2015.0,678.0,2.0,1084.80005,8279.87175239676,,MULTIPOINT (2542552.447000043 1155747.0360044641)
0.0,Sud-Ouest / Cadouest,130.0,70.0,,,280010662.0,Lausanne,Chemin du Capelard,5,Gaz,686.401927,,Gaz conservé,0.0,1969.0,8014.0,0.0,131.0,0.0,104.800003,6549.63670801527,,MULTIPOINT (2536127.000000051 1152400.000004825)
0.0,Dôle,175.0,75.0,1326099.0,6099.0,2119138.0,Lausanne,Avenue Mon-Repos,22,CAD,437.4,,Déjà raccordé,0.0,1971.0,8015.0,0.0,46.0,2.0,73.5999985,5942.9347826087,,MULTIPOINT (2538800.4580000495 1152230.5750048426)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1321058.0,1058.0,887750.0,Lausanne,Avenue de France,15,Gaz,3135.446666,,CAD futur,0.0,1844.0,8011.0,2014.0,168.0,4.0,537.599976,5832.30406622024,,MULTIPOINT (2537420.32200005 1152896.7090047766)
0.0,Sud-Ouest / Cadouest,130.0,70.0,132598.0,598.0,9081213.0,Lausanne,Rue de Genève,105,Gaz,167.381626,,Sondes,0.0,1959.0,8013.0,0.0,45.0,1.0,36.0,4649.48961111111,,MULTIPOINT (2536326.4600000503 1153026.491004767)
0.0,Cadouest,0.0,0.0,,,2118415.0,Lausanne,Avenue du Chablais,46,CAD,1450.0,,Déjà raccordé,0.0,1956.0,8013.0,0.0,237.0,2.0,379.200012,3823.83966244726,,MULTIPOINT (2535156.405000051 1152959.7050047696)
