id,Month,Day,Hour,Irr,Text,Weekday
1,1,1,1,0,9.1,0
2,1,1,2,0,9.3,0
3,1,1,3,0,9.1,0
4,1,1,4,0,9,0
5,1,1,5,0,8.8,0
6,1,1,6,0,8.7,0
7,1,1,7,0,8.7,0
8,1,1,8,0,8.6,0
9,1,1,9,2,8.7,0
10,1,1,10,41,9.4,0
11,1,1,11,76,10.1,0
12,1,1,12,104,10.7,0
13,1,1,13,128,11.2,0
14,1,1,14,116,11.5,0
15,1,1,15,87,11.6,0
16,1,1,16,49,11.3,0
17,1,1,17,3,10.8,0
18,1,1,18,0,10.4,0
19,1,1,19,0,9.9,0
20,1,1,20,0,9.6,0
21,1,1,21,0,9.3,0
22,1,1,22,0,8.9,0
23,1,1,23,0,8.5,0
24,1,1,24,0,8.1,0
25,1,2,1,0,7.1,0
26,1,2,2,0,6,0
27,1,2,3,0,4.9,0
28,1,2,4,0,4.3,0
29,1,2,5,0,3.7,0
30,1,2,6,0,3.1,0
31,1,2,7,0,2.7,0
32,1,2,8,0,2.2,0
33,1,2,9,2,2.2,0
34,1,2,10,104,3.7,0
35,1,2,11,176,4.9,0
36,1,2,12,252,6,0
37,1,2,13,301,6.9,0
38,1,2,14,279,7.4,0
39,1,2,15,272,7.7,0
40,1,2,16,134,7.2,0
41,1,2,17,14,6,0
42,1,2,18,0,5.5,0
43,1,2,19,0,4.9,0
44,1,2,20,0,4.4,0
45,1,2,21,0,3.8,0
46,1,2,22,0,3.3,0
47,1,2,23,0,2.7,0
48,1,2,24,0,2.2,0
49,1,3,1,0,2.1,1
50,1,3,2,0,2,1
51,1,3,3,0,1.9,1
52,1,3,4,0,1.9,1
53,1,3,5,0,1.8,1
54,1,3,6,0,1.8,1
55,1,3,7,0,1.8,1
56,1,3,8,0,1.8,1
57,1,3,9,5,2.1,1
58,1,3,10,97,4,1
59,1,3,11,181,5.9,1
60,1,3,12,252,7.6,1
61,1,3,13,272,8.8,1
62,1,3,14,257,9.5,1
63,1,3,15,174,9.5,1
64,1,3,16,93,8.8,1
65,1,3,17,3,7.6,1
66,1,3,18,0,7.1,1
67,1,3,19,0,6.6,1
68,1,3,20,0,6.2,1
69,1,3,21,0,5.7,1
70,1,3,22,0,5.2,1
71,1,3,23,0,4.7,1
72,1,3,24,0,4.2,1
73,1,4,1,0,3.5,1
74,1,4,2,0,2.8,1
75,1,4,3,0,2.1,1
76,1,4,4,0,1.7,1
77,1,4,5,0,1.4,1
78,1,4,6,0,1,1
79,1,4,7,0,0.7,1
80,1,4,8,0,0.4,1
81,1,4,9,2,0.5,1
82,1,4,10,104,2.2,1
83,1,4,11,160,3.4,1
84,1,4,12,216,4.5,1
85,1,4,13,265,5.4,1
86,1,4,14,343,6.5,1
87,1,4,15,218,6.6,1
88,1,4,16,112,6,1
89,1,4,17,16,4.9,1
90,1,4,18,0,4.4,1
91,1,4,19,0,3.8,1
92,1,4,20,0,3.3,1
93,1,4,21,0,2.7,1
94,1,4,22,0,2.2,1
95,1,4,23,0,1.6,1
96,1,4,24,0,1.1,1
97,1,5,1,0,0.7,1
98,1,5,2,0,0.3,1
99,1,5,3,0,-0.1,1
100,1,5,4,0,-0.3,1
101,1,5,5,0,-0.5,1
102,1,5,6,0,-0.7,1
103,1,5,7,0,-0.9,1
104,1,5,8,0,-1,1
105,1,5,9,8,-0.7,1
106,1,5,10,105,1.2,1
107,1,5,11,200,3.1,1
108,1,5,12,300,5,1
109,1,5,13,301,6.2,1
110,1,5,14,233,6.5,1
111,1,5,15,206,6.6,1
112,1,5,16,129,6,1
113,1,5,17,16,4.7,1
114,1,5,18,0,4.3,1
115,1,5,19,0,3.8,1
116,1,5,20,0,3.3,1
117,1,5,21,0,2.8,1
118,1,5,22,0,2.4,1
119,1,5,23,0,1.9,1
120,1,5,24,0,1.4,1
121,1,6,1,0,1,1
122,1,6,2,0,0.5,1
123,1,6,3,0,0,1
124,1,6,4,0,-0.2,1
125,1,6,5,0,-0.5,1
126,1,6,6,0,-0.7,1
127,1,6,7,0,-0.9,1
128,1,6,8,0,-1,1
129,1,6,9,2,-1,1
130,1,6,10,79,0.4,1
131,1,6,11,155,1.7,1
132,1,6,12,219,3,1
133,1,6,13,234,3.8,1
134,1,6,14,214,4.3,1
135,1,6,15,161,4.3,1
136,1,6,16,83,3.7,1
137,1,6,17,4,2.8,1
138,1,6,18,0,2.4,1
139,1,6,19,0,2,1
140,1,6,20,0,1.6,1
141,1,6,21,0,1.2,1
142,1,6,22,0,0.8,1
143,1,6,23,0,0.4,1
144,1,6,24,0,0,1
145,1,7,1,0,-0.3,1
146,1,7,2,0,-0.6,1
147,1,7,3,0,-0.8,1
148,1,7,4,0,-1,1
149,1,7,5,0,-1.1,1
150,1,7,6,0,-1.2,1
151,1,7,7,0,-1.3,1
152,1,7,8,0,-1.4,1
153,1,7,9,2,-1.3,1
154,1,7,10,95,0.7,1
155,1,7,11,182,2.6,1
156,1,7,12,260,4.3,1
157,1,7,13,275,5.5,1
158,1,7,14,289,6.4,1
159,1,7,15,229,6.7,1
160,1,7,16,146,6.3,1
161,1,7,17,21,5.1,1
162,1,7,18,0,4.4,1
163,1,7,19,0,3.8,1
164,1,7,20,0,3.2,1
165,1,7,21,0,2.6,1
166,1,7,22,0,2,1
167,1,7,23,0,1.3,1
168,1,7,24,0,0.7,1
169,1,8,1,0,0,0
170,1,8,2,0,-0.8,0
171,1,8,3,0,-1.5,0
172,1,8,4,0,-1.9,0
173,1,8,5,0,-2.3,0
174,1,8,6,0,-2.7,0
175,1,8,7,0,-3,0
176,1,8,8,0,-3.3,0
177,1,8,9,5,-3.1,0
178,1,8,10,105,-1.3,0
179,1,8,11,211,0.6,0
180,1,8,12,291,2.3,0
181,1,8,13,337,3.6,0
182,1,8,14,327,4.4,0
183,1,8,15,283,4.7,0
184,1,8,16,176,4.3,0
185,1,8,17,27,2.9,0
186,1,8,18,0,2.2,0
187,1,8,19,0,1.5,0
188,1,8,20,0,0.8,0
189,1,8,21,0,0.1,0
190,1,8,22,0,-0.6,0
191,1,8,23,0,-1.4,0
192,1,8,24,0,-2.1,0
193,1,9,1,0,-2.6,0
194,1,9,2,0,-3.3,0
195,1,9,3,0,-3.9,0
196,1,9,4,0,-4.2,0
197,1,9,5,0,-4.5,0
198,1,9,6,0,-4.8,0
199,1,9,7,0,-5.1,0
200,1,9,8,0,-5.3,0
201,1,9,9,7,-5.1,0
202,1,9,10,129,-2.7,0
203,1,9,11,246,-0.4,0
204,1,9,12,330,1.5,0
205,1,9,13,369,3,0
206,1,9,14,355,3.8,0
207,1,9,15,285,4,0
208,1,9,16,177,3.4,0
209,1,9,17,27,1.8,0
210,1,9,18,0,1.4,0
211,1,9,19,0,1,0
212,1,9,20,0,0.6,0
213,1,9,21,0,0.2,0
214,1,9,22,0,-0.2,0
215,1,9,23,0,-0.6,0
216,1,9,24,0,-1,0
217,1,10,1,0,-1.2,1
218,1,10,2,0,-1.4,1
219,1,10,3,0,-1.6,1
220,1,10,4,0,-1.7,1
221,1,10,5,0,-1.8,1
222,1,10,6,0,-1.9,1
223,1,10,7,0,-2.1,1
224,1,10,8,0,-2,1
225,1,10,9,2,-1.9,1
226,1,10,10,10,-1.7,1
227,1,10,11,20,-1.5,1
228,1,10,12,26,-1.3,1
229,1,10,13,29,-1.2,1
230,1,10,14,292,0.7,1
231,1,10,15,266,2,1
232,1,10,16,190,2.5,1
233,1,10,17,32,2,1
234,1,10,18,0,1.8,1
235,1,10,19,0,1.6,1
236,1,10,20,0,1.4,1
237,1,10,21,0,1.2,1
238,1,10,22,0,1,1
239,1,10,23,0,0.8,1
240,1,10,24,0,0.6,1
241,1,11,1,0,0.3,1
242,1,11,2,0,0.1,1
243,1,11,3,0,-0.2,1
244,1,11,4,0,-0.2,1
245,1,11,5,0,-0.3,1
246,1,11,6,0,-0.4,1
247,1,11,7,0,-0.5,1
248,1,11,8,0,-0.5,1
249,1,11,9,5,-0.3,1
250,1,11,10,67,0.8,1
251,1,11,11,35,0.8,1
252,1,11,12,135,1.7,1
253,1,11,13,213,2.8,1
254,1,11,14,245,3.7,1
255,1,11,15,79,3.4,1
256,1,11,16,33,2.9,1
257,1,11,17,5,2.3,1
258,1,11,18,0,1.8,1
259,1,11,19,0,1.4,1
260,1,11,20,0,1,1
261,1,11,21,0,0.6,1
262,1,11,22,0,0.1,1
263,1,11,23,0,-0.3,1
264,1,11,24,0,-0.9,1
265,1,12,1,0,-1.5,1
266,1,12,2,0,-2.4,1
267,1,12,3,0,-3.3,1
268,1,12,4,0,-4.3,1
269,1,12,5,0,-4.1,1
270,1,12,6,0,-4.6,1
271,1,12,7,0,-4.9,1
272,1,12,8,0,-5.3,1
273,1,12,9,2,-5.4,1
274,1,12,10,28,-5.3,1
275,1,12,11,56,-5.3,1
276,1,12,12,78,-5.3,1
277,1,12,13,94,-5.3,1
278,1,12,14,90,-5.4,1
279,1,12,15,59,-5.5,1
280,1,12,16,37,-5.6,1
281,1,12,17,11,-5.8,1
282,1,12,18,0,-6,1
283,1,12,19,0,-6.2,1
284,1,12,20,0,-6.4,1
285,1,12,21,0,-6.7,1
286,1,12,22,0,-6.9,1
287,1,12,23,0,-7.4,1
288,1,12,24,0,-7.4,1
289,1,13,1,0,-7.1,1
290,1,13,2,0,-6.8,1
291,1,13,3,0,-6.5,1
292,1,13,4,0,-6.3,1
293,1,13,5,0,-6.1,1
294,1,13,6,0,-6,1
295,1,13,7,0,-5.8,1
296,1,13,8,0,-5.7,1
297,1,13,9,2,-5.5,1
298,1,13,10,57,-3.9,1
299,1,13,11,106,-2.5,1
300,1,13,12,164,-1,1
301,1,13,13,181,0.1,1
302,1,13,14,222,1.2,1
303,1,13,15,176,1.7,1
304,1,13,16,122,1.7,1
305,1,13,17,32,0.8,1
306,1,13,18,0,-0.1,1
307,1,13,19,0,-0.3,1
308,1,13,20,0,-0.5,1
309,1,13,21,0,-0.6,1
310,1,13,22,0,-0.8,1
311,1,13,23,0,-0.9,1
312,1,13,24,0,-1.1,1
313,1,14,1,0,-1.6,1
314,1,14,2,0,-2.1,1
315,1,14,3,0,-2.6,1
316,1,14,4,0,-2.8,1
317,1,14,5,0,-3.1,1
318,1,14,6,0,-3.3,1
319,1,14,7,0,-3.5,1
320,1,14,8,0,-3.7,1
321,1,14,9,7,-3.4,1
322,1,14,10,37,-2.8,1
323,1,14,11,23,-2.8,1
324,1,14,12,30,-2.8,1
325,1,14,13,202,-1.4,1
326,1,14,14,220,-0.4,1
327,1,14,15,233,0.4,1
328,1,14,16,179,0.8,1
329,1,14,17,75,0.4,1
330,1,14,18,0,-0.3,1
331,1,14,19,0,-0.9,1
332,1,14,20,0,-1.4,1
333,1,14,21,0,-2,1
334,1,14,22,0,-2.5,1
335,1,14,23,0,-3.1,1
336,1,14,24,0,-3.6,1
337,1,15,1,0,-4.1,0
338,1,15,2,0,-4.7,0
339,1,15,3,0,-5.2,0
340,1,15,4,0,-5.5,0
341,1,15,5,0,-5.7,0
342,1,15,6,0,-6,0
343,1,15,7,0,-6.2,0
344,1,15,8,0,-6.4,0
345,1,15,9,2,-6.3,0
346,1,15,10,65,-5,0
347,1,15,11,117,-3.9,0
348,1,15,12,193,-2.6,0
349,1,15,13,226,-1.6,0
350,1,15,14,191,-1.1,0
351,1,15,15,142,-1.1,0
352,1,15,16,89,-1.5,0
353,1,15,17,42,-2.1,0
354,1,15,18,0,-3,0
355,1,15,19,0,-3.1,0
356,1,15,20,0,-3.3,0
357,1,15,21,0,-3.5,0
358,1,15,22,0,-3.6,0
359,1,15,23,0,-3.8,0
360,1,15,24,0,-4,0
361,1,16,1,0,-4,0
362,1,16,2,0,-4.1,0
363,1,16,3,0,-4.1,0
364,1,16,4,0,-4.2,0
365,1,16,5,0,-4.2,0
366,1,16,6,0,-4.2,0
367,1,16,7,0,-4.2,0
368,1,16,8,0,-4.2,0
369,1,16,9,6,-3.8,0
370,1,16,10,71,-2.4,0
371,1,16,11,147,-0.7,0
372,1,16,12,195,0.7,0
373,1,16,13,201,1.5,0
374,1,16,14,150,1.8,0
375,1,16,15,176,2.1,0
376,1,16,16,70,1.5,0
377,1,16,17,56,1,0
378,1,16,18,0,0.1,0
379,1,16,19,0,-0.2,0
380,1,16,20,0,-0.4,0
381,1,16,21,0,-0.7,0
382,1,16,22,0,-0.9,0
