Unit;ref_unit;Units_Fmin;Units_Fmax;Cost_inv1;Cost_inv2;GWP_unit1;GWP_unit2;lifetime;s_curve_k_factor;s_curve_c_factor;UnitOfType;UnitOfLayer;UnitOfService;StreamsOfUnit;Units_flowrate_in;Units_flowrate_out;stream_Tin;stream_Tout;References;Notes;References_GWP
NG_Boiler;kWth;0.1;100000;5862.6;433;0.0001;134;20;0.1692;2032;NG_Boiler;NaturalGas/ HeatCascade;DHW/ SH;h_ht;NaturalGas;;80;60;`Vaillant.ch <www.vaillant.ch>`_;;`ecoQuery <https://ecoquery.ecoinvent.org/3.11/cutoff>`
OIL_Boiler;kWth;0.1;100000;4516;162;301;14;20;0.1692;2032;OIL_Boiler;Oil/ HeatCascade;DHW/ SH;h_ht;Oil;;80;60;`Vaillant.ch <https://www.vaillant.ch/downloads/preisliste/franzoesisch-3/liste-de-prix-chaudires-murales-gaz-systmes-dvacuation-de-gaz-brls-prtirage-04-2021-2041428.pdf>`_;;`ecoQuery <https://ecoquery.ecoinvent.org/3.11/cutoff>`
WOOD_Stove;kWth;0.1;100000;1087;132;438;103;20;0.1692;2032;WOOD_Stove;Wood /HeatCascade;DHW/ SH;h_ht;Wood;;80;60;"";;
HeatPump_Air;kWth;0.1;100000000;18292;702;136;174;20;0.1;2037;HeatPump;HeatCascade/ Electricity;DHW/ SH;h_ht/ h_mt/ h_lt;Electricity;;55/ 45/ 35;50/40/30;`prix-pompe-chaleur.ch <https://prix-pompe-chaleur.ch/prix-pompes-a-chaleur-suisse/>`_;;`ecoQuery <https://ecoquery.ecoinvent.org/3.11/cutoff>`
HeatPump_Geothermal;kWth;0.1;100000;34830;1420;136;174;20;0.1;2037;HeatPump;HeatCascade/ Electricity;DHW/ SH;h_ht/ h_mt/ h_lt;Electricity;;55/ 45/ 35;50/40/30;`Vaillant.ch <www.vaillant.ch>`_;`Price of flexoTHERM exclusive`;`ecoQuery <https://ecoquery.ecoinvent.org/3.11/cutoff>`
HeatPump_DHN;kWth;0.1;100000;17500;300;136;174;20;0.1;2037;HeatPump;HeatCascade/ Electricity/ Heat;DHW/ SH;h_ht/ h_mt/ h_lt;Electricity/ Heat;;55/ 45/ 35;50/40/30;;;
HeatPump_Lake;kWth;0.1;100000;17500;300;136;174;20;0.1;2037;HeatPump;HeatCascade/ Electricity;DHW/ SH;h_ht/ h_mt/ h_lt;Electricity;;55/ 45/ 35;50/40/30;"";;
AirConditioner;kWth;0.1;100000;3000;200;500;20;20;0.1;2037;AirConditioner;HeatCascade/ Electricity;Cooling;c_ht/ c_mt/ c_lt;Electricity;"";13/ 15/ 18;14/ 16/ 19;`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_;;
ElectricalHeater_SH;kWth;0.0001;100000;862;619;0.0001;1.6;20;0.1;2037;ElectricalHeater;HeatCascade/ Electricity;SH;h_ht;Electricity;;80;60;`SCDI <https://scdi.ch/fr/chauffage-electrique.html>`_;;`ecoQuery <https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8083/impact_assessment>`
ElectricalHeater_DHW;kWth;0.0001;100000;1002;411;0.0001;1.6;20;0.1;2037;ElectricalHeater;HeatCascade/ Electricity;DHW;h_ht;Electricity;;80;60;`SCDI <https://scdi.ch/fr/chauffe-eau-electrique-mural-atlantic.html>`_;;`ecoQuery <https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8083/impact_assessment>`
PV;kWe;0.0001;100000;38609;1245;0.0001;613;30;0.1940;2037;PV;Electricity;;;"";Electricity;;;`SFOE <https://www.bfe.admin.ch/bfe/en/home/versorgung/erneuerbare-energien/solarenergie.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTE3Njg=.html>`_;;`ecoQuery <https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/4120/impact_assessment>`
ThermalSolar;m2;0.1;100000;7000;820;0.0001;383;20;0.1;2037;ThermalSolar;HeatCascade;DHW;h_ht;;;62;48;"";;
Battery;kWh;5;100000;5000;550;100;100;15;0.1;2037;Battery;Electricity;;;Electricity;Electricity;;;`Tesla Powerwall <https://www.tesla.com/fr_ch/powerwall>`_;;
WaterTankSH;L;0.0001;100000;1022;5.2;0.0001;0.49;20;0.1;2037;WaterTankSH;HeatCascade;SH;h_ht/ c_lt;;;35/ 35;35/ 35;`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_;;`ecoQuery <https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/5991/impact_assessment>`
WaterTankDHW;L;0.0001;100000000;1022;5.2;0.0001;0.49;20;0.1;2037;WaterTankDHW;HeatCascade;DHW;c_ht ;;;10;60;`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_;;`ecoQuery <https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/5991/impact_assessment>`
DHN_hex;m2;0.01;100000;2034;200;400;100;20;0.1;2037;DHN_hex;Heat/ HeatCascade;SH/ DHW;h_ht;Heat;;80;60;`Energies <https://www.mdpi.com/1996-1073/12/15/2945>`;;
DHN_pipes;kW;0.01;100000;47105;129;2000;10;60;0.1;2037;DHN_pipes;Heat;;;;;;;`Energies <https://www.mdpi.com/1996-1073/12/15/2945>`;;
DataHeat_SH;kWth;0.1;100000;1000;5000;1000;500;4;0.1;2037;DataHeat;Electricity/ Data/ HeatCascade;SH;h_ht;Electricity;Data;80;60;;;
DataHeat_DHW;kWth;0.1;100000;1000;11000;1000;500;4;0.1;2037;DataHeat;Electricity/ Data/ HeatCascade;DHW;h_ht;Electricity;Data;80;60;;;
MTR;kW;0.1;100000;15000;1000;2000;10;20;0.1;2037;Methanator;Biomethane/ NaturalGas/ CO2/ Hydrogen/ Electricity/ HeatCascade;SH/ DHW;h_ht;Hydrogen/ CO2/ Electricity;Biomethane/ NaturalGas;280;80;`Energy Prod. <https://www.witpress.com/Secure/ejournals/papers/EQ050201f.pdf>`;;
rSOC;kW;0.1;100000;20000;3000;3000;50;10;0.1;2037;rSOC;Electricity/ Hydrogen/ CO2/ Biomethane/ HeatCascade;SH/ DHW;h_ht;Hydrogen/ Biomethane/ Electricity;Electricity/ CO2/ Hydrogen;120;60;`Joule <https://www.cell.com/joule/fulltext/S2542-4351(24)00425-2>`;;
FC;kW;0.1;100000;15000;2000;2000;50;20;0.1;2037;FuelCell;Electricity/ Hydrogen/ HeatCascade;SH;h_ht;Hydrogen;Electricity;80;60;;;
ETZ;kWh;0.1;100000;10000;1000;2000;50;10;0.1;2037;Electrolyzer;Electricity/ Hydrogen/ HeatCascade;SH;h_ht;Electricity;Hydrogen;80;60;;;
