,,,GWP_supply
Electricity,1,1,0.286
Electricity,1,2,0.273
Electricity,1,3,0.26
Electricity,1,4,0.235
Electricity,1,5,0.22
Electricity,1,6,0.23
Electricity,1,7,0.259
Electricity,1,8,0.366
Electricity,1,9,0.424
Electricity,1,10,0.424
Electricity,1,11,0.4479999999999999
Electricity,1,12,0.447
Electricity,1,13,0.413
Electricity,1,14,0.397
Electricity,1,15,0.417
Electricity,1,16,0.442
Electricity,1,17,0.4589999999999999
Electricity,1,18,0.631
Electricity,1,19,0.635
Electricity,1,20,0.581
Electricity,1,21,0.4379999999999999
Electricity,1,22,0.32
Electricity,1,23,0.251
Electricity,1,24,0.228
Electricity,2,1,0.305
Electricity,2,2,0.29
Electricity,2,3,0.294
Electricity,2,4,0.268
Electricity,2,5,0.249
Electricity,2,6,0.25
Electricity,2,7,0.26
Electricity,2,8,0.283
Electricity,2,9,0.3339999999999999
Electricity,2,10,0.37
Electricity,2,11,0.375
Electricity,2,12,0.368
Electricity,2,13,0.387
Electricity,2,14,0.362
Electricity,2,15,0.3229999999999999
Electricity,2,16,0.278
Electricity,2,17,0.295
Electricity,2,18,0.3379999999999999
Electricity,2,19,0.485
Electricity,2,20,0.43
Electricity,2,21,0.299
Electricity,2,22,0.27
Electricity,2,23,0.284
Electricity,2,24,0.284
Electricity,3,1,0.242
Electricity,3,2,0.228
Electricity,3,3,0.2319999999999999
Electricity,3,4,0.236
Electricity,3,5,0.242
Electricity,3,6,0.251
Electricity,3,7,0.299
Electricity,3,8,0.369
Electricity,3,9,0.418
Electricity,3,10,0.419
Electricity,3,11,0.371
Electricity,3,12,0.357
Electricity,3,13,0.313
Electricity,3,14,0.311
Electricity,3,15,0.316
Electricity,3,16,0.365
Electricity,3,17,0.435
Electricity,3,18,0.5379999999999999
Electricity,3,19,0.5529999999999999
Electricity,3,20,0.4629999999999999
Electricity,3,21,0.359
Electricity,3,22,0.2769999999999999
Electricity,3,23,0.273
Electricity,3,24,0.268
Electricity,4,1,0.3229999999999999
Electricity,4,2,0.321
Electricity,4,3,0.291
Electricity,4,4,0.281
Electricity,4,5,0.2789999999999999
Electricity,4,6,0.283
Electricity,4,7,0.365
Electricity,4,8,0.49
Electricity,4,9,0.529
Electricity,4,10,0.534
Electricity,4,11,0.537
Electricity,4,12,0.53
Electricity,4,13,0.485
Electricity,4,14,0.419
Electricity,4,15,0.417
Electricity,4,16,0.4039999999999999
Electricity,4,17,0.422
Electricity,4,18,0.484
Electricity,4,19,0.561
Electricity,4,20,0.5489999999999999
Electricity,4,21,0.517
Electricity,4,22,0.395
Electricity,4,23,0.392
Electricity,4,24,0.361
Electricity,5,1,0.429
Electricity,5,2,0.427
Electricity,5,3,0.44
Electricity,5,4,0.424
Electricity,5,5,0.409
Electricity,5,6,0.3829999999999999
Electricity,5,7,0.39
Electricity,5,8,0.513
Electricity,5,9,0.5760000000000001
Electricity,5,10,0.581
Electricity,5,11,0.56
Electricity,5,12,0.4639999999999999
Electricity,5,13,0.439
Electricity,5,14,0.417
Electricity,5,15,0.401
Electricity,5,16,0.395
Electricity,5,17,0.392
Electricity,5,18,0.424
Electricity,5,19,0.616
Electricity,5,20,0.655
Electricity,5,21,0.624
Electricity,5,22,0.528
Electricity,5,23,0.503
Electricity,5,24,0.411
Electricity,6,1,0.3429999999999999
Electricity,6,2,0.3279999999999999
Electricity,6,3,0.326
Electricity,6,4,0.309
Electricity,6,5,0.288
Electricity,6,6,0.312
Electricity,6,7,0.326
Electricity,6,8,0.425
Electricity,6,9,0.531
Electricity,6,10,0.525
Electricity,6,11,0.477
Electricity,6,12,0.411
Electricity,6,13,0.39
Electricity,6,14,0.373
Electricity,6,15,0.373
Electricity,6,16,0.366
Electricity,6,17,0.344
Electricity,6,18,0.346
Electricity,6,19,0.432
Electricity,6,20,0.5870000000000001
Electricity,6,21,0.4629999999999999
Electricity,6,22,0.368
Electricity,6,23,0.362
Electricity,6,24,0.365
Electricity,7,1,0.753
Electricity,7,2,0.6729999999999999
Electricity,7,3,0.664
Electricity,7,4,0.628
Electricity,7,5,0.618
Electricity,7,6,0.597
Electricity,7,7,0.609
Electricity,7,8,0.6459999999999999
Electricity,7,9,0.698
Electricity,7,10,0.74
Electricity,7,11,0.762
Electricity,7,12,0.774
Electricity,7,13,0.768
Electricity,7,14,0.753
Electricity,7,15,0.7240000000000001
Electricity,7,16,0.693
Electricity,7,17,0.629
Electricity,7,18,0.72
Electricity,7,19,0.8540000000000001
Electricity,7,20,0.851
Electricity,7,21,0.8540000000000001
Electricity,7,22,0.785
Electricity,7,23,0.768
Electricity,7,24,0.736
Electricity,8,1,0.492
Electricity,8,2,0.38
Electricity,8,3,0.355
Electricity,8,4,0.293
Electricity,8,5,0.3229999999999999
Electricity,8,6,0.45
Electricity,8,7,0.613
Electricity,8,8,0.672
Electricity,8,9,0.684
Electricity,8,10,0.6779999999999999
Electricity,8,11,0.645
Electricity,8,12,0.6
Electricity,8,13,0.547
Electricity,8,14,0.522
Electricity,8,15,0.517
Electricity,8,16,0.501
Electricity,8,17,0.588
Electricity,8,18,0.657
Electricity,8,19,0.684
Electricity,8,20,0.6829999999999999
Electricity,8,21,0.682
Electricity,8,22,0.6729999999999999
Electricity,8,23,0.665
Electricity,8,24,0.593
Electricity,9,1,0.3379999999999999
Electricity,9,2,0.305
Electricity,9,3,0.302
Electricity,9,4,0.3
Electricity,9,5,0.267
Electricity,9,6,0.292
Electricity,9,7,0.362
Electricity,9,8,0.5429999999999999
Electricity,9,9,0.5720000000000001
Electricity,9,10,0.595
Electricity,9,11,0.574
Electricity,9,12,0.545
Electricity,9,13,0.52
Electricity,9,14,0.485
Electricity,9,15,0.428
Electricity,9,16,0.387
Electricity,9,17,0.428
Electricity,9,18,0.495
Electricity,9,19,0.54
Electricity,9,20,0.586
Electricity,9,21,0.584
Electricity,9,22,0.54
Electricity,9,23,0.507
Electricity,9,24,0.327
Electricity,10,1,0.603
Electricity,10,2,0.5820000000000001
Electricity,10,3,0.546
Electricity,10,4,0.469
Electricity,10,5,0.4379999999999999
Electricity,10,6,0.508
Electricity,10,7,0.618
Electricity,10,8,0.6559999999999999
Electricity,10,9,0.682
Electricity,10,10,0.6859999999999999
Electricity,10,11,0.69
Electricity,10,12,0.6890000000000001
Electricity,10,13,0.679
Electricity,10,14,0.6729999999999999
Electricity,10,15,0.6779999999999999
Electricity,10,16,0.6809999999999999
Electricity,10,17,0.693
Electricity,10,18,0.6990000000000001
Electricity,10,19,0.703
Electricity,10,20,0.7040000000000001
Electricity,10,21,0.7
Electricity,10,22,0.696
Electricity,10,23,0.687
Electricity,10,24,0.6709999999999999
Electricity,11,1,0.3329999999999999
Electricity,12,1,0.371
