,,,GWP_supply
Electricity,1,1,0.445
Electricity,1,2,0.413
Electricity,1,3,0.413
Electricity,1,4,0.423
Electricity,1,5,0.415
Electricity,1,6,0.405
Electricity,1,7,0.529
Electricity,1,8,0.598
Electricity,1,9,0.621
Electricity,1,10,0.629
Electricity,1,11,0.613
Electricity,1,12,0.602
Electricity,1,13,0.585
Electricity,1,14,0.584
Electricity,1,15,0.575
Electricity,1,16,0.586
Electricity,1,17,0.607
Electricity,1,18,0.6579999999999999
Electricity,1,19,0.637
Electricity,1,20,0.619
Electricity,1,21,0.561
Electricity,1,22,0.506
Electricity,1,23,0.4539999999999999
Electricity,1,24,0.375
Electricity,2,1,0.309
Electricity,2,2,0.264
Electricity,2,3,0.251
Electricity,2,4,0.2319999999999999
Electricity,2,5,0.244
Electricity,2,6,0.297
Electricity,2,7,0.535
Electricity,2,8,0.6509999999999999
Electricity,2,9,0.685
Electricity,2,10,0.69
Electricity,2,11,0.677
Electricity,2,12,0.6920000000000001
Electricity,2,13,0.6629999999999999
Electricity,2,14,0.645
Electricity,2,15,0.6709999999999999
Electricity,2,16,0.6729999999999999
Electricity,2,17,0.664
Electricity,2,18,0.688
Electricity,2,19,0.6709999999999999
Electricity,2,20,0.6629999999999999
Electricity,2,21,0.642
Electricity,2,22,0.5539999999999999
Electricity,2,23,0.492
Electricity,2,24,0.375
Electricity,3,1,0.25
Electricity,3,2,0.25
Electricity,3,3,0.247
Electricity,3,4,0.248
Electricity,3,5,0.247
Electricity,3,6,0.251
Electricity,3,7,0.265
Electricity,3,8,0.296
Electricity,3,9,0.326
Electricity,3,10,0.342
Electricity,3,11,0.336
Electricity,3,12,0.344
Electricity,3,13,0.341
Electricity,3,14,0.356
Electricity,3,15,0.38
Electricity,3,16,0.434
Electricity,3,17,0.495
Electricity,3,18,0.606
Electricity,3,19,0.527
Electricity,3,20,0.478
Electricity,3,21,0.372
Electricity,3,22,0.307
Electricity,3,23,0.271
Electricity,3,24,0.286
Electricity,4,1,0.396
Electricity,4,2,0.4029999999999999
Electricity,4,3,0.405
Electricity,4,4,0.3829999999999999
Electricity,4,5,0.361
Electricity,4,6,0.358
Electricity,4,7,0.381
Electricity,4,8,0.4429999999999999
Electricity,4,9,0.477
Electricity,4,10,0.462
Electricity,4,11,0.426
Electricity,4,12,0.417
Electricity,4,13,0.405
Electricity,4,14,0.3829999999999999
Electricity,4,15,0.3879999999999999
Electricity,4,16,0.39
Electricity,4,17,0.389
Electricity,4,18,0.406
Electricity,4,19,0.439
Electricity,4,20,0.4629999999999999
Electricity,4,21,0.436
Electricity,4,22,0.442
Electricity,4,23,0.4529999999999999
Electricity,4,24,0.484
Electricity,5,1,0.307
Electricity,5,2,0.293
Electricity,5,3,0.288
Electricity,5,4,0.265
Electricity,5,5,0.243
Electricity,5,6,0.235
Electricity,5,7,0.2269999999999999
Electricity,5,8,0.242
Electricity,5,9,0.251
Electricity,5,10,0.332
Electricity,5,11,0.363
Electricity,5,12,0.409
Electricity,5,13,0.444
Electricity,5,14,0.41
Electricity,5,15,0.382
Electricity,5,16,0.354
Electricity,5,17,0.373
Electricity,5,18,0.3929999999999999
Electricity,5,19,0.426
Electricity,5,20,0.564
Electricity,5,21,0.518
Electricity,5,22,0.3939999999999999
Electricity,5,23,0.376
Electricity,5,24,0.373
Electricity,6,1,0.259
Electricity,6,2,0.261
Electricity,6,3,0.245
Electricity,6,4,0.238
Electricity,6,5,0.2319999999999999
Electricity,6,6,0.245
Electricity,6,7,0.324
Electricity,6,8,0.4575
Electricity,6,9,0.591
Electricity,6,10,0.497
Electricity,6,11,0.4039999999999999
Electricity,6,12,0.368
Electricity,6,13,0.316
Electricity,6,14,0.299
Electricity,6,15,0.289
Electricity,6,16,0.29
Electricity,6,17,0.283
Electricity,6,18,0.294
Electricity,6,19,0.381
Electricity,6,20,0.499
Electricity,6,21,0.45
Electricity,6,22,0.382
Electricity,6,23,0.352
Electricity,6,24,0.267
Electricity,7,1,0.257
Electricity,7,2,0.261
Electricity,7,3,0.261
Electricity,7,4,0.24
Electricity,7,5,0.231
Electricity,7,6,0.267
Electricity,7,7,0.478
