,,,GWP_supply
Electricity,1,1,0.382
Electricity,1,2,0.3879999999999999
Electricity,1,3,0.392
Electricity,1,4,0.397
Electricity,1,5,0.406
Electricity,1,6,0.415
Electricity,1,7,0.432
Electricity,1,8,0.444
Electricity,1,9,0.451
Electricity,1,10,0.437
Electricity,1,11,0.456
Electricity,1,12,0.461
Electricity,1,13,0.4579999999999999
Electricity,1,14,0.462
Electricity,1,15,0.469
Electricity,1,16,0.479
Electricity,1,17,0.485
Electricity,1,18,0.494
Electricity,1,19,0.489
Electricity,1,20,0.499
Electricity,1,21,0.495
Electricity,1,22,0.477
Electricity,1,23,0.484
Electricity,1,24,0.473
Electricity,2,1,0.441
Electricity,2,2,0.432
Electricity,2,3,0.445
Electricity,2,4,0.445
Electricity,2,5,0.426
Electricity,2,6,0.451
Electricity,2,7,0.4589999999999999
Electricity,2,8,0.515
Electricity,2,9,0.551
Electricity,2,10,0.499
Electricity,2,11,0.49
Electricity,2,12,0.474
Electricity,2,13,0.4679999999999999
Electricity,2,14,0.4379999999999999
Electricity,2,15,0.407
Electricity,2,16,0.389
Electricity,2,17,0.366
Electricity,2,18,0.37
Electricity,2,19,0.529
Electricity,2,20,0.573
Electricity,2,21,0.4029999999999999
Electricity,2,22,0.321
Electricity,2,23,0.314
Electricity,2,24,0.283
Electricity,3,1,0.426
Electricity,3,2,0.421
Electricity,3,3,0.42
Electricity,3,4,0.417
Electricity,3,5,0.41
Electricity,3,6,0.445
Electricity,3,7,0.497
Electricity,3,8,0.586
Electricity,3,9,0.603
Electricity,3,10,0.589
Electricity,3,11,0.584
Electricity,3,12,0.578
Electricity,3,13,0.526
Electricity,3,14,0.478
Electricity,3,15,0.46
Electricity,3,16,0.442
Electricity,3,17,0.504
Electricity,3,18,0.589
Electricity,3,19,0.608
Electricity,3,20,0.605
Electricity,3,21,0.598
Electricity,3,22,0.492
Electricity,3,23,0.4589999999999999
Electricity,3,24,0.446
Electricity,4,1,0.321
Electricity,4,2,0.301
Electricity,4,3,0.283
Electricity,4,4,0.258
Electricity,4,5,0.251
Electricity,4,6,0.235
Electricity,4,7,0.226
Electricity,4,8,0.245
Electricity,4,9,0.3329999999999999
Electricity,4,10,0.294
Electricity,4,11,0.263
Electricity,4,12,0.259
Electricity,4,13,0.273
Electricity,4,14,0.291
Electricity,4,15,0.289
Electricity,4,16,0.286
Electricity,4,17,0.286
Electricity,4,18,0.281
Electricity,4,19,0.2769999999999999
Electricity,4,20,0.3
Electricity,4,21,0.317
Electricity,4,22,0.389
Electricity,4,23,0.433
Electricity,4,24,0.35
Electricity,5,1,0.48
Electricity,5,2,0.478
Electricity,5,3,0.479
Electricity,5,4,0.447
Electricity,5,5,0.446
Electricity,5,6,0.451
Electricity,5,7,0.4539999999999999
Electricity,5,8,0.466
Electricity,5,9,0.473
Electricity,5,10,0.478
Electricity,5,11,0.475
