,,,GWP_supply
Electricity,1,1,0.3
Electricity,1,2,0.292
Electricity,1,3,0.298
Electricity,1,4,0.307
Electricity,1,5,0.304
Electricity,1,6,0.313
Electricity,1,7,0.335
Electricity,1,8,0.373
Electricity,1,9,0.401
Electricity,1,10,0.379
Electricity,1,11,0.376
Electricity,1,12,0.375
Electricity,1,13,0.341
Electricity,1,14,0.345
Electricity,1,15,0.354
Electricity,1,16,0.352
Electricity,1,17,0.365
Electricity,1,18,0.402
Electricity,1,19,0.397
Electricity,1,20,0.391
Electricity,1,21,0.341
Electricity,1,22,0.324
Electricity,1,23,0.316
Electricity,1,24,0.322
Electricity,2,1,0.433
Electricity,2,2,0.43
Electricity,2,3,0.422
Electricity,2,4,0.409
Electricity,2,5,0.415
Electricity,2,6,0.436
Electricity,2,7,0.426
Electricity,2,8,0.429
Electricity,2,9,0.452
Electricity,2,10,0.4479999999999999
Electricity,2,11,0.4579999999999999
Electricity,2,12,0.4479999999999999
Electricity,2,13,0.4379999999999999
Electricity,2,14,0.434
Electricity,2,15,0.412
Electricity,2,16,0.392
Electricity,2,17,0.385
Electricity,2,18,0.4679999999999999
Electricity,2,19,0.496
Electricity,2,20,0.489
Electricity,2,21,0.415
Electricity,2,22,0.35
Electricity,2,23,0.342
Electricity,2,24,0.34
Electricity,3,1,0.24
Electricity,3,2,0.216
Electricity,3,3,0.209
Electricity,3,4,0.1939999999999999
Electricity,3,5,0.18
Electricity,3,6,0.2019999999999999
Electricity,3,7,0.35
Electricity,3,8,0.609
Electricity,3,9,0.64
Electricity,3,10,0.621
Electricity,3,11,0.591
Electricity,3,12,0.586
Electricity,3,13,0.585
Electricity,3,14,0.5760000000000001
Electricity,3,15,0.568
Electricity,3,16,0.583
Electricity,3,17,0.619
Electricity,3,18,0.648
Electricity,3,19,0.644
Electricity,3,20,0.616
Electricity,3,21,0.423
Electricity,3,22,0.239
Electricity,3,23,0.242
Electricity,3,24,0.23
Electricity,4,1,0.288
Electricity,4,2,0.278
Electricity,4,3,0.261
Electricity,4,4,0.243
Electricity,4,5,0.215
Electricity,4,6,0.264
Electricity,4,7,0.491
Electricity,4,8,0.627
Electricity,4,9,0.6459999999999999
Electricity,4,10,0.647
Electricity,4,11,0.6409999999999999
Electricity,4,12,0.627
Electricity,4,13,0.527
Electricity,4,14,0.516
Electricity,4,15,0.497
Electricity,4,16,0.476
Electricity,4,17,0.479
Electricity,4,18,0.525
Electricity,4,19,0.628
Electricity,4,20,0.654
Electricity,4,21,0.648
Electricity,4,22,0.55
Electricity,4,23,0.477
Electricity,4,24,0.441
Electricity,5,1,0.242
Electricity,5,2,0.228
Electricity,5,3,0.2319999999999999
Electricity,5,4,0.236
Electricity,5,5,0.242
Electricity,5,6,0.251
Electricity,5,7,0.299
Electricity,5,8,0.369
Electricity,5,9,0.418
Electricity,5,10,0.419
Electricity,5,11,0.371
Electricity,5,12,0.357
Electricity,5,13,0.313
Electricity,5,14,0.311
Electricity,5,15,0.316
Electricity,5,16,0.365
Electricity,5,17,0.435
Electricity,5,18,0.5379999999999999
Electricity,5,19,0.5529999999999999
Electricity,5,20,0.4629999999999999
Electricity,5,21,0.359
Electricity,5,22,0.2769999999999999
Electricity,5,23,0.273
Electricity,5,24,0.268
Electricity,6,1,0.304
Electricity,6,2,0.236
Electricity,6,3,0.215
Electricity,6,4,0.205
Electricity,6,5,0.193
Electricity,6,6,0.255
Electricity,6,7,0.55
Electricity,6,8,0.652
Electricity,6,9,0.6659999999999999
Electricity,6,10,0.6629999999999999
Electricity,6,11,0.65
Electricity,6,12,0.659
Electricity,6,13,0.621
Electricity,6,14,0.606
Electricity,6,15,0.574
Electricity,6,16,0.535
Electricity,6,17,0.494
Electricity,6,18,0.568
Electricity,6,19,0.6409999999999999
Electricity,6,20,0.653
Electricity,6,21,0.655
Electricity,6,22,0.629
Electricity,6,23,0.521
Electricity,6,24,0.342
Electricity,7,1,0.364
Electricity,7,2,0.326
Electricity,7,3,0.278
Electricity,7,4,0.263
Electricity,7,5,0.257
Electricity,7,6,0.3339999999999999
Electricity,7,7,0.396
Electricity,7,8,0.591
Electricity,7,9,0.631
Electricity,7,10,0.601
Electricity,7,11,0.5329999999999999
Electricity,7,12,0.529
Electricity,7,13,0.539
Electricity,7,14,0.52
Electricity,7,15,0.483
Electricity,7,16,0.456
Electricity,7,17,0.462
Electricity,7,18,0.5
Electricity,7,19,0.59
Electricity,7,20,0.624
Electricity,7,21,0.637
Electricity,7,22,0.591
Electricity,7,23,0.501
Electricity,7,24,0.4379999999999999
Electricity,8,1,0.5429999999999999
Electricity,8,2,0.495
Electricity,8,3,0.483
Electricity,8,4,0.457
Electricity,8,5,0.45
Electricity,8,6,0.483
Electricity,8,7,0.725
Electricity,8,8,0.861
Electricity,8,9,0.871
Electricity,8,10,0.838
Electricity,8,11,0.6970000000000001
Electricity,8,12,0.67
Electricity,8,13,0.6759999999999999
Electricity,8,14,0.643
Electricity,8,15,0.62
Electricity,8,16,0.607
Electricity,8,17,0.611
Electricity,8,18,0.703
Electricity,8,19,0.773
Electricity,8,20,0.774
Electricity,8,21,0.731
Electricity,8,22,0.632
Electricity,8,23,0.597
Electricity,8,24,0.5539999999999999
Electricity,9,1,0.385
Electricity,9,2,0.37
Electricity,9,3,0.35
Electricity,9,4,0.346
Electricity,9,5,0.352
Electricity,9,6,0.4
Electricity,9,7,0.431
Electricity,9,8,0.485
Electricity,9,9,0.594
Electricity,9,10,0.613
Electricity,9,11,0.605
Electricity,9,12,0.5770000000000001
Electricity,9,13,0.564
Electricity,9,14,0.531
Electricity,9,15,0.518
Electricity,9,16,0.518
Electricity,9,17,0.508
Electricity,9,18,0.501
Electricity,9,19,0.56
Electricity,9,20,0.589
Electricity,9,21,0.5479999999999999
Electricity,9,22,0.569
Electricity,9,23,0.638
Electricity,9,24,0.595
Electricity,10,1,0.432
Electricity,10,2,0.415
Electricity,10,3,0.3979999999999999
Electricity,10,4,0.384
Electricity,10,5,0.375
Electricity,10,6,0.376
Electricity,10,7,0.382
Electricity,10,8,0.386
Electricity,10,9,0.406
Electricity,10,10,0.421
Electricity,10,11,0.41
Electricity,10,12,0.418
Electricity,10,13,0.4039999999999999
Electricity,10,14,0.373
Electricity,10,15,0.369
Electricity,10,16,0.376
Electricity,10,17,0.389
Electricity,10,18,0.422
Electricity,10,19,0.477
Electricity,10,20,0.5529999999999999
Electricity,10,21,0.591
Electricity,10,22,0.5870000000000001
Electricity,10,23,0.608
Electricity,10,24,0.517
Electricity,11,1,0.368
Electricity,12,1,0.604
