,,,GWP_supply
Electricity,1,1,0.461
Electricity,1,2,0.4639999999999999
Electricity,1,3,0.4579999999999999
Electricity,1,4,0.4529999999999999
Electricity,1,5,0.437
Electricity,1,6,0.456
Electricity,1,7,0.4679999999999999
Electricity,1,8,0.476
Electricity,1,9,0.504
Electricity,1,10,0.506
Electricity,1,11,0.52
Electricity,1,12,0.518
Electricity,1,13,0.493
Electricity,1,14,0.491
Electricity,1,15,0.469
Electricity,1,16,0.4579999999999999
Electricity,1,17,0.457
Electricity,1,18,0.457
Electricity,1,19,0.491
Electricity,1,20,0.48
Electricity,1,21,0.4629999999999999
Electricity,1,22,0.43
Electricity,1,23,0.4479999999999999
Electricity,1,24,0.413
Electricity,2,1,0.433
Electricity,2,2,0.43
Electricity,2,3,0.422
Electricity,2,4,0.409
Electricity,2,5,0.415
Electricity,2,6,0.436
Electricity,2,7,0.426
Electricity,2,8,0.429
Electricity,2,9,0.452
Electricity,2,10,0.4479999999999999
Electricity,2,11,0.4579999999999999
Electricity,2,12,0.4479999999999999
Electricity,2,13,0.4379999999999999
Electricity,2,14,0.434
Electricity,2,15,0.412
Electricity,2,16,0.392
Electricity,2,17,0.385
Electricity,2,18,0.4679999999999999
Electricity,2,19,0.496
Electricity,2,20,0.489
Electricity,2,21,0.415
Electricity,2,22,0.35
Electricity,2,23,0.342
Electricity,2,24,0.34
Electricity,3,1,0.35
Electricity,3,2,0.326
Electricity,3,3,0.324
Electricity,3,4,0.319
Electricity,3,5,0.295
Electricity,3,6,0.294
Electricity,3,7,0.293
Electricity,3,8,0.297
Electricity,3,9,0.31
Electricity,3,10,0.318
Electricity,3,11,0.321
Electricity,3,12,0.281
Electricity,3,13,0.287
Electricity,3,14,0.28
Electricity,3,15,0.284
Electricity,3,16,0.287
Electricity,3,17,0.285
Electricity,3,18,0.3339999999999999
Electricity,3,19,0.397
Electricity,3,20,0.4029999999999999
Electricity,3,21,0.351
Electricity,3,22,0.29
Electricity,3,23,0.29
Electricity,3,24,0.311
Electricity,4,1,0.262
Electricity,4,2,0.247
Electricity,4,3,0.231
Electricity,4,4,0.204
Electricity,4,5,0.204
Electricity,4,6,0.221
Electricity,4,7,0.35
Electricity,4,8,0.5489999999999999
Electricity,4,9,0.55
Electricity,4,10,0.4679999999999999
Electricity,4,11,0.414
Electricity,4,12,0.397
Electricity,4,13,0.376
Electricity,4,14,0.319
Electricity,4,15,0.309
Electricity,4,16,0.301
Electricity,4,17,0.293
Electricity,4,18,0.289
Electricity,4,19,0.319
Electricity,4,20,0.3389999999999999
Electricity,4,21,0.335
Electricity,4,22,0.309
Electricity,4,23,0.284
Electricity,4,24,0.29
Electricity,5,1,0.352
Electricity,5,2,0.33
Electricity,5,3,0.317
Electricity,5,4,0.299
Electricity,5,5,0.288
Electricity,5,6,0.3
Electricity,5,7,0.341
Electricity,5,8,0.3989999999999999
Electricity,5,9,0.545
Electricity,5,10,0.5760000000000001
Electricity,5,11,0.5379999999999999
Electricity,5,12,0.55
Electricity,5,13,0.506
Electricity,5,14,0.477
Electricity,5,15,0.457
Electricity,5,16,0.43
Electricity,5,17,0.455
Electricity,5,18,0.478
Electricity,5,19,0.563
Electricity,5,20,0.5920000000000001
Electricity,5,21,0.5529999999999999
Electricity,5,22,0.502
Electricity,5,23,0.493
Electricity,5,24,0.435
Electricity,6,1,0.373
Electricity,6,2,0.386
Electricity,6,3,0.4
Electricity,6,4,0.372
Electricity,6,5,0.358
Electricity,6,6,0.355
Electricity,6,7,0.358
Electricity,6,8,0.35
Electricity,6,9,0.3429999999999999
Electricity,6,10,0.336
Electricity,6,11,0.3229999999999999
Electricity,6,12,0.322
Electricity,6,13,0.3779999999999999
Electricity,6,14,0.3879999999999999
Electricity,6,15,0.3939999999999999
Electricity,6,16,0.376
Electricity,6,17,0.363
Electricity,6,18,0.367
Electricity,6,19,0.368
Electricity,6,20,0.417
Electricity,6,21,0.3979999999999999
Electricity,6,22,0.375
Electricity,6,23,0.401
Electricity,6,24,0.396
Electricity,7,1,0.299
Electricity,7,2,0.296
Electricity,7,3,0.293
Electricity,7,4,0.276
Electricity,7,5,0.258
Electricity,7,6,0.258
Electricity,7,7,0.276
Electricity,7,8,0.287
Electricity,7,9,0.319
Electricity,7,10,0.355
Electricity,7,11,0.353
Electricity,7,12,0.3379999999999999
Electricity,7,13,0.337
Electricity,7,14,0.32
Electricity,7,15,0.299
Electricity,7,16,0.292
Electricity,7,17,0.281
Electricity,7,18,0.271
Electricity,7,19,0.353
Electricity,7,20,0.535
Electricity,7,21,0.411
Electricity,7,22,0.296
Electricity,7,23,0.286
Electricity,7,24,0.2689999999999999
Electricity,8,1,0.477
Electricity,8,2,0.456
Electricity,8,3,0.421
Electricity,8,4,0.428
Electricity,8,5,0.429
Electricity,8,6,0.45
Electricity,8,7,0.466
Electricity,8,8,0.532
Electricity,8,9,0.629
Electricity,8,10,0.5820000000000001
Electricity,8,11,0.5429999999999999
Electricity,8,12,0.521
Electricity,8,13,0.506
Electricity,8,14,0.502
Electricity,8,15,0.462
Electricity,8,16,0.449
Electricity,8,17,0.529
Electricity,8,18,0.575
Electricity,8,19,0.669
Electricity,8,20,0.7
Electricity,8,21,0.682
Electricity,8,22,0.688
