,,,GWP_supply
Electricity,1,1,0.35
Electricity,1,2,0.326
Electricity,1,3,0.324
Electricity,1,4,0.319
Electricity,1,5,0.295
Electricity,1,6,0.294
Electricity,1,7,0.293
Electricity,1,8,0.297
Electricity,1,9,0.31
Electricity,1,10,0.318
Electricity,1,11,0.321
Electricity,1,12,0.281
Electricity,1,13,0.287
Electricity,1,14,0.28
Electricity,1,15,0.284
Electricity,1,16,0.287
Electricity,1,17,0.285
Electricity,1,18,0.3339999999999999
Electricity,1,19,0.397
Electricity,1,20,0.4029999999999999
Electricity,1,21,0.351
Electricity,1,22,0.29
Electricity,1,23,0.29
Electricity,1,24,0.311
Electricity,2,1,0.424
Electricity,2,2,0.419
Electricity,2,3,0.42
Electricity,2,4,0.418
Electricity,2,5,0.412
Electricity,2,6,0.441
Electricity,2,7,0.433
Electricity,2,8,0.4479999999999999
Electricity,2,9,0.45
Electricity,2,10,0.433
Electricity,2,11,0.429
Electricity,2,12,0.437
Electricity,2,13,0.3989999999999999
Electricity,2,14,0.385
Electricity,2,15,0.385
Electricity,2,16,0.409
Electricity,2,17,0.426
Electricity,2,18,0.4679999999999999
Electricity,2,19,0.512
Electricity,2,20,0.482
Electricity,2,21,0.452
Electricity,2,22,0.439
Electricity,2,23,0.428
Electricity,2,24,0.417
Electricity,3,1,0.225
Electricity,3,2,0.212
Electricity,3,3,0.204
Electricity,3,4,0.1969999999999999
Electricity,3,5,0.203
Electricity,3,6,0.241
Electricity,3,7,0.446
Electricity,3,8,0.635
Electricity,3,9,0.624
Electricity,3,10,0.5579999999999999
Electricity,3,11,0.397
Electricity,3,12,0.344
Electricity,3,13,0.331
Electricity,3,14,0.308
Electricity,3,15,0.288
Electricity,3,16,0.265
Electricity,3,17,0.253
Electricity,3,18,0.408
Electricity,3,19,0.62
Electricity,3,20,0.624
Electricity,3,21,0.396
Electricity,3,22,0.257
Electricity,3,23,0.259
Electricity,3,24,0.248
Electricity,4,1,0.375
Electricity,4,2,0.351
Electricity,4,3,0.3389999999999999
Electricity,4,4,0.335
Electricity,4,5,0.332
Electricity,4,6,0.41
Electricity,4,7,0.586
Electricity,4,8,0.657
Electricity,4,9,0.653
Electricity,4,10,0.643
Electricity,4,11,0.642
Electricity,4,12,0.614
Electricity,4,13,0.591
Electricity,4,14,0.544
Electricity,4,15,0.498
Electricity,4,16,0.4539999999999999
Electricity,4,17,0.445
Electricity,4,18,0.445
Electricity,4,19,0.609
Electricity,4,20,0.642
Electricity,4,21,0.617
Electricity,4,22,0.528
Electricity,4,23,0.429
Electricity,4,24,0.348
Electricity,5,1,0.263
Electricity,5,2,0.252
Electricity,5,3,0.249
Electricity,5,4,0.231
Electricity,5,5,0.225
Electricity,5,6,0.215
Electricity,5,7,0.216
Electricity,5,8,0.207
Electricity,5,9,0.239
Electricity,5,10,0.2739999999999999
Electricity,5,11,0.281
Electricity,5,12,0.315
Electricity,5,13,0.356
Electricity,5,14,0.336
Electricity,5,15,0.302
Electricity,5,16,0.273
Electricity,5,17,0.239
Electricity,5,18,0.259
Electricity,5,19,0.255
Electricity,5,20,0.304
Electricity,5,21,0.322
Electricity,5,22,0.282
Electricity,5,23,0.275
Electricity,5,24,0.267
Electricity,6,1,0.217
Electricity,6,2,0.213
Electricity,6,3,0.2019999999999999
Electricity,6,4,0.203
Electricity,6,5,0.201
Electricity,6,6,0.2189999999999999
Electricity,6,7,0.442
Electricity,6,8,0.5770000000000001
Electricity,6,9,0.649
Electricity,6,10,0.5770000000000001
Electricity,6,11,0.412
Electricity,6,12,0.384
Electricity,6,13,0.36
Electricity,6,14,0.362
Electricity,6,15,0.352
Electricity,6,16,0.337
Electricity,6,17,0.315
Electricity,6,18,0.371
Electricity,6,19,0.509
Electricity,6,20,0.557
Electricity,6,21,0.517
Electricity,6,22,0.307
Electricity,6,23,0.252
Electricity,6,24,0.236
Electricity,7,1,0.242
Electricity,7,2,0.228
Electricity,7,3,0.221
Electricity,7,4,0.221
Electricity,7,5,0.218
Electricity,7,6,0.2269999999999999
Electricity,7,7,0.3
Electricity,7,8,0.46
Electricity,7,9,0.487
Electricity,7,10,0.48
Electricity,7,11,0.437
Electricity,7,12,0.402
Electricity,7,13,0.33
Electricity,7,14,0.327
Electricity,7,15,0.314
Electricity,7,16,0.306
Electricity,7,17,0.301
Electricity,7,18,0.31
Electricity,7,19,0.345
Electricity,7,20,0.507
Electricity,7,21,0.461
Electricity,7,22,0.344
Electricity,7,23,0.3279999999999999
Electricity,7,24,0.314
Electricity,8,1,0.287
Electricity,8,2,0.275
Electricity,8,3,0.287
Electricity,8,4,0.2739999999999999
Electricity,8,5,0.266
Electricity,8,6,0.25
Electricity,8,7,0.363
Electricity,8,8,0.56
Electricity,8,9,0.602
Electricity,8,10,0.478
Electricity,8,11,0.426
Electricity,8,12,0.425
Electricity,8,13,0.408
Electricity,8,14,0.405
Electricity,8,15,0.3929999999999999
Electricity,8,16,0.367
Electricity,8,17,0.3429999999999999
Electricity,8,18,0.317
Electricity,8,19,0.345
Electricity,8,20,0.474
Electricity,8,21,0.475
Electricity,8,22,0.4479999999999999
Electricity,8,23,0.456
Electricity,8,24,0.35
Electricity,9,1,0.511
Electricity,9,2,0.477
Electricity,9,3,0.47
Electricity,9,4,0.4639999999999999
Electricity,9,5,0.457
Electricity,9,6,0.467
Electricity,9,7,0.492
Electricity,9,8,0.546
Electricity,9,9,0.611
Electricity,9,10,0.603
Electricity,9,11,0.573
Electricity,9,12,0.5429999999999999
Electricity,9,13,0.539
Electricity,9,14,0.515
Electricity,9,15,0.508
Electricity,9,16,0.486
Electricity,9,17,0.504
Electricity,9,18,0.521
Electricity,9,19,0.56
Electricity,9,20,0.578
Electricity,9,21,0.5820000000000001
Electricity,9,22,0.5770000000000001
Electricity,9,23,0.614
Electricity,9,24,0.562
Electricity,10,1,0.521
Electricity,10,2,0.445
Electricity,10,3,0.331
Electricity,10,4,0.32
Electricity,10,5,0.285
Electricity,10,6,0.325
Electricity,10,7,0.355
Electricity,10,8,0.385
Electricity,10,9,0.433
Electricity,10,10,0.49
Electricity,10,11,0.4629999999999999
Electricity,10,12,0.434
Electricity,10,13,0.462
Electricity,10,14,0.4379999999999999
Electricity,10,15,0.417
Electricity,10,16,0.408
Electricity,10,17,0.3929999999999999
Electricity,10,18,0.4379999999999999
Electricity,10,19,0.5660000000000001
Electricity,10,20,0.62
Electricity,10,21,0.62
Electricity,10,22,0.564
Electricity,10,23,0.485
Electricity,10,24,0.434
Electricity,11,1,0.258
Electricity,12,1,0.462
