,UID,to_id_building,dx,dy,dxy,dz,tanb,cosa,azimuth,beta,id_building
0,0,40123,-436.9174977722578,150.64649163698778,462.15935055141307,87.82000000000016,0.19002103905334833,0.3259622280870179,289,11,40279
1,1,40123,-447.75249777315184,164.22999163600616,476.92115639260436,87.82000000000016,0.18413945119202516,0.3443545949570143,290,10,40279
2,2,40123,-435.09099777182564,133.36749163712375,455.07259219564196,87.82000000000016,0.19298020031548097,0.2930686091061868,287,11,40279
3,3,40123,-445.9259977727197,146.95099163637497,469.5152707127954,87.82000000000016,0.18704396955327157,0.3129844774021536,288,11,40279
0,4,40279,434.30260683456436,-148.40500834584236,458.95838679059756,-61.74000000000012,-0.13452199976502305,-0.3233517735313834,109,352,40123
1,5,40279,442.46610683435574,-154.63000834314153,468.70747292671956,-61.74000000000012,-0.13172395057941164,-0.32990728177981765,109,352,40123
2,6,40279,442.43010683590546,-153.79000834422186,468.3970176050938,-61.74000000000012,-0.13181125771397034,-0.3283325951359546,109,352,40123
3,7,40279,436.955106836278,-142.8500083484687,459.71283457769664,-61.74000000000012,-0.13430123189124354,-0.31073748132286577,108,352,40123
4,8,40279,439.8771068365313,-143.56500834738836,462.71241688619386,-61.74000000000012,-0.13343060991420366,-0.3102683288974689,108,352,40123
5,9,40279,448.5521068354137,-149.47400834434666,472.8017255859101,-61.74000000000012,-0.1305832797532413,-0.3161452259065129,108,353,40123
6,10,40279,438.47860683547333,-153.66500834468752,464.62503531552244,-61.74000000000012,-0.13288134583207095,-0.33072907541526486,109,352,40123
7,11,40279,445.6396068339236,-155.04000834492035,471.83902272563995,-61.74000000000012,-0.13084971150404415,-0.3285866595969774,109,353,40123
8,12,40279,444.1161068365909,-144.22400834481232,466.94719287595547,-61.74000000000012,-0.13222051859813055,-0.3088657787115671,108,352,40123
