Text,Irr,Weekday
0.87,0.0,1.0
0.81,0.0,1.0
0.65,0.0,1.0
0.49,0.0,1.0
0.29,0.0,1.0
0.06,0.0,1.0
-0.05,0.0,1.0
0.23,6.0,1.0
-0.13,26.0,1.0
0.39,52.0,1.0
1.26,96.0,1.0
1.5,59.0,1.0
1.8,107.0,1.0
1.76,63.0,1.0
1.64,52.0,1.0
1.29,31.0,1.0
1.05,0.0,1.0
0.84,0.0,1.0
0.47,0.0,1.0
0.26,0.0,1.0
-0.14,0.0,1.0
-1.11,0.0,1.0
-1.78,0.0,1.0
-2.13,0.0,1.0
-3.61,0.0,1.0
-3.3,0.0,1.0
-2.95,0.0,1.0
-2.79,0.0,1.0
-2.69,0.0,1.0
-2.59,0.0,1.0
-2.75,0.0,1.0
-3.43,0.0,1.0
-3.06,102.0,1.0
-3.18,252.0,1.0
-2.81,369.0,1.0
-1.83,263.0,1.0
-0.65,384.0,1.0
0.1,369.0,1.0
0.17,159.0,1.0
0.49,43.0,1.0
1.26,34.0,1.0
0.95,0.0,1.0
0.92,0.0,1.0
0.93,0.0,1.0
0.93,0.0,1.0
0.76,0.0,1.0
0.48,0.0,1.0
-0.12,0.0,1.0
-1.68,0.0,1.0
-1.6,0.0,1.0
-2.0,0.0,1.0
-2.38,0.0,1.0
-2.19,0.0,1.0
-1.94,0.0,1.0
-2.2,0.0,1.0
-2.9,0.0,1.0
-1.5,71.0,1.0
0.95,179.0,1.0
3.5,288.0,1.0
5.12,451.0,1.0
6.02,485.0,1.0
6.23,435.0,1.0
6.4,357.0,1.0
6.15,248.0,1.0
5.78,99.0,1.0
4.84,0.0,1.0
3.92,0.0,1.0
2.63,0.0,1.0
1.63,0.0,1.0
0.73,0.0,1.0
0.1,0.0,1.0
-0.59,0.0,1.0
0.9,0.0,0.0
1.71,0.0,0.0
1.56,0.0,0.0
1.04,0.0,0.0
1.05,0.0,0.0
1.22,0.0,0.0
1.57,0.0,0.0
2.04,20.0,0.0
2.5,73.0,0.0
4.56,68.0,0.0
6.75,130.0,0.0
8.57,155.0,0.0
9.77,159.0,0.0
10.43,170.0,0.0
10.66,205.0,0.0
10.08,54.0,0.0
9.73,0.0,0.0
9.04,0.0,0.0
8.5,0.0,0.0
7.66,0.0,0.0
7.11,0.0,0.0
6.48,0.0,0.0
5.72,0.0,0.0
5.11,0.0,0.0
6.34,0.0,1.0
6.09,0.0,1.0
5.94,0.0,1.0
5.78,0.0,1.0
5.53,0.0,1.0
5.37,0.0,1.0
5.54,84.0,1.0
7.7,238.0,1.0
9.8,377.0,1.0
11.24,541.0,1.0
12.5,678.0,1.0
13.55,723.0,1.0
14.28,704.0,1.0
14.37,650.0,1.0
14.45,541.0,1.0
14.32,384.0,1.0
14.06,210.0,1.0
13.27,24.0,1.0
11.33,0.0,1.0
9.73,0.0,1.0
9.89,0.0,1.0
10.6,0.0,1.0
10.33,0.0,1.0
9.95,0.0,1.0
13.22,0.0,0.0
13.05,0.0,0.0
12.89,0.0,0.0
12.73,0.0,0.0
12.56,0.0,0.0
12.4,7.0,0.0
12.23,157.0,0.0
12.07,329.0,0.0
15.2,506.0,0.0
16.4,645.0,0.0
17.31,748.0,0.0
17.71,764.0,0.0
18.09,723.0,0.0
18.49,689.0,0.0
18.81,603.0,0.0
18.71,462.0,0.0
18.24,276.0,0.0
17.58,110.0,0.0
16.7,0.0,0.0
14.91,0.0,0.0
13.38,0.0,0.0
12.7,0.0,0.0
12.53,0.0,0.0
12.53,0.0,0.0
6.23,0.0,1.0
4.86,0.0,1.0
4.0,0.0,1.0
3.08,0.0,1.0
3.08,0.0,1.0
2.74,0.0,1.0
2.66,0.0,1.0
3.46,70.0,1.0
5.15,133.0,1.0
7.87,246.0,1.0
10.58,205.0,1.0
12.71,338.0,1.0
13.83,410.0,1.0
14.62,424.0,1.0
14.89,240.0,1.0
14.43,138.0,1.0
13.32,25.0,1.0
13.35,0.0,1.0
13.02,0.0,1.0
11.85,0.0,1.0
11.64,0.0,1.0
11.22,0.0,1.0
11.17,0.0,1.0
11.41,0.0,1.0
7.5,0.0,0.0
7.87,0.0,0.0
7.62,0.0,0.0
6.39,0.0,0.0
4.42,0.0,0.0
3.07,0.0,0.0
3.17,69.0,0.0
4.58,238.0,0.0
7.8,402.0,0.0
11.23,533.0,0.0
13.66,626.0,0.0
14.99,617.0,0.0
15.32,342.0,0.0
15.96,358.0,0.0
16.01,320.0,0.0
15.72,264.0,0.0
15.28,78.0,0.0
14.13,0.0,0.0
12.82,0.0,0.0
12.51,0.0,0.0
12.26,0.0,0.0
12.05,0.0,0.0
11.47,0.0,0.0
11.82,0.0,0.0
18.72,0.0,1.0
18.56,0.0,1.0
18.08,0.0,1.0
17.68,0.0,1.0
17.54,0.0,1.0
17.25,109.0,1.0
17.2,237.0,1.0
20.91,300.0,1.0
21.57,476.0,1.0
21.88,404.0,1.0
22.18,453.0,1.0
22.36,698.0,1.0
22.58,774.0,1.0
22.62,798.0,1.0
22.46,644.0,1.0
22.27,574.0,1.0
21.66,333.0,1.0
20.8,106.0,1.0
19.94,21.0,1.0
19.36,0.0,1.0
17.9,0.0,1.0
18.16,0.0,1.0
17.73,0.0,1.0
17.4,0.0,1.0
12.77,0.0,0.0
12.77,0.0,0.0
12.78,0.0,0.0
12.74,0.0,0.0
12.71,0.0,0.0
12.75,5.0,0.0
12.89,172.0,0.0
