time(UTC),Text,Irr,Weekday
2016-01-01 00:00:00+00:00,4.13,0.0,1
2016-01-01 01:00:00+00:00,4.3,0.0,1
2016-01-01 02:00:00+00:00,4.48,0.0,1
2016-01-01 03:00:00+00:00,4.66,0.0,1
2016-01-01 04:00:00+00:00,4.83,0.0,1
2016-01-01 05:00:00+00:00,5.01,0.0,1
2016-01-01 06:00:00+00:00,5.19,0.0,1
2016-01-01 07:00:00+00:00,5.36,0.0,1
2016-01-01 08:00:00+00:00,4.66,49.0,1
2016-01-01 09:00:00+00:00,4.41,156.0,1
2016-01-01 10:00:00+00:00,6.07,114.0,1
2016-01-01 11:00:00+00:00,7.55,140.0,1
2016-01-01 12:00:00+00:00,8.14,205.0,1
2016-01-01 13:00:00+00:00,8.57,116.0,1
2016-01-01 14:00:00+00:00,8.59,35.0,1
2016-01-01 15:00:00+00:00,8.28,39.0,1
2016-01-01 16:00:00+00:00,7.58,0.0,1
2016-01-01 17:00:00+00:00,6.64,0.0,1
2016-01-01 18:00:00+00:00,5.81,0.0,1
2016-01-01 19:00:00+00:00,5.38,0.0,1
2016-01-01 20:00:00+00:00,4.81,0.0,1
2016-01-01 21:00:00+00:00,3.52,0.0,1
2016-01-01 22:00:00+00:00,2.5,0.0,1
2016-01-01 23:00:00+00:00,2.88,0.0,1
2016-01-02 00:00:00+00:00,2.78,0.0,0
2016-01-02 01:00:00+00:00,2.15,0.0,0
2016-01-02 02:00:00+00:00,2.06,0.0,0
2016-01-02 03:00:00+00:00,2.9,0.0,0
2016-01-02 04:00:00+00:00,2.75,0.0,0
2016-01-02 05:00:00+00:00,2.54,0.0,0
2016-01-02 06:00:00+00:00,2.43,0.0,0
2016-01-02 07:00:00+00:00,2.91,0.0,0
2016-01-02 08:00:00+00:00,2.97,7.0,0
2016-01-02 09:00:00+00:00,3.39,0.0,0
2016-01-02 10:00:00+00:00,3.05,26.0,0
2016-01-02 11:00:00+00:00,3.39,30.0,0
2016-01-02 12:00:00+00:00,3.94,44.0,0
2016-01-02 13:00:00+00:00,4.6,26.0,0
2016-01-02 14:00:00+00:00,4.63,56.0,0
2016-01-02 15:00:00+00:00,4.64,43.0,0
2016-01-02 16:00:00+00:00,3.99,0.0,0
2016-01-02 17:00:00+00:00,3.63,0.0,0
2016-01-02 18:00:00+00:00,3.46,0.0,0
2016-01-02 19:00:00+00:00,4.07,0.0,0
2016-01-02 20:00:00+00:00,3.12,0.0,0
2016-01-02 21:00:00+00:00,2.89,0.0,0
2016-01-02 22:00:00+00:00,2.55,0.0,0
2016-01-02 23:00:00+00:00,2.04,0.0,0
2016-01-03 00:00:00+00:00,1.95,0.0,0
2016-01-03 01:00:00+00:00,1.73,0.0,0
2016-01-03 02:00:00+00:00,1.78,0.0,0
2016-01-03 03:00:00+00:00,1.62,0.0,0
2016-01-03 04:00:00+00:00,1.59,0.0,0
2016-01-03 05:00:00+00:00,1.21,0.0,0
2016-01-03 06:00:00+00:00,1.27,0.0,0
2016-01-03 07:00:00+00:00,2.11,0.0,0
2016-01-03 08:00:00+00:00,2.02,81.0,0
2016-01-03 09:00:00+00:00,2.56,185.0,0
2016-01-03 10:00:00+00:00,4.13,175.0,0
2016-01-03 11:00:00+00:00,4.8,221.0,0
2016-01-03 12:00:00+00:00,4.84,250.0,0
2016-01-03 13:00:00+00:00,4.86,116.0,0
2016-01-03 14:00:00+00:00,4.8,99.0,0
2016-01-03 15:00:00+00:00,4.44,39.0,0
2016-01-03 16:00:00+00:00,3.79,0.0,0
2016-01-03 17:00:00+00:00,3.51,0.0,0
2016-01-03 18:00:00+00:00,3.6,0.0,0
2016-01-03 19:00:00+00:00,3.52,0.0,0
2016-01-03 20:00:00+00:00,3.32,0.0,0
2016-01-03 21:00:00+00:00,2.49,0.0,0
2016-01-03 22:00:00+00:00,2.11,0.0,0
2016-01-03 23:00:00+00:00,1.9,0.0,0
2016-01-04 00:00:00+00:00,1.72,0.0,1
2016-01-04 01:00:00+00:00,1.93,0.0,1
2016-01-04 02:00:00+00:00,2.42,0.0,1
2016-01-04 03:00:00+00:00,3.31,0.0,1
2016-01-04 04:00:00+00:00,3.44,0.0,1
2016-01-04 05:00:00+00:00,3.49,0.0,1
2016-01-04 06:00:00+00:00,3.61,0.0,1
2016-01-04 07:00:00+00:00,4.09,0.0,1
2016-01-04 08:00:00+00:00,4.22,79.0,1
2016-01-04 09:00:00+00:00,4.34,102.0,1
2016-01-04 10:00:00+00:00,4.26,93.0,1
2016-01-04 11:00:00+00:00,4.42,120.0,1
2016-01-04 12:00:00+00:00,5.0,31.0,1
2016-01-04 13:00:00+00:00,4.91,85.0,1
2016-01-04 14:00:00+00:00,4.9,128.0,1
2016-01-04 15:00:00+00:00,4.46,24.0,1
2016-01-04 16:00:00+00:00,3.48,0.0,1
2016-01-04 17:00:00+00:00,2.83,0.0,1
2016-01-04 18:00:00+00:00,2.47,0.0,1
2016-01-04 19:00:00+00:00,2.31,0.0,1
2016-01-04 20:00:00+00:00,2.38,0.0,1
2016-01-04 21:00:00+00:00,2.78,0.0,1
2016-01-04 22:00:00+00:00,2.58,0.0,1
2016-01-04 23:00:00+00:00,2.35,0.0,1
2016-01-05 00:00:00+00:00,2.25,0.0,1
2016-01-05 01:00:00+00:00,2.21,0.0,1
2016-01-05 02:00:00+00:00,2.17,0.0,1
2016-01-05 03:00:00+00:00,1.86,0.0,1
2016-01-05 04:00:00+00:00,1.9,0.0,1
2016-01-05 05:00:00+00:00,2.22,0.0,1
2016-01-05 06:00:00+00:00,1.46,0.0,1
2016-01-05 07:00:00+00:00,1.56,0.0,1
2016-01-05 08:00:00+00:00,0.54,86.0,1
2016-01-05 09:00:00+00:00,0.66,163.0,1
2016-01-05 10:00:00+00:00,1.67,205.0,1
2016-01-05 11:00:00+00:00,2.8,367.0,1
2016-01-05 12:00:00+00:00,5.02,362.0,1
2016-01-05 13:00:00+00:00,5.26,129.0,1
2016-01-05 14:00:00+00:00,5.07,216.0,1
2016-01-05 15:00:00+00:00,4.58,87.0,1
2016-01-05 16:00:00+00:00,3.92,0.0,1
2016-01-05 17:00:00+00:00,2.73,0.0,1
2016-01-05 18:00:00+00:00,1.53,0.0,1
2016-01-05 19:00:00+00:00,0.94,0.0,1
2016-01-05 20:00:00+00:00,0.48,0.0,1
2016-01-05 21:00:00+00:00,0.23,0.0,1
2016-01-05 22:00:00+00:00,0.16,0.0,1
2016-01-05 23:00:00+00:00,0.0,0.0,1
2016-01-06 00:00:00+00:00,0.11,0.0,1
2016-01-06 01:00:00+00:00,0.23,0.0,1
2016-01-06 02:00:00+00:00,-0.17,0.0,1
2016-01-06 03:00:00+00:00,-0.17,0.0,1
2016-01-06 04:00:00+00:00,-0.18,0.0,1
2016-01-06 05:00:00+00:00,-0.36,0.0,1
2016-01-06 06:00:00+00:00,-0.17,0.0,1
2016-01-06 07:00:00+00:00,0.21,0.0,1
2016-01-06 08:00:00+00:00,0.47,51.0,1
2016-01-06 09:00:00+00:00,1.81,217.0,1
2016-01-06 10:00:00+00:00,1.7,170.0,1
2016-01-06 11:00:00+00:00,1.6,179.0,1
2016-01-06 12:00:00+00:00,2.01,154.0,1
2016-01-06 13:00:00+00:00,1.6,83.0,1
2016-01-06 14:00:00+00:00,1.4,38.0,1
2016-01-06 15:00:00+00:00,1.26,23.0,1
2016-01-06 16:00:00+00:00,1.11,0.0,1
2016-01-06 17:00:00+00:00,1.08,0.0,1
2016-01-06 18:00:00+00:00,0.96,0.0,1
