time(UTC),Text,Irr,Weekday
1990-01-01 00:00:00+00:00,-7.75,0.0,1
1990-01-01 01:00:00+00:00,-7.23,0.0,1
1990-01-01 02:00:00+00:00,-6.7,0.0,1
1990-01-01 03:00:00+00:00,-6.18,0.0,1
1990-01-01 04:00:00+00:00,-5.66,0.0,1
1990-01-01 05:00:00+00:00,-5.13,0.0,1
1990-01-01 06:00:00+00:00,-4.61,0.0,1
1990-01-01 07:00:00+00:00,-4.08,0.0,1
1990-01-01 08:00:00+00:00,-6.09,21.0,1
1990-01-01 09:00:00+00:00,-6.15,188.0,1
1990-01-01 10:00:00+00:00,-4.82,294.0,1
1990-01-01 11:00:00+00:00,-4.65,307.0,1
1990-01-01 12:00:00+00:00,-4.87,302.0,1
1990-01-01 13:00:00+00:00,-5.07,208.0,1
1990-01-01 14:00:00+00:00,-6.7,74.0,1
1990-01-01 15:00:00+00:00,-7.46,7.0,1
1990-01-01 16:00:00+00:00,-7.32,0.0,1
1990-01-01 17:00:00+00:00,-7.08,0.0,1
1990-01-01 18:00:00+00:00,-6.59,0.0,1
1990-01-01 19:00:00+00:00,-6.23,0.0,1
1990-01-01 20:00:00+00:00,-5.45,0.0,1
1990-01-01 21:00:00+00:00,-5.19,0.0,1
1990-01-01 22:00:00+00:00,-5.76,0.0,1
1990-01-01 23:00:00+00:00,-6.13,0.0,1
1990-01-02 00:00:00+00:00,-5.96,0.0,1
1990-01-02 01:00:00+00:00,-5.93,0.0,1
1990-01-02 02:00:00+00:00,-6.18,0.0,1
1990-01-02 03:00:00+00:00,-6.75,0.0,1
1990-01-02 04:00:00+00:00,-7.16,0.0,1
1990-01-02 05:00:00+00:00,-7.18,0.0,1
1990-01-02 06:00:00+00:00,-6.94,0.0,1
1990-01-02 07:00:00+00:00,-7.18,0.0,1
1990-01-02 08:00:00+00:00,-6.83,21.0,1
1990-01-02 09:00:00+00:00,-6.52,143.0,1
1990-01-02 10:00:00+00:00,-6.13,324.0,1
1990-01-02 11:00:00+00:00,-5.76,382.0,1
1990-01-02 12:00:00+00:00,-5.22,43.0,1
1990-01-02 13:00:00+00:00,-4.98,71.0,1
1990-01-02 14:00:00+00:00,-4.71,95.0,1
1990-01-02 15:00:00+00:00,-4.73,20.0,1
1990-01-02 16:00:00+00:00,-4.87,0.0,1
1990-01-02 17:00:00+00:00,-5.05,0.0,1
1990-01-02 18:00:00+00:00,-5.34,0.0,1
1990-01-02 19:00:00+00:00,-6.05,0.0,1
1990-01-02 20:00:00+00:00,-6.07,0.0,1
1990-01-02 21:00:00+00:00,-5.77,0.0,1
1990-01-02 22:00:00+00:00,-5.44,0.0,1
1990-01-02 23:00:00+00:00,-5.15,0.0,1
1990-01-03 00:00:00+00:00,-4.79,0.0,1
1990-01-03 01:00:00+00:00,-4.06,0.0,1
1990-01-03 02:00:00+00:00,-3.41,0.0,1
1990-01-03 03:00:00+00:00,-3.19,0.0,1
1990-01-03 04:00:00+00:00,-4.24,0.0,1
1990-01-03 05:00:00+00:00,-4.75,0.0,1
1990-01-03 06:00:00+00:00,-3.82,0.0,1
1990-01-03 07:00:00+00:00,-1.18,0.0,1
1990-01-03 08:00:00+00:00,-1.23,41.0,1
1990-01-03 09:00:00+00:00,-0.73,68.0,1
1990-01-03 10:00:00+00:00,-0.89,111.0,1
1990-01-03 11:00:00+00:00,-1.36,51.0,1
1990-01-03 12:00:00+00:00,-2.11,47.0,1
1990-01-03 13:00:00+00:00,-2.54,78.0,1
1990-01-03 14:00:00+00:00,-2.46,83.0,1
1990-01-03 15:00:00+00:00,-2.71,30.0,1
1990-01-03 16:00:00+00:00,-3.11,0.0,1
1990-01-03 17:00:00+00:00,-3.37,0.0,1
1990-01-03 18:00:00+00:00,-3.81,0.0,1
1990-01-03 19:00:00+00:00,-4.21,0.0,1
1990-01-03 20:00:00+00:00,-4.2,0.0,1
1990-01-03 21:00:00+00:00,-4.26,0.0,1
1990-01-03 22:00:00+00:00,-4.12,0.0,1
1990-01-03 23:00:00+00:00,-3.95,0.0,1
1990-01-04 00:00:00+00:00,-3.42,0.0,1
1990-01-04 01:00:00+00:00,-3.18,0.0,1
1990-01-04 02:00:00+00:00,-2.81,0.0,1
1990-01-04 03:00:00+00:00,-2.52,0.0,1
1990-01-04 04:00:00+00:00,-2.29,0.0,1
1990-01-04 05:00:00+00:00,-2.07,0.0,1
1990-01-04 06:00:00+00:00,-1.8,0.0,1
1990-01-04 07:00:00+00:00,-2.24,0.0,1
1990-01-04 08:00:00+00:00,-1.9,21.0,1
1990-01-04 09:00:00+00:00,-1.6,106.0,1
1990-01-04 10:00:00+00:00,-1.2,57.0,1
1990-01-04 11:00:00+00:00,-0.69,56.0,1
1990-01-04 12:00:00+00:00,-0.78,66.0,1
1990-01-04 13:00:00+00:00,-0.42,37.0,1
1990-01-04 14:00:00+00:00,-0.26,23.0,1
1990-01-04 15:00:00+00:00,0.0,14.0,1
1990-01-04 16:00:00+00:00,0.32,0.0,1
1990-01-04 17:00:00+00:00,0.7,0.0,1
1990-01-04 18:00:00+00:00,0.47,0.0,1
1990-01-04 19:00:00+00:00,1.85,0.0,1
1990-01-04 20:00:00+00:00,1.71,0.0,1
1990-01-04 21:00:00+00:00,1.19,0.0,1
1990-01-04 22:00:00+00:00,1.08,0.0,1
1990-01-04 23:00:00+00:00,0.62,0.0,1
1990-01-05 00:00:00+00:00,0.79,0.0,1
1990-01-05 01:00:00+00:00,0.78,0.0,1
1990-01-05 02:00:00+00:00,0.21,0.0,1
1990-01-05 03:00:00+00:00,0.14,0.0,1
1990-01-05 04:00:00+00:00,-0.09,0.0,1
1990-01-05 05:00:00+00:00,-0.57,0.0,1
1990-01-05 06:00:00+00:00,-2.63,0.0,1
1990-01-05 07:00:00+00:00,-3.49,0.0,1
1990-01-05 08:00:00+00:00,-4.5,11.0,1
1990-01-05 09:00:00+00:00,-3.3,90.0,1
1990-01-05 10:00:00+00:00,-1.65,150.0,1
1990-01-05 11:00:00+00:00,-0.05,61.0,1
1990-01-05 12:00:00+00:00,1.12,49.0,1
1990-01-05 13:00:00+00:00,2.04,238.0,1
1990-01-05 14:00:00+00:00,2.79,143.0,1
1990-01-05 15:00:00+00:00,3.03,33.0,1
1990-01-05 16:00:00+00:00,2.71,0.0,1
1990-01-05 17:00:00+00:00,2.04,0.0,1
1990-01-05 18:00:00+00:00,1.56,0.0,1
1990-01-05 19:00:00+00:00,1.09,0.0,1
1990-01-05 20:00:00+00:00,0.95,0.0,1
1990-01-05 21:00:00+00:00,0.85,0.0,1
1990-01-05 22:00:00+00:00,0.86,0.0,1
1990-01-05 23:00:00+00:00,0.8,0.0,1
1990-01-06 00:00:00+00:00,0.64,0.0,0
1990-01-06 01:00:00+00:00,0.2,0.0,0
1990-01-06 02:00:00+00:00,-0.11,0.0,0
1990-01-06 03:00:00+00:00,-0.65,0.0,0
1990-01-06 04:00:00+00:00,-1.02,0.0,0
1990-01-06 05:00:00+00:00,-1.5,0.0,0
1990-01-06 06:00:00+00:00,-1.63,0.0,0
1990-01-06 07:00:00+00:00,-1.47,0.0,0
1990-01-06 08:00:00+00:00,-1.65,45.0,0
1990-01-06 09:00:00+00:00,-1.93,228.0,0
1990-01-06 10:00:00+00:00,-1.33,310.0,0
1990-01-06 11:00:00+00:00,-1.23,379.0,0
1990-01-06 12:00:00+00:00,-0.82,296.0,0
1990-01-06 13:00:00+00:00,-0.41,323.0,0
1990-01-06 14:00:00+00:00,-0.79,185.0,0
1990-01-06 15:00:00+00:00,-1.19,18.0,0
1990-01-06 16:00:00+00:00,-0.55,0.0,0
1990-01-06 17:00:00+00:00,-0.93,0.0,0
1990-01-06 18:00:00+00:00,-0.93,0.0,0
1990-01-06 19:00:00+00:00,-0.79,0.0,0
1990-01-06 20:00:00+00:00,-0.94,0.0,0
1990-01-06 21:00:00+00:00,-1.23,0.0,0
1990-01-06 22:00:00+00:00,-1.22,0.0,0
1990-01-06 23:00:00+00:00,-1.14,0.0,0
1990-01-07 00:00:00+00:00,-1.05,0.0,0
1990-01-07 01:00:00+00:00,-0.62,0.0,0
1990-01-07 02:00:00+00:00,-0.21,0.0,0
1990-01-07 03:00:00+00:00,-0.14,0.0,0
1990-01-07 04:00:00+00:00,-0.13,0.0,0
1990-01-07 05:00:00+00:00,-0.12,0.0,0
1990-01-07 06:00:00+00:00,-0.03,0.0,0
1990-01-07 07:00:00+00:00,-0.43,0.0,0
1990-01-07 08:00:00+00:00,-0.43,46.0,0
1990-01-07 09:00:00+00:00,-0.27,102.0,0
1990-01-07 10:00:00+00:00,0.4,211.0,0
