Text,Irr,Weekday
-6.05,0.0,1.0
-7.76,0.0,1.0
-9.02,0.0,1.0
-9.72,0.0,1.0
-10.02,0.0,1.0
-9.61,0.0,1.0
-8.78,0.0,1.0
-7.3,0.0,1.0
-6.65,41.0,1.0
-5.82,193.0,1.0
-4.55,278.0,1.0
-2.56,364.0,1.0
-1.26,322.0,1.0
-0.93,279.0,1.0
-1.42,182.0,1.0
-2.1,28.0,1.0
-2.98,0.0,1.0
-3.83,0.0,1.0
-4.57,0.0,1.0
-5.32,0.0,1.0
-5.7,0.0,1.0
-5.98,0.0,1.0
-6.19,0.0,1.0
-6.36,0.0,1.0
-2.92,0.0,0.0
-2.76,0.0,0.0
-2.61,0.0,0.0
-2.23,0.0,0.0
-2.01,0.0,0.0
-2.84,0.0,0.0
-2.82,0.0,0.0
-2.96,4.0,0.0
-2.45,68.0,0.0
-1.87,49.0,0.0
-0.73,65.0,0.0
-0.29,60.0,0.0
0.17,110.0,0.0
0.09,128.0,0.0
0.68,45.0,0.0
0.71,22.0,0.0
0.93,0.0,0.0
0.66,0.0,0.0
0.62,0.0,0.0
2.02,0.0,0.0
2.36,0.0,0.0
2.06,0.0,0.0
1.73,0.0,0.0
1.75,0.0,0.0
-15.73,0.0,0.0
-14.92,0.0,0.0
-14.25,0.0,0.0
-13.53,0.0,0.0
-13.11,0.0,0.0
-12.52,0.0,0.0
-11.87,0.0,0.0
-12.67,5.0,0.0
-11.41,149.0,0.0
-9.83,269.0,0.0
-7.62,363.0,0.0
-6.84,383.0,0.0
-6.01,386.0,0.0
-5.54,427.0,0.0
-5.18,355.0,0.0
-5.85,205.0,0.0
-5.9,9.0,0.0
-5.89,0.0,0.0
-5.86,0.0,0.0
-7.09,0.0,0.0
-7.42,0.0,0.0
-7.71,0.0,0.0
-7.85,0.0,0.0
-7.82,0.0,0.0
-11.91,0.0,1.0
-12.66,0.0,1.0
-13.26,0.0,1.0
-13.56,0.0,1.0
-14.04,0.0,1.0
-14.24,0.0,1.0
-14.62,0.0,1.0
-15.88,23.0,1.0
-14.45,209.0,1.0
-10.8,334.0,1.0
-6.54,464.0,1.0
-3.82,470.0,1.0
-1.83,502.0,1.0
-1.03,486.0,1.0
-1.44,0.0,1.0
-2.35,262.0,1.0
-3.68,23.0,1.0
-5.4,0.0,1.0
-7.17,0.0,1.0
-8.68,0.0,1.0
-9.7,0.0,1.0
-10.44,0.0,1.0
-11.06,0.0,1.0
-11.73,0.0,1.0
-7.0,0.0,1.0
-7.6,0.0,1.0
-8.31,0.0,1.0
-9.32,0.0,1.0
-9.46,0.0,1.0
-9.45,21.0,1.0
-8.8,231.0,1.0
-8.05,432.0,1.0
