Name,Flow,Comment
NG_Boiler,['NaturalGas'],
OIL_Boiler,['Oil'],
WOOD_Stove,['Wood'],
HeatPump_Air,['Electricity'],
HeatPump_Geothermal,['Electricity'],
HeatPump_DHN,['Electricity'],
HeatPump_Lake,['Electricity'],
AirConditioner,['Electricity'],
ElectricalHeater_other,['Electricity'],
ElectricalHeater_SH,['Electricity'],
ElectricalHeater_DHW,['Electricity'],
EV_district,['Electricity'],
EV_charger_district,['Electricity'],
ICE_district,['Gasoline'],
NG_Boiler_district,['NaturalGas'],
NG_Cogeneration_district,['NaturalGas'],
HeatPump_Geothermal_district,['Electricity'],
ElectricalHeater_other_district,['Electricity'],
