Name,ESM,LCA
AMMONIA_TO_H2,25,50
ATM_CCS,40,20
BIOMASS_TO_METHANOL,20,50
BIOMETHANATION,20,50
BIO_HYDROLYSIS,15,50
BOAT_FREIGHT_DIESEL,40,25
BOAT_FREIGHT_METHANOL,40,25
BOAT_FREIGHT_NG,40,25
BUS_COACH_CNG_STOICH,15,14
BUS_COACH_DIESEL,15,14
BUS_COACH_FC_HYBRIDH2,15,14
BUS_COACH_HYDIESEL,15,14
EV_district,10,16.66666667
CAR_DIESEL,10,16.66666667
CAR_FUEL_CELL,10,16.66666667
ICE_district,10,16.66666667
CAR_HEV,10,16.66666667
CAR_METHANOL,10,16.66666667
CAR_NG,10,16.66666667
CAR_PHEV,10,16.66666667
CCGT,25,36
CCGT_AMMONIA,25,36
COAL_IGCC,35,35
COAL_US,35,35
DEC_ADVCOGEN_GAS,20,36
DEC_ADVCOGEN_H2,20,15
NG_Boiler,20,20
OIL_Boiler,20,
OIL_Boiler_BOILER,,20
OIL_Boiler_TANK,,20
WOOD_Stove,20,20
DEC_COGEN_GAS,20,
DEC_COGEN_GAS_CHP,,13.43002955
DEC_COGEN_GAS_ELEC,,13.43002955
DEC_COGEN_GAS_HEAT,,13.43002955
DEC_COGEN_OIL,20,
DEC_COGEN_OIL_BOILER,,20
DEC_COGEN_OIL_TANK,,20
DEC_COGEN_OIL_TURBINE,,20
ElectricalHeater_SH,20,
ElectricalHeater_other,20,
ElectricalHeater_DHW,20,
HeatPump_Air,18,20
ThermalSolar,20,
DEC_THHP_GAS,20,
DEC_THHP_GAS_HEX,,50
DEC_THHP_GAS_HP,,20
NG_Boiler_district,30,20
DHN_BOILER_OIL,17,20
DHN_BOILER_OIL_BOILER,,20
DHN_BOILER_OIL_TANK,,20
DHN_BOILER_WOOD,17,
DHN_BOILER_WOOD_BOILER,,20
DHN_BOILER_WOOD_DUST,,20
DHN_COGEN_BIO_HYDROLYSIS,15,
DHN_COGEN_BIO_HYDROLYSIS_BOILER,,20
DHN_COGEN_BIO_HYDROLYSIS_DUST,,20
DHN_COGEN_BIO_HYDROLYSIS_TURBINE,,20
NG_Cogeneration_district,30,
NG_Cogeneration_district_CHP,,13.43002955
NG_Cogeneration_district_HEAT,,13.43002955
NG_Cogeneration_district_ELEC,,13.43002955
DHN_COGEN_WASTE,25,
DHN_COGEN_WASTE_BOILER,,40
DHN_COGEN_WASTE_TURBINE,,20
DHN_COGEN_WET_BIOMASS,25,
DHN_COGEN_WET_BIOMASS_BOILER,,20
DHN_COGEN_WET_BIOMASS_DUST,,20
DHN_COGEN_WET_BIOMASS_TURBINE,,20
DHN_COGEN_WOOD,25,
DHN_COGEN_WOOD_BOILER,,20
DHN_COGEN_WOOD_DUST,,20
DHN_COGEN_WOOD_TURBINE,,20
HeatPump_Geothermal_district,30,
HeatPump_DHN,20,20
DHN_SOLAR,30,
GASIFICATION_SNG,25,
GASIFICATION_SNG_PLANT,,50
GASIFICATION_SNG_TANK,,50
GEOTHERMAL,30,
H2_BIOMASS,25,
H2_BIOMASS_PLANT,,50
H2_BIOMASS_TANK,,50
H2_ELECTROLYSIS,15,
H2_ELECTROLYSIS_PLANT,,20
H2_ELECTROLYSIS_STACK,,7.5
HABER_BOSCH,20,50
HYDRO_RIVER,40,80
IND_BOILER_COAL,17,20
IND_BOILER_GAS,17,20
IND_BOILER_OIL,17,
IND_BOILER_OIL_PLANT,,20
IND_BOILER_OIL_TANK,,20
IND_BOILER_WASTE,17,40
IND_BOILER_WOOD,17,20
IND_COGEN_GAS,25,
IND_COGEN_GAS_CHP,,13.43002955
IND_COGEN_GAS_ELEC,,13.43002955
IND_COGEN_GAS_HEAT,,13.43002955
IND_COGEN_WASTE,25,
IND_COGEN_WASTE_PLANT,,40
IND_COGEN_WASTE_TURBINE,,20
IND_COGEN_WOOD,25,
IND_COGEN_WOOD_DUST,,20
IND_COGEN_WOOD_PLANT,,20
IND_COGEN_WOOD_TURBINE,,20
IND_DIRECT_ELEC,15,
METHANE_TO_METHANOL,25,50
NUCLEAR,60,40
PV,30,30
PYROLYSIS_TO_FUELS,25,50
PYROLYSIS_TO_LFO,25,50
SMR,25,
SMR_PLANT,,50
SMR_TANK,,50
SYN_METHANATION,40,50
SYN_METHANOLATION,20,50
TRAIN_FREIGHT,40,
TRAIN_FREIGHT_LOC,,40
TRAIN_FREIGHT_WAG,,40
TRAIN_PUB,40,25
TRAMWAY_TROLLEY,30,30
TRUCK_DIESEL,15,5.37037037
TRUCK_ELEC,15,5.37037037
TRUCK_FUEL_CELL,15,5.37037037
TRUCK_METHANOL,15,3.214285714
TRUCK_NG,15,5.37037037
WIND_OFFSHORE,30,
WIND_OFFSHORE_FIXED,,20
WIND_OFFSHORE_MOVING,,20
WIND_ONSHORE,30,
WIND_ONSHORE_CONNECTION,,20
WIND_ONSHORE_TURBINE,,20
HeatPump_Geothermal,20,20
HeatPump_Lake,20,20
AirConditioner,20,20
Battery,15,15
Battery_district,15,15
WaterTankSH,20,
WaterTankDHW,20,
DHN_hex,20,
DHN_pipes,60,70
DHN_pipes_district,60,70
ElectricalHeater_other_district,20,
