Name,Flow,Amount,,,,
EV_district,Mobility,1,,,,
ICE_district,Mobility,1,,,,
NG_Boiler,NaturalGas,-1.052631579,,,,
NG_Boiler,Heat,1,,,,
OIL_Boiler,Oil,-1.111111111,,,,
OIL_Boiler,Heat,1,,,,
WOOD_Stove,Wood,-1.176470588,,,,
WOOD_Stove,Heat,1,,,,
ElectricalHeater_other,Electricity,-1.020408163,,,,
ElectricalHeater_other,Heat,1,,,,
ElectricalHeater_SH,Electricity,-1.020408163,,,,
ElectricalHeater_SH,Heat,1,,,,
ElectricalHeater_DHW,Electricity,-1.020408163,,,,
ElectricalHeater_DHW,Heat,1,,,,
HeatPump_Air,Electricity,-0.33,,,,
HeatPump_Air,Heat,1,,,,
ThermalSolar,Heat,1,,,,
NG_Boiler_district,Heat,1,,,,
NG_Boiler_district,NaturalGas,-1.111111111,,,,
NG_Cogeneration_district,Heat,0.59,,,,
NG_Cogeneration_district,Electricity,0.27,,,,
NG_Cogeneration_district,NaturalGas,-1,,,,
HeatPump_Geothermal_district,Heat,1,,,,
HeatPump_Geothermal_district,Electricity,-0.33,,,,
HeatPump_DHN,Heat,1,,,,
HeatPump_DHN,Electricity,-0.33,,,,
Electricity,Electricity,1,,,,
NaturalGas,NaturalGas,1,,,,
Gasoline,Gasoline,1,,,,
Hydrogen,Hydrogen,1,,,,
Oil,Oil,1,,,,
PV,Electricity,1,,,,
Wood,Wood,1,,,,
HeatPump_Geothermal,Electricity,-0.33,,,,
HeatPump_Geothermal,Heat,1,,,,
HeatPump_Lake,Electricity,-0.33,,,,
HeatPump_Lake,Heat,1,,,,
AirConditioner,Electricity,-0.33,,,,
AirConditioner,Heat,1,,,,
Battery,Electricity,1,,,,
Battery_district,Electricity,1,,,,
WaterTankDHW,Heat,1,,,,
WaterTankSH,Heat,1,,,,
DHN_hex,Heat,1,,,,
Biomethane,Biomethane,1,,,,
Heat,Heat,1,,,,
ElectricalHeater_other_district,Electricity,-1.020408163,,,,
ElectricalHeater_other_district,Heat,1,,,,
