Name,Components,Type
OIL_Boiler,"['OIL_Boiler_BOILER', 'OIL_Boiler_TANK']",Construction
DEC_COGEN_GAS,"['DEC_COGEN_GAS_CHP', 'DEC_COGEN_GAS_HEAT', 'DEC_COGEN_GAS_ELEC']",Construction
DEC_COGEN_OIL,"['DEC_COGEN_OIL_BOILER', 'DEC_COGEN_OIL_TURBINE', 'DEC_COGEN_OIL_TANK']",Construction
DEC_THHP_GAS,"['DEC_THHP_GAS_HP', 'DEC_THHP_GAS_HEX']",Construction
DHN_BOILER_OIL,"['DHN_BOILER_OIL_BOILER', 'DHN_BOILER_OIL_TANK']",Construction
DHN_BOILER_WOOD,"['DHN_BOILER_WOOD_BOILER', 'DHN_BOILER_WOOD_DUST']",Construction
DHN_COGEN_BIO_HYDROLYSIS,"['DHN_COGEN_BIO_HYDROLYSIS_BOILER', 'DHN_COGEN_BIO_HYDROLYSIS_TURBINE', 'DHN_COGEN_BIO_HYDROLYSIS_DUST']",Construction
NG_Cogeneration_district,"['NG_Cogeneration_district_CHP', 'NG_Cogeneration_district_HEAT', 'NG_Cogeneration_district_ELEC']",Construction
DHN_COGEN_WASTE,"['DHN_COGEN_WASTE_BOILER', 'DHN_COGEN_WASTE_TURBINE']",Construction
DHN_COGEN_WET_BIOMASS,"['DHN_COGEN_WET_BIOMASS_BOILER', 'DHN_COGEN_WET_BIOMASS_TURBINE', 'DHN_COGEN_WET_BIOMASS_DUST']",Construction
DHN_COGEN_WOOD,"['DHN_COGEN_WOOD_BOILER', 'DHN_COGEN_WOOD_TURBINE', 'DHN_COGEN_WOOD_DUST']",Construction
GASIFICATION_SNG,"['GASIFICATION_SNG_PLANT', 'GASIFICATION_SNG_TANK']",Construction
H2_BIOMASS,"['H2_BIOMASS_PLANT', 'H2_BIOMASS_TANK']",Construction
H2_ELECTROLYSIS,"['H2_ELECTROLYSIS_STACK', 'H2_ELECTROLYSIS_PLANT']",Construction
IND_BOILER_OIL,"['IND_BOILER_OIL_PLANT', 'IND_BOILER_OIL_TANK']",Construction
IND_COGEN_GAS,"['IND_COGEN_GAS_CHP', 'IND_COGEN_GAS_HEAT', 'IND_COGEN_GAS_ELEC']",Construction
IND_COGEN_WASTE,"['IND_COGEN_WASTE_PLANT', 'IND_COGEN_WASTE_TURBINE']",Construction
IND_COGEN_WOOD,"['IND_COGEN_WOOD_PLANT', 'IND_COGEN_WOOD_TURBINE', 'IND_COGEN_WOOD_DUST']",Construction
SMR,"['SMR_PLANT', 'SMR_TANK']",Construction
TRAIN_FREIGHT,"['TRAIN_FREIGHT_LOC', 'TRAIN_FREIGHT_WAG']",Construction
WIND_OFFSHORE,"['WIND_OFFSHORE_MOVING', 'WIND_OFFSHORE_FIXED']",Construction
WIND_ONSHORE,"['WIND_ONSHORE_TURBINE', 'WIND_ONSHORE_CONNECTION']",Construction
