Name,Specifics,Amount,Comment ,Comment
ATM_CCS,DAC,,,
BIOMETHANATION,Process,,,
BIO_HYDROLYSIS,Process,,,
DEC_DIRECT_ELEC,No background search,,,
ELECTRICITY,Import/Export,,,
ELEC_EXPORT,Import/Export,,,
GASIFICATION_SNG,Background search,3,,
H2_ELECTROLYSIS,Decommissioning,,,
HABER_BOSCH,Process,,,
IND_DIRECT_ELEC,No background search,,,
PV,Background search (construction),1,,
PYROLYSIS_TO_FUELS,Process,,,
PYROLYSIS_TO_LFO,Process,,,
SYN_METHANATION,Process,,,
ElectricalHeater_other,No background search,,,
ElectricalHeater_DHW,No background search,,,
ElectricalHeater_SH,No background search,,,
ElectricalHeater_other_district,No background search,,,
