time(UTC),id,Month,Day,Hour,Irr,Text,Weekday
2012-01-01 00:00:00+00:00,1,1,1,1,0.0,7.9,0
2012-01-01 01:00:00+00:00,2,1,1,2,0.0,7.83,0
2012-01-01 02:00:00+00:00,3,1,1,3,0.0,7.76,0
2012-01-01 03:00:00+00:00,4,1,1,4,0.0,7.68,0
2012-01-01 04:00:00+00:00,5,1,1,5,0.0,7.61,0
2012-01-01 05:00:00+00:00,6,1,1,6,0.0,7.53,0
2012-01-01 06:00:00+00:00,7,1,1,7,0.0,7.46,0
2012-01-01 07:00:00+00:00,8,1,1,8,0.0,7.38,0
2012-01-01 08:00:00+00:00,9,1,1,9,44.0,9.03,0
2012-01-01 09:00:00+00:00,10,1,1,10,86.0,9.67,0
2012-01-01 10:00:00+00:00,11,1,1,11,204.0,10.31,0
2012-01-01 11:00:00+00:00,12,1,1,12,214.0,10.95,0
2012-01-01 12:00:00+00:00,13,1,1,13,308.0,11.13,0
2012-01-01 13:00:00+00:00,14,1,1,14,223.0,11.3,0
2012-01-01 14:00:00+00:00,15,1,1,15,135.0,11.48,0
2012-01-01 15:00:00+00:00,16,1,1,16,33.0,10.69,0
2012-01-01 16:00:00+00:00,17,1,1,17,0.0,9.9,0
2012-01-01 17:00:00+00:00,18,1,1,18,0.0,9.12,0
2012-01-01 18:00:00+00:00,19,1,1,19,0.0,8.68,0
2012-01-01 19:00:00+00:00,20,1,1,20,0.0,8.25,0
2012-01-01 20:00:00+00:00,21,1,1,21,0.0,7.81,0
2012-01-01 21:00:00+00:00,22,1,1,22,0.0,7.73,0
2012-01-01 22:00:00+00:00,23,1,1,23,0.0,7.65,0
2012-01-01 23:00:00+00:00,24,1,1,24,0.0,7.57,0
2012-01-02 00:00:00+00:00,25,1,2,1,0.0,7.89,1
2012-01-02 01:00:00+00:00,26,1,2,2,0.0,8.21,1
2012-01-02 02:00:00+00:00,27,1,2,3,0.0,8.53,1
2012-01-02 03:00:00+00:00,28,1,2,4,0.0,8.38,1
2012-01-02 04:00:00+00:00,29,1,2,5,0.0,8.23,1
2012-01-02 05:00:00+00:00,30,1,2,6,0.0,8.08,1
2012-01-02 06:00:00+00:00,31,1,2,7,0.0,8.48,1
2012-01-02 07:00:00+00:00,32,1,2,8,0.0,8.88,1
2012-01-02 08:00:00+00:00,33,1,2,9,20.0,9.28,1
2012-01-02 09:00:00+00:00,34,1,2,10,27.0,9.12,1
2012-01-02 10:00:00+00:00,35,1,2,11,87.0,8.96,1
2012-01-02 11:00:00+00:00,36,1,2,12,45.0,8.79,1
2012-01-02 12:00:00+00:00,37,1,2,13,56.0,8.06,1
2012-01-02 13:00:00+00:00,38,1,2,14,59.0,7.33,1
2012-01-02 14:00:00+00:00,39,1,2,15,56.0,6.61,1
2012-01-02 15:00:00+00:00,40,1,2,16,14.0,5.95,1
2012-01-02 16:00:00+00:00,41,1,2,17,0.0,5.29,1
