id,Month,Day,Hour,Irr,Text
1.0,1.0,1.0,1.0,0.0,4.8
2.0,1.0,1.0,2.0,0.0,4.8
3.0,1.0,1.0,3.0,0.0,4.6
4.0,1.0,1.0,4.0,0.0,4.5
5.0,1.0,1.0,5.0,0.0,4.4
6.0,1.0,1.0,6.0,0.0,4.3
7.0,1.0,1.0,7.0,0.0,4.3
8.0,1.0,1.0,8.0,0.0,4.2
9.0,1.0,1.0,9.0,2.0,4.3
10.0,1.0,1.0,10.0,65.0,5.5
11.0,1.0,1.0,11.0,109.0,6.4
12.0,1.0,1.0,12.0,153.0,7.3
13.0,1.0,1.0,13.0,179.0,8.0
14.0,1.0,1.0,14.0,165.0,8.4
15.0,1.0,1.0,15.0,154.0,8.7
16.0,1.0,1.0,16.0,75.0,8.4
17.0,1.0,1.0,17.0,7.0,7.7
18.0,1.0,1.0,18.0,0.0,7.2
19.0,1.0,1.0,19.0,0.0,6.6
20.0,1.0,1.0,20.0,0.0,6.1
21.0,1.0,1.0,21.0,0.0,5.6
22.0,1.0,1.0,22.0,0.0,5.0
23.0,1.0,1.0,23.0,0.0,4.5
24.0,1.0,1.0,24.0,0.0,4.0
25.0,1.0,2.0,1.0,0.0,3.1
26.0,1.0,2.0,2.0,0.0,2.0
27.0,1.0,2.0,3.0,0.0,1.0
28.0,1.0,2.0,4.0,0.0,0.5
29.0,1.0,2.0,5.0,0.0,-0.1
30.0,1.0,2.0,6.0,0.0,-0.7
31.0,1.0,2.0,7.0,0.0,-1.1
32.0,1.0,2.0,8.0,0.0,-1.5
33.0,1.0,2.0,9.0,8.0,-1.3
34.0,1.0,2.0,10.0,118.0,0.2
35.0,1.0,2.0,11.0,230.0,1.8
36.0,1.0,2.0,12.0,310.0,3.2
37.0,1.0,2.0,13.0,342.0,4.1
38.0,1.0,2.0,14.0,323.0,4.6
39.0,1.0,2.0,15.0,239.0,4.6
40.0,1.0,2.0,16.0,145.0,4.0
41.0,1.0,2.0,17.0,18.0,2.8
42.0,1.0,2.0,18.0,0.0,2.2
43.0,1.0,2.0,19.0,0.0,1.7
44.0,1.0,2.0,20.0,0.0,1.1
45.0,1.0,2.0,21.0,0.0,0.5
46.0,1.0,2.0,22.0,0.0,-0.1
47.0,1.0,2.0,23.0,0.0,-0.6
48.0,1.0,2.0,24.0,0.0,-1.2
49.0,1.0,3.0,1.0,0.0,-1.4
50.0,1.0,3.0,2.0,0.0,-1.6
51.0,1.0,3.0,3.0,0.0,-1.7
52.0,1.0,3.0,4.0,0.0,-1.8
53.0,1.0,3.0,5.0,0.0,-1.9
54.0,1.0,3.0,6.0,0.0,-1.9
55.0,1.0,3.0,7.0,0.0,-2.0
56.0,1.0,3.0,8.0,0.0,-2.0
57.0,1.0,3.0,9.0,9.0,-1.6
58.0,1.0,3.0,10.0,132.0,0.8
59.0,1.0,3.0,11.0,231.0,3.0
60.0,1.0,3.0,12.0,309.0,4.8
61.0,1.0,3.0,13.0,348.0,6.2
62.0,1.0,3.0,14.0,305.0,6.9
63.0,1.0,3.0,15.0,236.0,7.0
64.0,1.0,3.0,16.0,141.0,6.4
65.0,1.0,3.0,17.0,14.0,5.0
66.0,1.0,3.0,18.0,0.0,4.4
67.0,1.0,3.0,19.0,0.0,3.9
68.0,1.0,3.0,20.0,0.0,3.3
69.0,1.0,3.0,21.0,0.0,2.8
70.0,1.0,3.0,22.0,0.0,2.2
71.0,1.0,3.0,23.0,0.0,1.7
