time(UTC),Building1,Building2,Building3,Building4
2016-01-01 00:00:00+00:00,261.5,721.5,755.25,336.0
2016-01-01 01:00:00+00:00,202.5,463.75,630.25,317.25
2016-01-01 02:00:00+00:00,236.25,489.0,892.0,307.5
2016-01-01 03:00:00+00:00,159.25,358.25,688.0,310.75
2016-01-01 04:00:00+00:00,246.25,496.5,1138.75,366.75
2016-01-01 05:00:00+00:00,215.5,456.5,1962.75,429.75
2016-01-01 06:00:00+00:00,190.25,853.5,3211.0,346.5
2016-01-01 07:00:00+00:00,704.25,918.75,2576.5,314.25
2016-01-01 08:00:00+00:00,191.75,1206.25,1559.25,572.0
2016-01-01 09:00:00+00:00,230.75,834.0,734.0,360.5
2016-01-01 10:00:00+00:00,232.75,551.5,620.75,482.0
2016-01-01 11:00:00+00:00,198.0,584.5,708.5,717.5
2016-01-01 12:00:00+00:00,277.0,650.5,876.75,1232.25
2016-01-01 13:00:00+00:00,273.5,429.75,761.75,1195.0
2016-01-01 14:00:00+00:00,400.75,422.0,695.0,399.75
2016-01-01 15:00:00+00:00,946.5,423.75,733.75,700.25
2016-01-01 16:00:00+00:00,628.5,567.5,1168.0,616.0
2016-01-01 17:00:00+00:00,302.75,656.0,1288.25,498.75
2016-01-01 18:00:00+00:00,317.5,680.0,1936.5,286.5
2016-01-01 19:00:00+00:00,599.5,1038.25,2144.75,459.75
2016-01-01 20:00:00+00:00,1723.0,755.5,1548.0,529.75
2016-01-01 21:00:00+00:00,840.25,1181.75,1972.25,739.5
2016-01-01 22:00:00+00:00,867.5,1055.5,1645.25,758.0
2016-01-01 23:00:00+00:00,550.5,1503.0,1682.5,944.0
2016-01-02 00:00:00+00:00,184.75,3556.0,855.75,247.25
2016-01-02 01:00:00+00:00,257.0,1072.0,510.75,263.0
2016-01-02 02:00:00+00:00,215.75,795.5,577.25,305.5
2016-01-02 03:00:00+00:00,192.0,339.0,607.25,319.75
2016-01-02 04:00:00+00:00,237.5,380.5,721.75,317.0
2016-01-02 05:00:00+00:00,164.0,412.25,2324.5,336.5
2016-01-02 06:00:00+00:00,231.0,548.75,2773.0,346.5
2016-01-02 07:00:00+00:00,696.25,908.0,2261.0,286.75
2016-01-02 08:00:00+00:00,238.25,899.25,3420.5,703.25
2016-01-02 09:00:00+00:00,243.25,923.0,4280.0,3514.75
2016-01-02 10:00:00+00:00,187.25,634.0,2257.25,2654.5
2016-01-02 11:00:00+00:00,191.0,614.25,3402.75,1504.5
2016-01-02 12:00:00+00:00,191.75,574.5,837.75,1172.0
2016-01-02 13:00:00+00:00,159.5,434.75,1130.0,5751.25
2016-01-02 14:00:00+00:00,275.0,451.0,908.0,2037.5
2016-01-02 15:00:00+00:00,791.25,565.75,1198.75,533.25
2016-01-02 16:00:00+00:00,341.5,514.0,1221.5,599.25
2016-01-02 17:00:00+00:00,323.0,774.75,3037.5,429.25
2016-01-02 18:00:00+00:00,277.75,733.25,2726.5,274.25
2016-01-02 19:00:00+00:00,658.5,597.5,2382.0,811.5
2016-01-02 20:00:00+00:00,2638.5,705.25,1393.5,602.5
2016-01-02 21:00:00+00:00,611.0,632.5,1378.5,506.5
2016-01-02 22:00:00+00:00,525.0,1517.0,2624.25,711.0
2016-01-02 23:00:00+00:00,282.5,953.75,1955.5,651.25
2016-01-03 00:00:00+00:00,214.5,615.0,1880.25,503.25
2016-01-03 01:00:00+00:00,224.75,444.25,1198.25,456.5
2016-01-03 02:00:00+00:00,168.75,434.5,1708.25,318.75
2016-01-03 03:00:00+00:00,236.25,420.0,1448.0,334.75
2016-01-03 04:00:00+00:00,197.5,549.25,692.25,373.5
2016-01-03 05:00:00+00:00,210.0,383.0,2637.0,340.5
2016-01-03 06:00:00+00:00,285.0,641.0,3068.0,310.0
2016-01-03 07:00:00+00:00,583.75,1320.0,2137.25,356.5
2016-01-03 08:00:00+00:00,225.5,1494.75,1610.25,433.75
2016-01-03 09:00:00+00:00,219.75,1751.25,791.75,561.75
2016-01-03 10:00:00+00:00,178.5,846.75,1167.0,741.5
2016-01-03 11:00:00+00:00,259.75,1196.0,1147.0,313.5
2016-01-03 12:00:00+00:00,387.75,587.25,4339.5,278.25
