Bin,Frequency,Percentage,weight
0.5,29162,15.0,0.15
1,24845,12.8,0.128
1.5,13250,6.8,0.068
2,13271,6.8,0.068
2.5,8033,4.1,0.0409999999999999
3,9473,4.9,0.049
3.5,5956,3.1,0.031
4,6224,3.2,0.032
5,10285,5.3,0.053
6,7646,3.9,0.039
8,11526,5.9,0.059
10,8315,4.3,0.043
12,5841,3.0,0.03
14,4452,2.3,0.023
16,3732,1.9,0.019
18,2908,1.5,0.015
20,2629,1.4,0.0139999999999999
25,4903,2.5,0.025
30,4060,2.1,0.021
40,5104,2.6,0.026
50,2842,1.5,0.015
75,3854,2.0,0.02
100,1836,0.9,0.009
150,1772,0.9,0.009
200,718,0.4,0.004
inf,1243,0.6,0.006
