km	Marche	Vélo	moto	voiture	tram/bus	train
0.5	0.842	0.059	0.001	0.082	0.012	0.005
1	0.547	0.187	0.004	0.250	0.004	0.008
2	0.222	0.210	0.025	0.462	0.073	0.008
3	0.065	0.177	0.056	0.540	0.151	0.011
4	0.024	0.128	0.040	0.577	0.219	0.013
5	0.016	0.122	0.040	0.600	0.205	0.016
6	0.006	0.076	0.044	0.655	0.181	0.038
8	0.000	0.062	0.046	0.670	0.158	0.064
10	0.000	0.031	0.034	0.690	0.148	0.097
12	0.000	0.019	0.041	0.689	0.098	0.153
14	0.000	0.014	0.039	0.720	0.070	0.157
16	0.000	0.026	0.015	0.710	0.041	0.208
18	0.000	0.013	0.020	0.700	0.036	0.232
20	0.000	0.011	0.024	0.730	0.033	0.202
30	0.000	0.008	0.014	0.611	0.013	0.354
35	0.000	0.002	0.007	0.615	0.011	0.365
45	0.000	0.000	0.020	0.651	0.007	0.321
50	0.000	0.000	0.009	0.616	0.007	0.369
55	0.000	0.000	0.000	0.613	0.008	0.379
