egid,period,class,area_era_m2,is_hotwater_system,x,y,z,transformer,gas_grid,h2_grid,geothermal_well,system_heating,system_heating2,thermal_k1_cooling_W_m2_K,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,power_heating_signature_kW,power_cooling_signature_kW,id_building,total_annual_irr_kWh_y,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y,area_solar_m2,energy_hotwater_signature_kWh_y,power_hotwater_signature_W,waste_signature_kg_y,waste_signature_kW,temperature_threshold_cooling_C,temperature_threshold_heating_C,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,temperature_hotwater_supply_C,temperature_hotwater_return_C,area_net_floor_m2,area_footprint_m2,area_facade_m2,area_facade_solar_m2,area_roof_solar_m2,temperature_interior_C,capita_cap,ratio,status,source_heating,source_hotwater,system_hotwater,id_class,solar_gain_factor_signature_m2,thermal_specific_capacity_Wh_m2_K,energy_el_kWh_y,thermal_transmittance_signature_kW_m2_K,count_floor,height_m,length_footprint_m,length_footprint_facade_m,area_roof_m2,energy_heating_2024_kWh_y,energy_hotwater_2024_kWh_y
"280001550",1981-1990,Education,"23184.9",true,"2534448.83786545","1152845.50461321","389.35","3216",true,false,,Heat exchanger (DHN included) for single building,Not documented,"0.37","2553502.1622768","45908.2350108","1129.568328","118.3820994","1897254","13878204","9568311","4309893","16476.2309648965","41216.4838517739","13174.6677106906","0","0","18","14.2","12","17","65","50","60","15","18622.4096385542","8033.15115709091","8697.8","8443.06938249531","8033.16158240123","20","6058.2689070568","1","['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,Gas,Boiler,IV,"0.116443112277611","112.9","1022519.26843374","0.00203","3","14.03","619.941614395839","619.944576646751","8033.16158240123","1649479.93373494",
"9020492",<1919,Education,"554.28",false,"2534280.87831622","1152811.22385965","384.95","3216",true,false,,Not documented,Not documented,"0","36387.2758867198","0","16.0962912","0","1897287","831328","519570","311758","1175.01849002529","0","0","0","0","18","14.2","12","17","65","50","60","15","445.204819277108","301.7964209814","656.73542790717","656.725518269544","518.292971755744","20","144.834667814114","1","['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,No heat generator,IV,"0.0694069782541499","112.900000000008","24445.3062168675","0.00121","2","11.3999999999999","71.9068397972435","71.9059705307851","518.292971755744","39434.0168674699",
"9020493",<1919,Education,"584.04",true,"2534298.65528047","1152880.34825354","384.34","3216",true,false,,Heat exchanger (DHN included) for single building,Not documented,"0","38340.9551289598","0","16.9605216","0","1900046","877362","588104","289258","1108.99147881356","1038.26521696501","331.87690823591","0","0","18","14.2","12","17","65","50","60","15","469.10843373494","310.921364988949","718.4","580.186997105215","528.804481708348","20","152.611025817556","1","['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,District heat,Heat exchanger (DHN included),IV,"0.0694069782541495","112.900000000008","25757.8058795181","0.00121","2","10.09","71.1988781000925","71.1993813238422","528.804481708348","41551.2795180723",
"280060429",>2010,Education,"1166.22",true,"2534264.16020236","1152899.70846702","385.225201205684","3216",true,false,,Heat exchanger (DHN included) for single building,Not documented,"0.59","58843.4867222401","3682.27434168","26.0300304","9.49536324","1902174","1681930","1177107","504823","1914.63749144487","3938.24940379237","1258.84409362486","0","0","18","14.2","12","17","41.5","33.9","60","15","936.722891566265","701.284910926259","906.152526675959","906.151327092204","1008.48616435267","20","354.6165232358","1","['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,District heat,Heat exchanger (DHN included),VII,"0.0512490399104582","114.550000000003","42250.8860240964","0.00093","2","9.70520120568352","110.263372629696","110.263249027544","1008.48616435267","92182.8997590361",
"9020403",1961-1970,Education,"92159.28",true,"2534445.72314854","1152693.71193607","401.095635114026","3216",true,false,,Heat exchanger (DHN included) for single building,Not documented,"0","13050121.2105715","0","5772.8572992","0","1902694","24360582","19626230","4734352","25875.9488043123","81917.141672189","26184.4539000918","0","0","18","14.2","12","17","65","50","60","15","74023.5180722892","8283.77956301251","4506.53028809289","8522.94845741259","17353.0003468998","20","12040.71832358","1","['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,District heat,Heat exchanger (DHN included),IV,"0.149712572928356","112.9","2032241.66515663","0.00261","6","25.9458759342793","506.715445448733","497.270551007423","8676.50017344988","3278316.55662651",
9020480/280000711,1981-1990,Education/Other,"26542.2",false,"2534057.08977726","1152724.66755628","394.389670508291","3216",true,false,,Heat exchanger (DHN included) for single building/Not documented,Not documented,"0.299215136650314","2806252.20008279","42501.4867247997","1221.57012554085","109.597226399999","1902705","21969302","20042116","1927186","19313.4399811585","0","0","0","0","18","14.6208829712684","12","17","65","50","60","15","21319.0361445783","7541.26941393322","14970.2","2681.85088400628","16631.5890971523","20.0573931324457","2855.33103270224",0.8086895585143659/0.1913104414856342,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat/Other,District heat/None,Heat exchanger (DHN included)/No heat generator,IV/XIII,"0.105352821843407","111.57995795375","526137.467951807","0.00188460406447091","2","8.9872814897069","858.484053239961","859.197828129277","8315.79454857613","913424.710843374",
"9020422",>2010,Education,"79077.9",true,"2534076.61639261","1153165.3582553","412.6","3216",true,false,,Heat pump for single building,Not documented,"0.59","3990001.33651681","249684.0408876","1765.018728","643.8522618","1902706","28363448","18485040","9878408","28789.7625561318","63899.6029230264","20425.2269160925","0","0","18","14.2","12","17","41.5","33.9","60","15","63516.3855421687","7045.41101998345","7349.59557677674","14699.1554951872","14090.6070609446","20","9392.3824010327","1","['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Not determined,Gas,Boiler,IV,"0.0533458593192995","112.9","1585253.49879518","0.00093","5.54545454545455","23.91","390.029469730492","390.028724051566","7045.41101998345","2557256.29518072",
"190097749",<1919,Education,"165.54",false,"2534301.53726906","1152688.96390494","383.56","3216",true,false,,Not documented,Not documented,"0","10867.3407849599","0","4.8072816","0","1902714","268546","140660","127886","371.798373234739","0","0","0","0","18","14.2","12","17","65","50","60","15","132.963855421687","81.5767174872209","242.302981956364","242.297119170849","129.50125406389","20","43.255991394148","1","['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,No heat generator,IV,"0.0700280801175087","112.900000000028","7300.77937349398","0.00121","2","9.53000000000003","40.4822234833088","40.4816082907049","129.50125406389","11777.2734939759",
"9020488",1981-1990,Education,"2468.22",false,"2534206.74619619","1152713.03405259","391.38","3216",true,false,,Not documented,Not documented,"0.37","271840.94419104","4887.30267623999","120.2516784","12.60273132","1902716","2752082","2032978","719104","2835.53730547588","0","0","0","0","18","14.2","12","17","65","50","60","15","1982.50602409639","1387.92218050052","1833.7","1270.50396320061","1565.03334227527","20","644.951691910499","1","['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,No heat generator,IV,"0.116443112277613","112.900000000002","108855.440771084","0.00203","2","10.59","173.149889405702","173.149933333894","1565.03334227527","175600.471084337",
280000296/9020491/280000340,2001-2005/1961-1970,Education,"44902.26",false,"2533777.94897331","1152648.51133524","402.71275629543","10469",true,false,,Not documented,Not documented,"0.0781657760656148","5044782.72459689","27633.8658060001","2568.9394278","58.6139940000002","705789","24257110","18538414","5718696","25571.2275703404","0","0","0","0","18","14.2","12","17","65","50","60","15","36066.0722891566","13568.2289842753","33546.5547642196","11182.1769057021","14389.0506646383","20","11733.0661600688",0.21125885423139057/0.6199826022120044/0.16875854355660494,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,None,No heat generator,IV/IV/IV,"0.150466934798272","112.9","1980315.89725301","0.00248746986454579","3","12.8427562954299","1123.25576131732","1123.25513717526","14389.0506646383","3194552.35301205",
