ResourceBalances,Period,Time,GWP_supply
Electricity,1,1,0.09678137482
Electricity,1,2,0.12294507034999999
Electricity,1,3,0.111681607925
Electricity,1,4,0.10427866229999999
Electricity,1,5,0.09923548189
Electricity,1,6,0.0997529958925
Electricity,1,7,0.08546703494999999
Electricity,1,8,0.08848037084499999
Electricity,1,9,0.090325064735
Electricity,1,10,0.08597948743
Electricity,1,11,0.07923374593
Electricity,1,12,0.10071768993249999
Electricity,1,13,0.10653260027499999
Electricity,1,14,0.11213596605
Electricity,1,15,0.119095011925
Electricity,1,16,0.123937890225
Electricity,1,17,0.0865907812775
Electricity,1,18,0.083124277305
Electricity,1,19,0.0655586763325
Electricity,1,20,0.0940537246325
Electricity,1,21,0.15430556654999997
Electricity,1,22,0.18303728545
Electricity,1,23,0.17628608742500002
Electricity,1,24,0.17022947167500002
Electricity,2,1,0.061492946905
Electricity,2,2,0.0579182372975
Electricity,2,3,0.049466242844999994
Electricity,2,4,0.04713451656
Electricity,2,5,0.047207640592499996
Electricity,2,6,0.048233333907499995
Electricity,2,7,0.046466331050000004
Electricity,2,8,0.05602418729
Electricity,2,9,0.0580098554175
Electricity,2,10,0.06142676306750001
Electricity,2,11,0.052482924385
Electricity,2,12,0.0472366756225
Electricity,2,13,0.0445953473575
Electricity,2,14,0.048537679632500004
Electricity,2,15,0.05001379861
Electricity,2,16,0.0505021615825
Electricity,2,17,0.061864116195
Electricity,2,18,0.0845995133775
Electricity,2,19,0.0878602750975
Electricity,2,20,0.0846704030775
Electricity,2,21,0.0775543325875
Electricity,2,22,0.0717761181625
Electricity,2,23,0.077344317435
Electricity,2,24,0.0642293424925
Electricity,3,1,0.21134387355
Electricity,3,2,0.21739220220000002
Electricity,3,3,0.223977130975
Electricity,3,4,0.21295655965000002
Electricity,3,5,0.22277186695
Electricity,3,6,0.1529323839
Electricity,3,7,0.119118087575
Electricity,3,8,0.111591039875
Electricity,3,9,0.0885930676875
Electricity,3,10,0.1193254743
Electricity,3,11,0.156310799475
Electricity,3,12,0.16709932965
Electricity,3,13,0.143934929475
Electricity,3,14,0.140385105125
Electricity,3,15,0.15609556087499998
Electricity,3,16,0.1551706742
Electricity,3,17,0.155843425725
Electricity,3,18,0.11706774115
Electricity,3,19,0.09425141712999999
Electricity,3,20,0.10986831265
Electricity,3,21,0.124050606575
Electricity,3,22,0.1310475167
Electricity,3,23,0.13780239375
Electricity,3,24,0.14739641705
Electricity,4,1,0.13607691084999998
Electricity,4,2,0.138838452525
Electricity,4,3,0.14532011260000002
Electricity,4,4,0.166227736125
Electricity,4,5,0.16261168095
Electricity,4,6,0.14419171534999997
Electricity,4,7,0.14920490845
Electricity,4,8,0.1193639229
Electricity,4,9,0.137198546975
Electricity,4,10,0.13525805445
Electricity,4,11,0.131694287475
Electricity,4,12,0.112389305
Electricity,4,13,0.09002297126
Electricity,4,14,0.07969026109499999
Electricity,4,15,0.0732791950025
Electricity,4,16,0.076291901705
Electricity,4,17,0.0914453957175
Electricity,4,18,0.1169420098775
Electricity,4,19,0.11465765315
Electricity,4,20,0.12818443977500002
Electricity,4,21,0.135409192
Electricity,4,22,0.14860582025000002
Electricity,4,23,0.1373699028
Electricity,4,24,0.14897107395
Electricity,5,1,0.061782935885
Electricity,5,2,0.05975495754
Electricity,5,3,0.0523697984525
Electricity,5,4,0.0503935155775
Electricity,5,5,0.052192694645
Electricity,5,6,0.0609698463975
Electricity,5,7,0.0412527789325
Electricity,5,8,0.0371064121125
Electricity,5,9,0.044846002775000005
Electricity,5,10,0.05068037859
Electricity,5,11,0.045251151157499996
Electricity,5,12,0.044768565010000004
Electricity,5,13,0.0410504211975
Electricity,5,14,0.03379345258
Electricity,5,15,0.0359228183575
Electricity,5,16,0.0354270919725
Electricity,5,17,0.030875285765
Electricity,5,18,0.028973085104999997
Electricity,5,19,0.0311404123525
Electricity,5,20,0.0312151752525
Electricity,5,21,0.0324959330625
Electricity,5,22,0.0343213742725
Electricity,5,23,0.04131664138
Electricity,5,24,0.07426692053249999
Electricity,6,1,0.02137496614
Electricity,6,2,0.01808043579
Electricity,6,3,0.015984333
Electricity,6,4,0.018645621055
Electricity,6,5,0.01902286885
Electricity,6,6,0.02236456572
Electricity,6,7,0.023055392062500003
Electricity,6,8,0.0259264159
Electricity,6,9,0.0256615186875
Electricity,6,10,0.027529982669999998
Electricity,6,11,0.0489386375975
Electricity,6,12,0.0587435971525
Electricity,6,13,0.059888155477499996
Electricity,6,14,0.061480032215
Electricity,6,15,0.05941737674
Electricity,6,16,0.06343476349
Electricity,6,17,0.056496712739999996
Electricity,6,18,0.04212164972
Electricity,6,19,0.0345756396
Electricity,6,20,0.0359414699875
Electricity,6,21,0.0473379543775
Electricity,6,22,0.06716293855
Electricity,6,23,0.059486272264999994
Electricity,6,24,0.08794718102249999
Electricity,7,1,0.05625468593
Electricity,7,2,0.0518916132575
Electricity,7,3,0.0401753349075
Electricity,7,4,0.038467282265
Electricity,7,5,0.0345719903275
Electricity,7,6,0.0384213862425
Electricity,7,7,0.06725624055750001
Electricity,7,8,0.08415432613499998
Electricity,7,9,0.0882314283725
Electricity,7,10,0.0867301895075
Electricity,7,11,0.0881737750575
Electricity,7,12,0.07640452387249999
Electricity,7,13,0.071172136845
Electricity,7,14,0.07928260641750001
Electricity,7,15,0.06507285066
Electricity,7,16,0.053576685214999996
Electricity,7,17,0.0487872153275
Electricity,7,18,0.039480950120000004
Electricity,7,19,0.038677375015
Electricity,7,20,0.037497499955
Electricity,7,21,0.044099601085
Electricity,7,22,0.04835445612
Electricity,7,23,0.0530884612925
Electricity,7,24,0.05302076039
Electricity,8,1,0.038811079465
Electricity,8,2,0.04058062171
Electricity,8,3,0.041350482055
Electricity,8,4,0.033325824347500005
Electricity,8,5,0.022995877879999998
Electricity,8,6,0.024520794057500003
Electricity,8,7,0.02631
Electricity,8,8,0.0288522662475
Electricity,8,9,0.0443082057925
Electricity,8,10,0.06736711945249999
Electricity,8,11,0.0809167270975
Electricity,8,12,0.0821161177275
Electricity,8,13,0.0771753045675
Electricity,8,14,0.07710889871500001
Electricity,8,15,0.059663303364999996
Electricity,8,16,0.03369516677500001
Electricity,8,17,0.02455170643
Electricity,8,18,0.02451
Electricity,8,19,0.026609999999999998
Electricity,8,20,0.0258
Electricity,8,21,0.023219473794999997
Electricity,8,22,0.03234993383
Electricity,8,23,0.036159558015
Electricity,8,24,0.033589090285
Electricity,9,1,0.041923530032499996
Electricity,9,2,0.0369056220975
Electricity,9,3,0.0351553247425
Electricity,9,4,0.03856745712
Electricity,9,5,0.038076596252500004
Electricity,9,6,0.0356327017875
Electricity,9,7,0.03322119594
Electricity,9,8,0.0372132094675
Electricity,9,9,0.06288319840249999
Electricity,9,10,0.0715319535225
Electricity,9,11,0.07280425624
Electricity,9,12,0.079369759115
Electricity,9,13,0.0776009865825
Electricity,9,14,0.0707099266075
Electricity,9,15,0.065211145755
Electricity,9,16,0.040115501105
Electricity,9,17,0.041334519005
Electricity,9,18,0.03738639472
Electricity,9,19,0.034981144185
Electricity,9,20,0.03508111616
Electricity,9,21,0.0329421713575
Electricity,9,22,0.031167662165
Electricity,9,23,0.035920267375
Electricity,9,24,0.040265213755
Electricity,10,1,0.039494019572500004
Electricity,10,2,0.0451564285725
Electricity,10,3,0.041413970550000005
Electricity,10,4,0.0393825939725
Electricity,10,5,0.040954920365
Electricity,10,6,0.0411515127075
Electricity,10,7,0.041270911075
Electricity,10,8,0.0440257648275
Electricity,10,9,0.046432830225
Electricity,10,10,0.053851723815
Electricity,10,11,0.051071512235
Electricity,10,12,0.0604352347675
Electricity,10,13,0.063711693135
Electricity,10,14,0.06164643584
Electricity,10,15,0.059275898050000005
Electricity,10,16,0.048603996175
Electricity,10,17,0.0367815457325
Electricity,10,18,0.025041723195
Electricity,10,19,0.02501
Electricity,10,20,0.02506
Electricity,10,21,0.0248
Electricity,10,22,0.022586200182500002
Electricity,10,23,0.02690469109
Electricity,10,24,0.034478255362499995
Electricity,11,1,0.052516693437500005
Electricity,12,1,0.0543031404725
