id_facade,egid,area_facade_solar_m2,mean_annual_irr_kWh_m2_y,azimuth,facade_annual_irr_kWh_y,geometry,id_building
18032220,954135,471.010945124234,709,68,333947,"MULTILINESTRING ((2592822.2710000114 1120151.3530083643, 2592809.610000009 1120182.216008362))",40279
18032223,954135,149.671053378064,924,-22,138296,"MULTILINESTRING ((2592831.280000011 1120155.0490083636, 2592822.2710000114 1120151.3530083643))",40279
18032221,954135,116.792032668299,246,158,28731,"MULTILINESTRING ((2592809.610000009 1120182.216008362, 2592818.6180000105 1120185.9110083638))",40279
18032222,954135,474.817012298689,510,-112,242157,"MULTILINESTRING ((2592818.6180000105 1120185.9110083638, 2592831.280000011 1120155.0490083636))",40279
18040886,9038773,54.8328123064791,827,-92,45347,"MULTILINESTRING ((2592385.9090000126 1120322.4680083427, 2592386.3750000107 1120311.6080083482))",40123
18040892,9038773,3.42996074339674,537,-93,1842,"MULTILINESTRING ((2592377.951000012 1120323.8080083434, 2592378.0060000117 1120322.7180083417))",40123
18040893,9038773,2.11468659748364,429,-92,907,"MULTILINESTRING ((2592378.0060000117 1120322.7180083417, 2592378.023000009 1120322.1280083458))",40123
18040887,9038773,29.3195730692345,1223,-2,35858,"MULTILINESTRING ((2592386.3750000107 1120311.6080083482, 2592380.604000009 1120311.3580083475))",40123
18040888,9038773,9.00439616134372,712,88,6411,"MULTILINESTRING ((2592380.604000009 1120311.3580083475, 2592380.53100001 1120313.0380083462))",40123
18040890,9038773,47.3517745587209,759,88,35940,"MULTILINESTRING ((2592372.126000009 1120312.6760083423, 2592371.6590000126 1120323.5380083453))",40123
18040885,9038773,27.6527766163325,295,178,8158,"MULTILINESTRING ((2592378.023000009 1120322.1280083458, 2592385.9090000126 1120322.4680083427))",40123
18040891,9038773,16.8450045396661,315,178,5306,"MULTILINESTRING ((2592371.6590000126 1120323.5380083453, 2592377.951000012 1120323.8080083434))",40123
18040889,9038773,45.7910508840613,1187,-2,54354,"MULTILINESTRING ((2592380.53100001 1120313.0380083462, 2592372.126000009 1120312.6760083423))",40123
