id,Month,Day,Hour,Irr,Text
1,1,1,1,0,9.1
2,1,1,2,0,9.3
3,1,1,3,0,9.1
4,1,1,4,0,9
5,1,1,5,0,8.8
6,1,1,6,0,8.7
7,1,1,7,0,8.7
8,1,1,8,0,8.6
9,1,1,9,2,8.7
10,1,1,10,41,9.4
11,1,1,11,76,10.1
12,1,1,12,104,10.7
13,1,1,13,128,11.2
14,1,1,14,116,11.5
15,1,1,15,87,11.6
16,1,1,16,49,11.3
17,1,1,17,3,10.8
18,1,1,18,0,10.4
19,1,1,19,0,9.9
20,1,1,20,0,9.6
21,1,1,21,0,9.3
22,1,1,22,0,8.9
23,1,1,23,0,8.5
24,1,1,24,0,8.1
25,1,2,1,0,7.1
26,1,2,2,0,6
27,1,2,3,0,4.9
28,1,2,4,0,4.3
29,1,2,5,0,3.7
30,1,2,6,0,3.1
31,1,2,7,0,2.7
32,1,2,8,0,2.2
33,1,2,9,2,2.2
34,1,2,10,104,3.7
35,1,2,11,176,4.9
36,1,2,12,252,6
37,1,2,13,301,6.9
38,1,2,14,279,7.4
39,1,2,15,272,7.7
40,1,2,16,134,7.2
41,1,2,17,14,6
42,1,2,18,0,5.5
43,1,2,19,0,4.9
44,1,2,20,0,4.4
45,1,2,21,0,3.8
46,1,2,22,0,3.3
47,1,2,23,0,2.7
48,1,2,24,0,2.2
49,1,3,1,0,2.1
50,1,3,2,0,2
51,1,3,3,0,1.9
52,1,3,4,0,1.9
53,1,3,5,0,1.8
54,1,3,6,0,1.8
55,1,3,7,0,1.8
56,1,3,8,0,1.8
57,1,3,9,5,2.1
58,1,3,10,97,4
59,1,3,11,181,5.9
60,1,3,12,252,7.6
61,1,3,13,272,8.8
62,1,3,14,257,9.5
63,1,3,15,174,9.5
64,1,3,16,93,8.8
65,1,3,17,3,7.6
66,1,3,18,0,7.1
67,1,3,19,0,6.6
68,1,3,20,0,6.2
69,1,3,21,0,5.7
70,1,3,22,0,5.2
71,1,3,23,0,4.7
72,1,3,24,0,4.2
73,1,4,1,0,3.5
74,1,4,2,0,2.8
75,1,4,3,0,2.1
76,1,4,4,0,1.7
77,1,4,5,0,1.4
78,1,4,6,0,1
79,1,4,7,0,0.7
80,1,4,8,0,0.4
81,1,4,9,2,0.5
82,1,4,10,104,2.2
83,1,4,11,160,3.4
84,1,4,12,216,4.5
85,1,4,13,265,5.4
86,1,4,14,343,6.5
87,1,4,15,218,6.6
88,1,4,16,112,6
89,1,4,17,16,4.9
90,1,4,18,0,4.4
91,1,4,19,0,3.8
92,1,4,20,0,3.3
93,1,4,21,0,2.7
94,1,4,22,0,2.2
95,1,4,23,0,1.6
96,1,4,24,0,1.1
97,1,5,1,0,0.7
98,1,5,2,0,0.3
99,1,5,3,0,-0.1
100,1,5,4,0,-0.3
101,1,5,5,0,-0.5
102,1,5,6,0,-0.7
103,1,5,7,0,-0.9
104,1,5,8,0,-1
105,1,5,9,8,-0.7
106,1,5,10,105,1.2
107,1,5,11,200,3.1
108,1,5,12,300,5
109,1,5,13,301,6.2
110,1,5,14,233,6.5
111,1,5,15,206,6.6
112,1,5,16,129,6
113,1,5,17,16,4.7
114,1,5,18,0,4.3
115,1,5,19,0,3.8
116,1,5,20,0,3.3
117,1,5,21,0,2.8
118,1,5,22,0,2.4
119,1,5,23,0,1.9
120,1,5,24,0,1.4
121,1,6,1,0,1
122,1,6,2,0,0.5
123,1,6,3,0,0
124,1,6,4,0,-0.2
125,1,6,5,0,-0.5
126,1,6,6,0,-0.7
127,1,6,7,0,-0.9
128,1,6,8,0,-1
129,1,6,9,2,-1
130,1,6,10,79,0.4
131,1,6,11,155,1.7
132,1,6,12,219,3
133,1,6,13,234,3.8
134,1,6,14,214,4.3
135,1,6,15,161,4.3
136,1,6,16,83,3.7
137,1,6,17,4,2.8
138,1,6,18,0,2.4
139,1,6,19,0,2
140,1,6,20,0,1.6
141,1,6,21,0,1.2
142,1,6,22,0,0.8
143,1,6,23,0,0.4
144,1,6,24,0,0
145,1,7,1,0,-0.3
146,1,7,2,0,-0.6
147,1,7,3,0,-0.8
148,1,7,4,0,-1
