id,Month,Day,Hour,Irr,Text,WS,PV_module_temp,,,u0,u1,,,
1,1,1,1,0,9.1,0,9.1,,,20,3.2,,Winddata,https://www.envidat.ch/dataset/lwfmeteo-lausanne/resource/64e735fc-8c3f-4b78-9313-83ede9363460
2,1,1,2,0,9.3,0,9.3,,,,,,Module_temperature formula: ,https://joint-research-centre.ec.europa.eu/photovoltaic-geographical-information-system-pvgis/getting-started-pvgis/pvgis-data-sources-calculation-methods_en?prefLang=sv
3,1,1,3,0,9.1,0,9.1,,,,,,,
4,1,1,4,0,9,0,9,,,,,,,
5,1,1,5,0,8.8,0,8.8,,,,,,,
6,1,1,6,0,8.7,0,8.7,,,,,,,
7,1,1,7,0,8.7,0,8.7,,,,,,,
8,1,1,8,0,8.6,0,8.6,,,,,,,
9,1,1,9,2,8.7,0,8.8,,,,,,,
10,1,1,10,41,9.4,0,11.45,,,,,,,
11,1,1,11,76,10.1,0,13.9,,,,,,,
12,1,1,12,104,10.7,0,15.9,,,,,,,
13,1,1,13,128,11.2,0,17.6,,,,,,,
14,1,1,14,116,11.5,0,17.3,,,,,,,
15,1,1,15,87,11.6,0,15.95,,,,,,,
16,1,1,16,49,11.3,0,13.75,,,,,,,
17,1,1,17,3,10.8,0,10.95,,,,,,,
18,1,1,18,0,10.4,0,10.4,,,,,,,
19,1,1,19,0,9.9,0,9.9,,,,,,,
20,1,1,20,0,9.6,0,9.6,,,,,,,
21,1,1,21,0,9.3,0,9.3,,,,,,,
22,1,1,22,0,8.9,0,8.9,,,,,,,
23,1,1,23,0,8.5,0,8.5,,,,,,,
24,1,1,24,0,8.1,0,8.1,,,,,,,
25,1,2,1,0,7.1,0,7.1,,,,,,,
26,1,2,2,0,6,0,6,,,,,,,
27,1,2,3,0,4.9,0,4.9,,,,,,,
28,1,2,4,0,4.3,0,4.3,,,,,,,
29,1,2,5,0,3.7,0,3.7,,,,,,,
30,1,2,6,0,3.1,0,3.1,,,,,,,
31,1,2,7,0,2.7,0,2.7,,,,,,,
32,1,2,8,0,2.2,0,2.2,,,,,,,
33,1,2,9,2,2.2,0,2.3,,,,,,,
34,1,2,10,104,3.7,0,8.9,,,,,,,
35,1,2,11,176,4.9,0,13.7,,,,,,,
36,1,2,12,252,6,0,18.6,,,,,,,
37,1,2,13,301,6.9,0,21.95,,,,,,,
38,1,2,14,279,7.4,0,21.35,,,,,,,
39,1,2,15,272,7.7,0,21.3,,,,,,,
40,1,2,16,134,7.2,0,13.9,,,,,,,
41,1,2,17,14,6,0,6.7,,,,,,,
42,1,2,18,0,5.5,0,5.5,,,,,,,
43,1,2,19,0,4.9,0,4.9,,,,,,,
44,1,2,20,0,4.4,0,4.4,,,,,,,
45,1,2,21,0,3.8,0,3.8,,,,,,,
46,1,2,22,0,3.3,0,3.3,,,,,,,
47,1,2,23,0,2.7,0,2.7,,,,,,,
48,1,2,24,0,2.2,0,2.2,,,,,,,
49,1,3,1,0,2.1,0,2.1,,,,,,,
50,1,3,2,0,2,0,2,,,,,,,
51,1,3,3,0,1.9,0,1.9,,,,,,,
52,1,3,4,0,1.9,0,1.9,,,,,,,
53,1,3,5,0,1.8,0,1.8,,,,,,,
54,1,3,6,0,1.8,0,1.8,,,,,,,
55,1,3,7,0,1.8,0,1.8,,,,,,,
56,1,3,8,0,1.8,0,1.8,,,,,,,
57,1,3,9,5,2.1,0,2.35,,,,,,,
58,1,3,10,97,4,0,8.85,,,,,,,
59,1,3,11,181,5.9,0,14.95,,,,,,,
60,1,3,12,252,7.6,0,20.2,,,,,,,
61,1,3,13,272,8.8,0,22.4,,,,,,,
62,1,3,14,257,9.5,0,22.35,,,,,,,
63,1,3,15,174,9.5,0,18.2,,,,,,,
64,1,3,16,93,8.8,0,13.45,,,,,,,
65,1,3,17,3,7.6,0,7.75,,,,,,,
66,1,3,18,0,7.1,0,7.1,,,,,,,
67,1,3,19,0,6.6,0,6.6,,,,,,,
68,1,3,20,0,6.2,0,6.2,,,,,,,
69,1,3,21,0,5.7,0,5.7,,,,,,,
70,1,3,22,0,5.2,0,5.2,,,,,,,
71,1,3,23,0,4.7,0,4.7,,,,,,,
72,1,3,24,0,4.2,0,4.2,,,,,,,
73,1,4,1,0,3.5,0,3.5,,,,,,,
74,1,4,2,0,2.8,0,2.8,,,,,,,
75,1,4,3,0,2.1,0,2.1,,,,,,,
76,1,4,4,0,1.7,0,1.7,,,,,,,
77,1,4,5,0,1.4,0,1.4,,,,,,,
78,1,4,6,0,1,0,1,,,,,,,
79,1,4,7,0,0.7,0,0.7,,,,,,,
80,1,4,8,0,0.4,0,0.4,,,,,,,
81,1,4,9,2,0.5,0,0.6,,,,,,,
82,1,4,10,104,2.2,0,7.4,,,,,,,
83,1,4,11,160,3.4,0,11.4,,,,,,,
84,1,4,12,216,4.5,0,15.3,,,,,,,
85,1,4,13,265,5.4,0,18.65,,,,,,,
86,1,4,14,343,6.5,0,23.65,,,,,,,
87,1,4,15,218,6.6,0,17.5,,,,,,,
88,1,4,16,112,6,0,11.6,,,,,,,
89,1,4,17,16,4.9,0,5.7,,,,,,,
90,1,4,18,0,4.4,0,4.4,,,,,,,
91,1,4,19,0,3.8,0,3.8,,,,,,,
92,1,4,20,0,3.3,0,3.3,,,,,,,
93,1,4,21,0,2.7,0,2.7,,,,,,,
94,1,4,22,0,2.2,0,2.2,,,,,,,
95,1,4,23,0,1.6,0,1.6,,,,,,,
96,1,4,24,0,1.1,0,1.1,,,,,,,
97,1,5,1,0,0.7,0,0.7,,,,,,,
98,1,5,2,0,0.3,0,0.3,,,,,,,
99,1,5,3,0,-0.1,0,-0.1,,,,,,,
100,1,5,4,0,-0.3,0,-0.3,,,,,,,
101,1,5,5,0,-0.5,0,-0.5,,,,,,,
102,1,5,6,0,-0.7,0,-0.7,,,,,,,
103,1,5,7,0,-0.9,0,-0.9,,,,,,,
104,1,5,8,0,-1,0,-1,,,,,,,
105,1,5,9,8,-0.7,0,-0.3,,,,,,,
